"erwst","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","Westdeutschland","5676","0.410024379770148","0.401283970716637","0.418764788823659"
"voll erwerbstätig","1984","Ostdeutschland","","","",""
"Teilzeit","1984","Westdeutschland","661","0.0551375666492707","0.0510813795979765","0.0591937537005649"
"Teilzeit","1984","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","Westdeutschland","5048","0.471818648242169","0.462947313472236","0.480689983012102"
"nicht erwerbstätig","1984","Ostdeutschland","","","",""
"Andere","1984","Westdeutschland","779","0.0630194053384122","0.0587011100745885","0.067337700602236"
"Andere","1984","Ostdeutschland","","","",""
"voll erwerbstätig","1985","Westdeutschland","5217","0.417337057107383","0.408132746400291","0.426541367814475"
"voll erwerbstätig","1985","Ostdeutschland","","","",""
"Teilzeit","1985","Westdeutschland","754","0.0684545535702518","0.063741066806526","0.0731680403339776"
"Teilzeit","1985","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Westdeutschland","4539","0.467673927993399","0.458360714786738","0.476987141200059"
"nicht erwerbstätig","1985","Ostdeutschland","","","",""
"Andere","1985","Westdeutschland","516","0.0465344613289667","0.042602774271515","0.0504661483864185"
"Andere","1985","Ostdeutschland","","","",""
"voll erwerbstätig","1986","Westdeutschland","4997","0.41909237485482","0.409691849802928","0.428492899906711"
"voll erwerbstätig","1986","Ostdeutschland","","","",""
"Teilzeit","1986","Westdeutschland","641","0.060097265363644","0.0555692019033458","0.0646253288239421"
"Teilzeit","1986","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Westdeutschland","4315","0.464081365443215","0.454579908881194","0.473582822005236"
"nicht erwerbstätig","1986","Ostdeutschland","","","",""
"Andere","1986","Westdeutschland","630","0.0567289943383211","0.0523217768983257","0.0611362117783165"
"Andere","1986","Ostdeutschland","","","",""
"voll erwerbstätig","1987","Westdeutschland","4929","0.424527538038836","0.415050427785597","0.434004648292076"
"voll erwerbstätig","1987","Ostdeutschland","","","",""
"Teilzeit","1987","Westdeutschland","688","0.0672772158739036","0.0624741225543653","0.0720803091934419"
"Teilzeit","1987","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Westdeutschland","4185","0.452664565684889","0.443120668353615","0.462208463016163"
"nicht erwerbstätig","1987","Ostdeutschland","","","",""
"Andere","1987","Westdeutschland","647","0.055530680402371","0.0511396024071229","0.0599217583976191"
"Andere","1987","Ostdeutschland","","","",""
"voll erwerbstätig","1988","Westdeutschland","4647","0.424665673411558","0.414962187082617","0.434369159740499"
"voll erwerbstätig","1988","Ostdeutschland","","","",""
"Teilzeit","1988","Westdeutschland","679","0.0680837817168523","0.0631389177730584","0.0730286456606463"
"Teilzeit","1988","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Westdeutschland","4006","0.452883654968173","0.443111794782771","0.462655515153576"
"nicht erwerbstätig","1988","Ostdeutschland","","","",""
"Andere","1988","Westdeutschland","636","0.0543668899034163","0.0499157355342448","0.0588180442725878"
"Andere","1988","Ostdeutschland","","","",""
"voll erwerbstätig","1989","Westdeutschland","4614","0.432021561867234","0.422144376363547","0.441898747370921"
"voll erwerbstätig","1989","Ostdeutschland","","","",""
"Teilzeit","1989","Westdeutschland","673","0.0699911277664719","0.0649039183485747","0.0750783371843691"
"Teilzeit","1989","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Westdeutschland","3805","0.446169177144163","0.436257368299394","0.456080985988931"
"nicht erwerbstätig","1989","Ostdeutschland","","","",""
"Andere","1989","Westdeutschland","570","0.0518181332221311","0.0473983468465217","0.0562379195977405"
"Andere","1989","Ostdeutschland","","","",""
"voll erwerbstätig","1990","Westdeutschland","4506","0.437449244807611","0.427453290520771","0.447445199094451"
"voll erwerbstätig","1990","Ostdeutschland","2878","","",""
"Teilzeit","1990","Westdeutschland","722","0.0780241100705953","0.0726196319396312","0.0834285882015595"
"Teilzeit","1990","Ostdeutschland","408","0.0837415286102962","0.0755800114688596","0.0919030457517328"
"nicht erwerbstätig","1990","Westdeutschland","3714","0.434988467243665","0.424998890275232","0.444978044212098"
"nicht erwerbstätig","1990","Ostdeutschland","997","0.285007472293546","0.27170689999448","0.298308044592612"
"Andere","1990","Westdeutschland","519","0.0495381778781289","0.0451658077116034","0.0539105480446543"
"Andere","1990","Ostdeutschland","142","","",""
"voll erwerbstätig","1991","Westdeutschland","4508","0.435233598180019","0.425235974938875","0.445231221421162"
"voll erwerbstätig","1991","Ostdeutschland","2451","","",""
"Teilzeit","1991","Westdeutschland","750","0.0798927761608259","0.0744254609937675","0.0853600913278842"
"Teilzeit","1991","Ostdeutschland","232","","",""
"nicht erwerbstätig","1991","Westdeutschland","3579","0.427213584281497","0.417238420960986","0.437188747602008"
"nicht erwerbstätig","1991","Ostdeutschland","1311","","",""
"Andere","1991","Westdeutschland","610","0.0576600413776583","0.052959559184555","0.0623605235707615"
"Andere","1991","Ostdeutschland","145","","",""
"voll erwerbstätig","1992","Westdeutschland","4399","0.431144177745839","0.421100632983714","0.441187722507964"
"voll erwerbstätig","1992","Ostdeutschland","2105","","",""
"Teilzeit","1992","Westdeutschland","784","0.0833277209062138","0.0777227101058479","0.0889327317065797"
"Teilzeit","1992","Ostdeutschland","159","","",""
"nicht erwerbstätig","1992","Westdeutschland","3658","0.438680629716438","0.428617017429888","0.448744242002987"
"nicht erwerbstätig","1992","Ostdeutschland","1541","","",""
"Andere","1992","Westdeutschland","499","0.0468474716315089","0.0425619969517526","0.0511329463112652"
"Andere","1992","Ostdeutschland","171","","",""
"voll erwerbstätig","1993","Westdeutschland","4338","0.429984112085963","0.419907116593389","0.440061107578537"
"voll erwerbstätig","1993","Ostdeutschland","1923","","",""
"Teilzeit","1993","Westdeutschland","764","0.0823214405913928","0.0767269164411485","0.0879159647416371"
"Teilzeit","1993","Ostdeutschland","154","","",""
"nicht erwerbstätig","1993","Westdeutschland","3658","0.437776577350307","0.427678420604227","0.447874734096387"
"nicht erwerbstätig","1993","Ostdeutschland","1557","","",""
