"erwst","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","17-34","Westdeutschland","2167","","",""
"voll erwerbstätig","1984","17-34","Ostdeutschland","","","",""
"voll erwerbstätig","1984","35-65","Westdeutschland","3492","0.509405949758019","0.497063480998656","0.521748418517383"
"voll erwerbstätig","1984","35-65","Ostdeutschland","","","",""
"voll erwerbstätig","1984","66 +","Westdeutschland","17","","",""
"voll erwerbstätig","1984","66 +","Ostdeutschland","","","",""
"Teilzeit","1984","17-34","Westdeutschland","188","","",""
"Teilzeit","1984","17-34","Ostdeutschland","","","",""
"Teilzeit","1984","35-65","Westdeutschland","461","0.0802145616102544","0.0735083266762554","0.0869207965442534"
"Teilzeit","1984","35-65","Ostdeutschland","","","",""
"Teilzeit","1984","66 +","Westdeutschland","12","","",""
"Teilzeit","1984","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","17-34","Westdeutschland","1669","","",""
"nicht erwerbstätig","1984","17-34","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","35-65","Westdeutschland","2162","","",""
"nicht erwerbstätig","1984","35-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","66 +","Westdeutschland","1217","","",""
"nicht erwerbstätig","1984","66 +","Ostdeutschland","","","",""
"Andere","1984","17-34","Westdeutschland","571","0.131979117158174","0.122192715655692","0.141765518660657"
"Andere","1984","17-34","Ostdeutschland","","","",""
"Andere","1984","35-65","Westdeutschland","187","","",""
"Andere","1984","35-65","Ostdeutschland","","","",""
"Andere","1984","66 +","Westdeutschland","21","","",""
"Andere","1984","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1985","17-34","Westdeutschland","2075","","",""
"voll erwerbstätig","1985","17-34","Ostdeutschland","","","",""
"voll erwerbstätig","1985","35-65","Westdeutschland","3124","0.499152881454171","0.486230403847624","0.512075359060719"
"voll erwerbstätig","1985","35-65","Ostdeutschland","","","",""
"voll erwerbstätig","1985","66 +","Westdeutschland","18","","",""
"voll erwerbstätig","1985","66 +","Ostdeutschland","","","",""
"Teilzeit","1985","17-34","Westdeutschland","217","","",""
"Teilzeit","1985","17-34","Ostdeutschland","","","",""
"Teilzeit","1985","35-65","Westdeutschland","521","0.0989829940997997","0.0912646667406558","0.106701321458944"
"Teilzeit","1985","35-65","Ostdeutschland","","","",""
"Teilzeit","1985","66 +","Westdeutschland","16","","",""
"Teilzeit","1985","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","17-34","Westdeutschland","1489","","",""
"nicht erwerbstätig","1985","17-34","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","35-65","Westdeutschland","1991","","",""
"nicht erwerbstätig","1985","35-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","66 +","Westdeutschland","1059","","",""
"nicht erwerbstätig","1985","66 +","Ostdeutschland","","","",""
"Andere","1985","17-34","Westdeutschland","387","0.0990696777524861","0.0899998254876871","0.108139530017285"
"Andere","1985","17-34","Ostdeutschland","","","",""
"Andere","1985","35-65","Westdeutschland","115","","",""
"Andere","1985","35-65","Ostdeutschland","","","",""
"Andere","1985","66 +","Westdeutschland","14","","",""
"Andere","1985","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1986","17-34","Westdeutschland","2006","","",""
"voll erwerbstätig","1986","17-34","Ostdeutschland","","","",""
"voll erwerbstätig","1986","35-65","Westdeutschland","2981","","",""
"voll erwerbstätig","1986","35-65","Ostdeutschland","","","",""
"voll erwerbstätig","1986","66 +","Westdeutschland","10","","",""
"voll erwerbstätig","1986","66 +","Ostdeutschland","","","",""
"Teilzeit","1986","17-34","Westdeutschland","203","","",""
"Teilzeit","1986","17-34","Ostdeutschland","","","",""
"Teilzeit","1986","35-65","Westdeutschland","429","0.0832788800955012","0.0759553597112507","0.0906024004797517"
"Teilzeit","1986","35-65","Ostdeutschland","","","",""
"Teilzeit","1986","66 +","Westdeutschland","9","0.00821857887173547","0.00270764618617367","0.0137295115572973"
"Teilzeit","1986","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","17-34","Westdeutschland","1418","","",""
"nicht erwerbstätig","1986","17-34","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","35-65","Westdeutschland","1896","","",""
"nicht erwerbstätig","1986","35-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","66 +","Westdeutschland","1001","","",""
"nicht erwerbstätig","1986","66 +","Ostdeutschland","","","",""
"Andere","1986","17-34","Westdeutschland","457","0.116091382832218","0.10626691804465","0.125915847619785"
"Andere","1986","17-34","Ostdeutschland","","","",""
"Andere","1986","35-65","Westdeutschland","162","","",""
"Andere","1986","35-65","Ostdeutschland","","","",""
"Andere","1986","66 +","Westdeutschland","11","","",""
"Andere","1986","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1987","17-34","Westdeutschland","1959","","",""
"voll erwerbstätig","1987","17-34","Ostdeutschland","","","",""
"voll erwerbstätig","1987","35-65","Westdeutschland","2956","","",""
"voll erwerbstätig","1987","35-65","Ostdeutschland","","","",""
"voll erwerbstätig","1987","66 +","Westdeutschland","14","","",""
"voll erwerbstätig","1987","66 +","Ostdeutschland","","","",""
"Teilzeit","1987","17-34","Westdeutschland","196","","",""
"Teilzeit","1987","17-34","Ostdeutschland","","","",""
"Teilzeit","1987","35-65","Westdeutschland","481","0.0972752586235029","0.0893354600407958","0.10521505720621"
"Teilzeit","1987","35-65","Ostdeutschland","","","",""
"Teilzeit","1987","66 +","Westdeutschland","11","","",""
"Teilzeit","1987","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","17-34","Westdeutschland","1352","","",""
"nicht erwerbstätig","1987","17-34","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","35-65","Westdeutschland","1801","","",""
"nicht erwerbstätig","1987","35-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","66 +","Westdeutschland","1032","","",""
"nicht erwerbstätig","1987","66 +","Ostdeutschland","","","",""
"Andere","1987","17-34","Westdeutschland","523","0.127997323590341","0.117682663489146","0.138311983691537"
"Andere","1987","17-34","Ostdeutschland","","","",""
"Andere","1987","35-65","Westdeutschland","113","","",""
"Andere","1987","35-65","Ostdeutschland","","","",""
"Andere","1987","66 +","Westdeutschland","11","","",""
"Andere","1987","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1988","17-34","Westdeutschland","1844","","",""
"voll erwerbstätig","1988","17-34","Ostdeutschland","","","",""
"voll erwerbstätig","1988","35-65","Westdeutschland","2788","","",""
"voll erwerbstätig","1988","35-65","Ostdeutschland","","","",""
"voll erwerbstätig","1988","66 +","Westdeutschland","15","","",""
"voll erwerbstätig","1988","66 +","Ostdeutschland","","","",""
"Teilzeit","1988","17-34","Westdeutschland","185","","",""
"Teilzeit","1988","17-34","Ostdeutschland","","","",""
"Teilzeit","1988","35-65","Westdeutschland","483","0.10099407641827","0.0927137692105501","0.109274383625989"
"Teilzeit","1988","35-65","Ostdeutschland","","","",""
"Teilzeit","1988","66 +","Westdeutschland","11","","",""
"Teilzeit","1988","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","17-34","Westdeutschland","1290","","",""
"nicht erwerbstätig","1988","17-34","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","35-65","Westdeutschland","1716","","",""
"nicht erwerbstätig","1988","35-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","66 +","Westdeutschland","1000","","",""
"nicht erwerbstätig","1988","66 +","Ostdeutschland","","","",""
"Andere","1988","17-34","Westdeutschland","527","0.12725239483575","0.116720154369477","0.137784635302023"
"Andere","1988","17-34","Ostdeutschland","","","",""
"Andere","1988","35-65","Westdeutschland","100","","",""
"Andere","1988","35-65","Ostdeutschland","","","",""
"Andere","1988","66 +","Westdeutschland","9","0.00843726052196507","0.00286490592350598","0.0140096151204242"
"Andere","1988","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1989","17-34","Westdeutschland","1917","","",""
"voll erwerbstätig","1989","17-34","Ostdeutschland","","","",""
"voll erwerbstätig","1989","35-65","Westdeutschland","2683","","",""
"voll erwerbstätig","1989","35-65","Ostdeutschland","","","",""
"voll erwerbstätig","1989","66 +","Westdeutschland","14","","",""
"voll erwerbstätig","1989","66 +","Ostdeutschland","","","",""
"Teilzeit","1989","17-34","Westdeutschland","204","","",""
"Teilzeit","1989","17-34","Ostdeutschland","","","",""
"Teilzeit","1989","35-65","Westdeutschland","456","0.0988572289816369","0.0904899642396359","0.107224493723638"
"Teilzeit","1989","35-65","Ostdeutschland","","","",""
"Teilzeit","1989","66 +","Westdeutschland","13","","",""
"Teilzeit","1989","66 +","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","17-34","Westdeutschland","1188","","",""
"nicht erwerbstätig","1989","17-34","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","35-65","Westdeutschland","1642","","",""
"nicht erwerbstätig","1989","35-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","66 +","Westdeutschland","975","0.970103957561211","0.959606394262497","0.980601520859925"
"nicht erwerbstätig","1989","66 +","Ostdeutschland","","","",""
"Andere","1989","17-34","Westdeutschland","454","0.118523986930819","0.108196625959052","0.128851347902587"
"Andere","1989","17-34","Ostdeutschland","","","",""
"Andere","1989","35-65","Westdeutschland","107","","",""
"Andere","1989","35-65","Ostdeutschland","","","",""
"Andere","1989","66 +","Westdeutschland","9","0.00820851037092775","0.00264671664914469","0.0137703040927108"
"Andere","1989","66 +","Ostdeutschland","","","",""
"voll erwerbstätig","1990","17-34","Westdeutschland","1855","","",""
"voll erwerbstätig","1990","17-34","Ostdeutschland","1158","","",""
"voll erwerbstätig","1990","35-65","Westdeutschland","2636","","",""
"voll erwerbstätig","1990","35-65","Ostdeutschland","1713","","",""
"voll erwerbstätig","1990","66 +","Westdeutschland","15","","",""
"voll erwerbstätig","1990","66 +","Ostdeutschland","7","0.0114836790732505","0.00131828284871886","0.0216490752977822"
"Teilzeit","1990","17-34","Westdeutschland","245","","",""
"Teilzeit","1990","17-34","Ostdeutschland","116","","",""
"Teilzeit","1990","35-65","Westdeutschland","467","0.105756235911908","0.0970346214543457","0.11447785036947"
"Teilzeit","1990","35-65","Ostdeutschland","281","","",""
"Teilzeit","1990","66 +","Westdeutschland","10","","",""
"Teilzeit","1990","66 +","Ostdeutschland","11","","",""
"nicht erwerbstätig","1990","17-34","Westdeutschland","1134","","",""
"nicht erwerbstätig","1990","17-34","Ostdeutschland","289","","",""
"nicht erwerbstätig","1990","35-65","Westdeutschland","1568","","",""
"nicht erwerbstätig","1990","35-65","Ostdeutschland","307","0.155365556933841","0.140583459499508","0.170147654368174"
"nicht erwerbstätig","1990","66 +","Westdeutschland","1012","","",""
"nicht erwerbstätig","1990","66 +","Ostdeutschland","401","0.957675717884356","0.938467109441799","0.976884326326913"
"Andere","1990","17-34","Westdeutschland","411","0.11332133927976","0.103030796029851","0.123611882529669"
"Andere","1990","17-34","Ostdeutschland","133","","",""
"Andere","1990","35-65","Westdeutschland","105","","",""
"Andere","1990","35-65","Ostdeutschland","6","0.00248880307840704","0.000455610803014624","0.00452199535379946"
"Andere","1990","66 +","Westdeutschland","3","","",""
"Andere","1990","66 +","Ostdeutschland","3","","",""
"voll erwerbstätig","1991","17-34","Westdeutschland","1826","","",""
"voll erwerbstätig","1991","17-34","Ostdeutschland","934","0.625151119770885","0.600791196486703","0.649511043055067"
"voll erwerbstätig","1991","35-65","Westdeutschland","2671","","",""
"voll erwerbstätig","1991","35-65","Ostdeutschland","1515","","",""
"voll erwerbstätig","1991","66 +","Westdeutschland","11","","",""
"voll erwerbstätig","1991","66 +","Ostdeutschland","2","","",""
"Teilzeit","1991","17-34","Westdeutschland","242","","",""
"Teilzeit","1991","17-34","Ostdeutschland","85","0.0468417010003206","0.0362087418308314","0.0574746601698099"
"Teilzeit","1991","35-65","Westdeutschland","500","0.112773856977841","0.103782196816121","0.121765517139562"
"Teilzeit","1991","35-65","Ostdeutschland","143","","",""
"Teilzeit","1991","66 +","Westdeutschland","8","0.00532563191362183","0.000929609055284449","0.0097216547719592"
"Teilzeit","1991","66 +","Ostdeutschland","4","0.0104038523044282","0.000346450536865902","0.0204612540719905"
"nicht erwerbstätig","1991","17-34","Westdeutschland","1098","","",""
"nicht erwerbstätig","1991","17-34","Ostdeutschland","369","0.252035276614048","0.230186530187558","0.273884023040538"
"nicht erwerbstätig","1991","35-65","Westdeutschland","1459","","",""
"nicht erwerbstätig","1991","35-65","Ostdeutschland","559","0.284831955586698","0.26610372654235","0.303560184631047"
"nicht erwerbstätig","1991","66 +","Westdeutschland","1022","","",""
"nicht erwerbstätig","1991","66 +","Ostdeutschland","383","0.979612714084616","0.96560502073959","0.993620407429643"
"Andere","1991","17-34","Westdeutschland","474","0.129551436090884","0.118642307235933","0.140460564945834"
"Andere","1991","17-34","Ostdeutschland","129","","",""
"Andere","1991","35-65","Westdeutschland","124","","",""
"Andere","1991","35-65","Ostdeutschland","14","","",""
"Andere","1991","66 +","Westdeutschland","12","","",""
"Andere","1991","66 +","Ostdeutschland","2","","",""
"voll erwerbstätig","1992","17-34","Westdeutschland","1791","","",""
"voll erwerbstätig","1992","17-34","Ostdeutschland","759","0.563703375951252","0.537669852646747","0.589736899255757"
"voll erwerbstätig","1992","35-65","Westdeutschland","2600","","",""
"voll erwerbstätig","1992","35-65","Ostdeutschland","1344","","",""
"voll erwerbstätig","1992","66 +","Westdeutschland","8","0.0049925335719099","0.000745566204820424","0.00923950093899937"
