"erwst","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"voll erwerbstätig","1984","(noch) kein Abschluss","Schleswig-Holstein","4","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Hamburg","14","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Niedersachsen","30","0.107857330074565","0.0458055187917324","0.169909141357398"
"voll erwerbstätig","1984","(noch) kein Abschluss","Bremen","1","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Nordrhein-Westfalen","169","0.284709884670229","0.240650548200729","0.328769221139729"
"voll erwerbstätig","1984","(noch) kein Abschluss","Hessen","76","0.304506926998258","0.228815113343325","0.380198740653192"
"voll erwerbstätig","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","43","0.447130541466864","0.333848596048879","0.560412486884849"
"voll erwerbstätig","1984","(noch) kein Abschluss","Baden-Wuerttemberg","175","0.335626317269125","0.284984524493178","0.386268110045071"
"voll erwerbstätig","1984","(noch) kein Abschluss","Bayern","65","0.266037298572829","0.190367826670279","0.341706770475379"
"voll erwerbstätig","1984","(noch) kein Abschluss","Saarland","","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Berlin","20","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Brandenburg","","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Sachsen","","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"voll erwerbstätig","1984","(noch) kein Abschluss","Thueringen","","","",""
"voll erwerbstätig","1984","Hauptschule","Schleswig-Holstein","101","0.415929044876311","0.351527058694545","0.480331031058077"
"voll erwerbstätig","1984","Hauptschule","Hamburg","66","0.315098133629639","0.24378141064601","0.386414856613269"
"voll erwerbstätig","1984","Hauptschule","Niedersachsen","310","0.369418497344509","0.334830356055783","0.404006638633235"
"voll erwerbstätig","1984","Hauptschule","Bremen","28","","",""
"voll erwerbstätig","1984","Hauptschule","Nordrhein-Westfalen","851","0.38744656554458","0.365383944792836","0.409509186296325"
"voll erwerbstätig","1984","Hauptschule","Hessen","323","0.37993462818846","0.344131669391374","0.415737586985547"
"voll erwerbstätig","1984","Hauptschule","Rheinland-Pfalz,Saarland","241","0.363088364619385","0.324383415425601","0.40179331381317"
"voll erwerbstätig","1984","Hauptschule","Baden-Wuerttemberg","716","0.45352687196937","0.427019641065234","0.480034102873506"
"voll erwerbstätig","1984","Hauptschule","Bayern","599","0.41650105370785","0.389536473128327","0.443465634287372"
"voll erwerbstätig","1984","Hauptschule","Saarland","","","",""
"voll erwerbstätig","1984","Hauptschule","Berlin","110","0.443864532369515","0.376666901467288","0.511062163271741"
"voll erwerbstätig","1984","Hauptschule","Brandenburg","","","",""
"voll erwerbstätig","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"voll erwerbstätig","1984","Hauptschule","Sachsen","","","",""
"voll erwerbstätig","1984","Hauptschule","Sachsen-Anhalt","","","",""
"voll erwerbstätig","1984","Hauptschule","Thueringen","","","",""
"voll erwerbstätig","1984","Realschule","Schleswig-Holstein","39","0.417384022785987","0.316618193663426","0.518149851908549"
"voll erwerbstätig","1984","Realschule","Hamburg","29","","",""
"voll erwerbstätig","1984","Realschule","Niedersachsen","88","0.37661391948865","0.313720182301918","0.439507656675383"
"voll erwerbstätig","1984","Realschule","Bremen","9","","",""
"voll erwerbstätig","1984","Realschule","Nordrhein-Westfalen","197","0.418621757756891","0.373636792545075","0.463606722968707"
"voll erwerbstätig","1984","Realschule","Hessen","86","0.461282814354369","0.390024881619843","0.532540747088895"
"voll erwerbstätig","1984","Realschule","Rheinland-Pfalz,Saarland","46","0.416243463905046","0.323704542406694","0.508782385403397"
"voll erwerbstätig","1984","Realschule","Baden-Wuerttemberg","114","0.388820618359847","0.331924514525867","0.445716722193827"
"voll erwerbstätig","1984","Realschule","Bayern","176","0.458385201468793","0.407615128894431","0.509155274043156"
"voll erwerbstätig","1984","Realschule","Saarland","","","",""
"voll erwerbstätig","1984","Realschule","Berlin","42","0.50724464773779","0.394844804221358","0.619644491254222"
"voll erwerbstätig","1984","Realschule","Brandenburg","","","",""
"voll erwerbstätig","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"voll erwerbstätig","1984","Realschule","Sachsen","","","",""
"voll erwerbstätig","1984","Realschule","Sachsen-Anhalt","","","",""
"voll erwerbstätig","1984","Realschule","Thueringen","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Schleswig-Holstein","10","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Hamburg","23","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Niedersachsen","25","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Bremen","2","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Nordrhein-Westfalen","95","0.326319985196609","0.269437769401427","0.383202200991792"
"voll erwerbstätig","1984","(Fach-)Abitur","Hessen","41","0.2989732945386","0.211821037600816","0.386125551476384"
"voll erwerbstätig","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","9","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Baden-Wuerttemberg","60","0.327308853098675","0.248155751188678","0.406461955008672"
"voll erwerbstätig","1984","(Fach-)Abitur","Bayern","51","0.330816918885886","0.252315974733829","0.409317863037943"
"voll erwerbstätig","1984","(Fach-)Abitur","Saarland","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Berlin","16","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Brandenburg","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Sachsen","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"voll erwerbstätig","1984","(Fach-)Abitur","Thueringen","","","",""
"voll erwerbstätig","1984","AkademikerIn","Schleswig-Holstein","14","","",""
"voll erwerbstätig","1984","AkademikerIn","Hamburg","10","","",""
"voll erwerbstätig","1984","AkademikerIn","Niedersachsen","54","0.661847859956376","0.556860758829654","0.766834961083098"
"voll erwerbstätig","1984","AkademikerIn","Bremen","","","",""
"voll erwerbstätig","1984","AkademikerIn","Nordrhein-Westfalen","159","0.68792938183193","0.627387599546053","0.748471164117807"
"voll erwerbstätig","1984","AkademikerIn","Hessen","60","0.607813464154573","0.508584578375059","0.707042349934086"
"voll erwerbstätig","1984","AkademikerIn","Rheinland-Pfalz,Saarland","25","","",""
"voll erwerbstätig","1984","AkademikerIn","Baden-Wuerttemberg","90","0.675892764633237","0.593843187642953","0.757942341623522"
"voll erwerbstätig","1984","AkademikerIn","Bayern","96","0.568825473280001","0.49135890259567","0.646292043964332"
"voll erwerbstätig","1984","AkademikerIn","Saarland","","","",""
"voll erwerbstätig","1984","AkademikerIn","Berlin","26","","",""
"voll erwerbstätig","1984","AkademikerIn","Brandenburg","","","",""
"voll erwerbstätig","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"voll erwerbstätig","1984","AkademikerIn","Sachsen","","","",""
"voll erwerbstätig","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"voll erwerbstätig","1984","AkademikerIn","Thueringen","","","",""
