"erwst","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1985","(Fach-)Abitur","Laendlicher Raum","9","0.0957737363067513","0.0410282427622231","0.15051922985128"
"Andere","1985","(Fach-)Abitur","Staedtischer Raum","63","0.104866350579482","0.0817703510555903","0.127962350103374"
"Andere","1985","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Andere","1985","(noch) kein Abschluss","Staedtischer Raum","17","","",""
"Andere","1985","AkademikerIn","Laendlicher Raum","4","0.0286981998119605","-0.000927771641741602","0.0583241712656625"
"Andere","1985","AkademikerIn","Staedtischer Raum","19","","",""
"Andere","1985","Hauptschule","Laendlicher Raum","58","0.0363405501734001","0.0270720437892652","0.045609056557535"
"Andere","1985","Hauptschule","Staedtischer Raum","188","","",""
"Andere","1985","Realschule","Laendlicher Raum","38","0.0843317863622234","0.0573678850701666","0.11129568765428"
"Andere","1985","Realschule","Staedtischer Raum","107","","",""
"nicht erwerbstätig","1985","(Fach-)Abitur","Laendlicher Raum","48","0.494265735843323","0.401256078728286","0.58727539295836"
"nicht erwerbstätig","1985","(Fach-)Abitur","Staedtischer Raum","303","0.470311183966032","0.432686072272063","0.507936295660001"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Laendlicher Raum","90","0.832892323781161","0.772168834401637","0.893615813160685"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Staedtischer Raum","482","0.687539299932015","0.657940840699615","0.717137759164415"
"nicht erwerbstätig","1985","AkademikerIn","Laendlicher Raum","32","0.326781431986379","0.243552388343981","0.410010475628778"
"nicht erwerbstätig","1985","AkademikerIn","Staedtischer Raum","132","","",""
"nicht erwerbstätig","1985","Hauptschule","Laendlicher Raum","704","0.510376156486328","0.485617408455403","0.535134904517254"
"nicht erwerbstätig","1985","Hauptschule","Staedtischer Raum","2012","","",""
"nicht erwerbstätig","1985","Realschule","Laendlicher Raum","145","","",""
"nicht erwerbstätig","1985","Realschule","Staedtischer Raum","528","0.407892520961744","0.382213752770469","0.43357128915302"
"Teilzeit","1985","(Fach-)Abitur","Laendlicher Raum","5","0.0473897846896892","0.00786344609969401","0.0869161232796845"
"Teilzeit","1985","(Fach-)Abitur","Staedtischer Raum","48","0.0718133263730765","0.0523509920205233","0.0912756607256297"
"Teilzeit","1985","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Teilzeit","1985","(noch) kein Abschluss","Staedtischer Raum","26","","",""
"Teilzeit","1985","AkademikerIn","Laendlicher Raum","8","0.0573897638840862","0.0161181482315895","0.098661379536583"
"Teilzeit","1985","AkademikerIn","Staedtischer Raum","42","0.0649538308956117","0.0457554259090924","0.084152235882131"
"Teilzeit","1985","Hauptschule","Laendlicher Raum","114","","",""
"Teilzeit","1985","Hauptschule","Staedtischer Raum","343","0.0693025434620625","0.0621733626183152","0.0764317243058097"
"Teilzeit","1985","Realschule","Laendlicher Raum","32","0.072743559444875","0.0475427080911238","0.0979444107986263"
"Teilzeit","1985","Realschule","Staedtischer Raum","127","","",""
"voll erwerbstätig","1985","(Fach-)Abitur","Laendlicher Raum","49","0.362570743160237","0.273137500742516","0.452003985577957"
"voll erwerbstätig","1985","(Fach-)Abitur","Staedtischer Raum","262","","",""
"voll erwerbstätig","1985","(noch) kein Abschluss","Laendlicher Raum","50","0.131155174516965","0.0762102078547325","0.186100141179198"
"voll erwerbstätig","1985","(noch) kein Abschluss","Staedtischer Raum","417","0.264674674075893","0.236502614692894","0.292846733458892"
"voll erwerbstätig","1985","AkademikerIn","Laendlicher Raum","78","0.587130604317574","0.49976471927265","0.674496489362498"
"voll erwerbstätig","1985","AkademikerIn","Staedtischer Raum","440","0.675336201635706","0.638858859712049","0.711813543559362"
"voll erwerbstätig","1985","Hauptschule","Laendlicher Raum","690","0.382139539205462","0.358073290418921","0.406205787992002"
"voll erwerbstätig","1985","Hauptschule","Staedtischer Raum","2332","","",""
"voll erwerbstätig","1985","Realschule","Laendlicher Raum","193","","",""
"voll erwerbstätig","1985","Realschule","Staedtischer Raum","645","0.445987441805942","0.420014439030786","0.471960444581099"
"Andere","1986","(Fach-)Abitur","Laendlicher Raum","11","","",""
"Andere","1986","(Fach-)Abitur","Staedtischer Raum","71","0.120153949917061","0.0958230370387557","0.144484862795367"
"Andere","1986","(noch) kein Abschluss","Laendlicher Raum","4","0.0294375135723786","0.000155197831727866","0.0587198293130293"
"Andere","1986","(noch) kein Abschluss","Staedtischer Raum","18","","",""
"Andere","1986","AkademikerIn","Laendlicher Raum","5","0.0331099030392643","0.00174379781479563","0.064476008263733"
"Andere","1986","AkademikerIn","Staedtischer Raum","20","","",""
"Andere","1986","Hauptschule","Laendlicher Raum","84","0.052710741897193","0.0412993771188811","0.0641221066755048"
