"erwst","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Andere","1984","maennlich","323","0.0519857166963147","0.0463463594438453","0.057625073948784"
"Andere","1984","weiblich","456","0.0727942795363811","0.0663332161216695","0.0792553429510927"
"nicht erwerbstätig","1984","maennlich","1503","","",""
"nicht erwerbstätig","1984","weiblich","3545","0.619627627366305","0.607554015902327","0.631701238830282"
"Teilzeit","1984","maennlich","41","0.00783942033819293","0.00559908458764773","0.0100797560887381"
"Teilzeit","1984","weiblich","620","0.0970395492939447","0.0896778838594957","0.104401214728394"
"voll erwerbstätig","1984","maennlich","4086","0.635200127098267","0.622971920233688","0.647428333962846"
"voll erwerbstätig","1984","weiblich","1590","","",""
"Andere","1985","maennlich","227","","",""
"Andere","1985","weiblich","289","","",""
"nicht erwerbstätig","1985","maennlich","1433","","",""
"nicht erwerbstätig","1985","weiblich","3106","0.598182587731187","0.585355722856992","0.611009452605382"
"Teilzeit","1985","maennlich","57","0.0115202920638469","0.00867776512507399","0.0143628190026198"
"Teilzeit","1985","weiblich","697","0.119046147211351","0.110573414387394","0.127518880035307"
"voll erwerbstätig","1985","maennlich","3697","0.626872313300709","0.613989602795306","0.639755023806111"
"voll erwerbstätig","1985","weiblich","1520","","",""
"Andere","1986","maennlich","250","","",""
"Andere","1986","weiblich","380","0.0660973521387842","0.0594410523595818","0.0727536519179867"
"nicht erwerbstätig","1986","maennlich","1386","","",""
"nicht erwerbstätig","1986","weiblich","2929","","",""
"Teilzeit","1986","maennlich","65","0.0128436840336136","0.00979232366149074","0.0158950444057365"
"Teilzeit","1986","weiblich","576","0.102483798505965","0.0943585099326488","0.110609087079282"
"voll erwerbstätig","1986","maennlich","3530","0.623674512297761","0.610545968854192","0.63680305574133"
"voll erwerbstätig","1986","weiblich","1467","","",""
"Andere","1987","maennlich","296","","",""
"Andere","1987","weiblich","351","0.0589032984190889","0.0525508451788274","0.0652557516593504"
"nicht erwerbstätig","1987","maennlich","1356","","",""
"nicht erwerbstätig","1987","weiblich","2829","","",""
"Teilzeit","1987","maennlich","43","0.00981110093615765","0.00712491091530316","0.0124972909570121"
"Teilzeit","1987","weiblich","645","0.118882957068464","0.110150606867071","0.127615307269857"
"voll erwerbstätig","1987","maennlich","3477","0.630434149998089","0.61727933894103","0.643588961055148"
"voll erwerbstätig","1987","weiblich","1452","","",""
"Andere","1988","maennlich","291","","",""
"Andere","1988","weiblich","345","0.0590251146802205","0.0525180766085378","0.0655321527519032"
"nicht erwerbstätig","1988","maennlich","1316","","",""
"nicht erwerbstätig","1988","weiblich","2690","","",""
"Teilzeit","1988","maennlich","45","0.00924129441877404","0.00657001674846667","0.0119125720890814"
"Teilzeit","1988","weiblich","634","0.121541884967743","0.112519955549681","0.130563814385805"
"voll erwerbstätig","1988","maennlich","3277","0.626500639383013","0.612996268012053","0.640005010753973"
"voll erwerbstätig","1988","weiblich","1370","","",""
"Andere","1989","maennlich","264","","",""
"Andere","1989","weiblich","306","0.0543513446916543","0.0480042381104281","0.0606984512728806"
"nicht erwerbstätig","1989","maennlich","1237","","",""
"nicht erwerbstätig","1989","weiblich","2568","","",""
"Teilzeit","1989","maennlich","44","0.0105778050181816","0.00767185859385979","0.0134837514425035"
"Teilzeit","1989","weiblich","629","0.124065704552528","0.114836433982789","0.133294975122266"
"voll erwerbstätig","1989","maennlich","3216","0.630351870335991","0.616640376280081","0.644063364391902"
"voll erwerbstätig","1989","weiblich","1398","","",""
"Andere","1990","maennlich","317","0.0451966540548074","0.0402478991806454","0.0501454089289694"
"Andere","1990","weiblich","344","0.0455133680879752","0.0406710421231985","0.0503556940527519"
"nicht erwerbstätig","1990","maennlich","1545","","",""
"nicht erwerbstätig","1990","weiblich","3166","0.519278823650275","0.507671113871775","0.530886533428775"
"Teilzeit","1990","maennlich","80","0.0128245795158741","0.0101441489111651","0.0155050101205832"
"Teilzeit","1990","weiblich","1050","","",""
"voll erwerbstätig","1990","maennlich","4827","0.66092392932527","0.649646499250927","0.672201359399614"
"voll erwerbstätig","1990","weiblich","2557","","",""
"Andere","1991","maennlich","344","0.0472144830094488","0.0421098911327062","0.0523190748861914"
"Andere","1991","weiblich","411","0.0561725018470731","0.0507607366602344","0.0615842670339119"
"nicht erwerbstätig","1991","maennlich","1647","","",""
"nicht erwerbstätig","1991","weiblich","3243","0.530166106256129","0.518435812193512","0.541896400318745"
"Teilzeit","1991","maennlich","79","0.0136195326163985","0.0108300146294446","0.0164090506033524"
"Teilzeit","1991","weiblich","903","0.128601953252047","0.120733980968994","0.1364699255351"
"voll erwerbstätig","1991","maennlich","4562","0.644887442980033","0.633370139587742","0.656404746372324"
"voll erwerbstätig","1991","weiblich","2397","","",""
"Andere","1992","maennlich","327","0.0454217719613238","0.0403452202810075","0.0504983236416401"
"Andere","1992","weiblich","343","0.0438595452170948","0.0390111207512282","0.0487079696829614"
"nicht erwerbstätig","1992","maennlich","1775","","",""
"nicht erwerbstätig","1992","weiblich","3424","0.554629542547407","0.542862429456608","0.566396655638207"
"Teilzeit","1992","maennlich","71","0.0133054130192068","0.010511990910958","0.0160988351274556"
"Teilzeit","1992","weiblich","872","0.128638048968412","0.120711361350884","0.136564736585941"
"voll erwerbstätig","1992","maennlich","4290","0.622703509168301","0.61088635088703","0.634520667449572"
"voll erwerbstätig","1992","weiblich","2214","","",""
"Andere","1993","maennlich","322","0.0461008504284762","0.0409491027234409","0.0512525981335114"
"Andere","1993","weiblich","385","0.0517662194181106","0.0464753384920436","0.0570571003441777"
"nicht erwerbstätig","1993","maennlich","1847","","",""
"nicht erwerbstätig","1993","weiblich","3368","0.550436342962904","0.538556896630836","0.562315789294973"
"Teilzeit","1993","maennlich","61","0.0118084260714139","0.00915464270454987","0.014462209438278"
"Teilzeit","1993","weiblich","857","0.12953445118717","0.121515538400125","0.137553363974215"
"voll erwerbstätig","1993","maennlich","4135","0.612187622921419","0.600217406783679","0.62415783905916"
"voll erwerbstätig","1993","weiblich","2126","","",""
"Andere","1994","maennlich","283","","",""
"Andere","1994","weiblich","407","0.0513872489886218","0.046083922568196","0.0566905754090476"
"nicht erwerbstätig","1994","maennlich","1899","","",""
"nicht erwerbstätig","1994","weiblich","3418","0.566306457488634","0.554402443449078","0.57821047152819"
"Teilzeit","1994","maennlich","59","0.0120042082816665","0.00929668728662709","0.0147117292767059"
"Teilzeit","1994","weiblich","824","0.124485862409543","0.116555960898036","0.13241576392105"
"voll erwerbstätig","1994","maennlich","3974","0.600512025653414","0.588335027668326","0.612689023638502"
"voll erwerbstätig","1994","weiblich","2009","","",""
"Andere","1995","maennlich","316","0.0440626688586804","0.0390384426280078","0.049086895089353"
"Andere","1995","weiblich","429","0.0547797147898287","0.0494000982627333","0.0601593313169242"
"nicht erwerbstätig","1995","maennlich","1931","","",""
"nicht erwerbstätig","1995","weiblich","3499","0.567542168634039","0.555829769338431","0.579254567929647"
"Teilzeit","1995","maennlich","74","0.0161448050430253","0.0130594789622179","0.0192301311238326"
"Teilzeit","1995","weiblich","902","0.12618995736756","0.118339484232638","0.134040430502481"
"voll erwerbstätig","1995","maennlich","4089","0.594268708358261","0.582248008336132","0.606289408380389"
"voll erwerbstätig","1995","weiblich","2043","","",""
"Andere","1996","maennlich","298","","",""
"Andere","1996","weiblich","407","0.0522372159649647","0.0469307253579768","0.0575437065719526"
"nicht erwerbstätig","1996","maennlich","1949","","",""
"nicht erwerbstätig","1996","weiblich","3444","0.566938236551569","0.555121151613281","0.578755321489856"
"Teilzeit","1996","maennlich","103","","",""
"Teilzeit","1996","weiblich","951","0.137468436919535","0.129256292877283","0.145680580961786"
"voll erwerbstätig","1996","maennlich","3943","0.586690371169282","0.574523988646058","0.598856753692507"
"voll erwerbstätig","1996","weiblich","1952","","",""
"Andere","1997","maennlich","291","","",""
"Andere","1997","weiblich","391","0.0493506838216167","0.0441330228827518","0.0545683447604817"
"nicht erwerbstätig","1997","maennlich","2011","","",""
"nicht erwerbstätig","1997","weiblich","3420","0.573842041007847","0.56192960503349","0.585754476982203"
"Teilzeit","1997","maennlich","93","0.020872012719089","0.0173159113318455","0.0244281141063324"
"Teilzeit","1997","weiblich","899","0.134119402083455","0.125910333107482","0.142328471059428"
"voll erwerbstätig","1997","maennlich","3813","0.574948099567938","0.562650862672135","0.587245336463741"
"voll erwerbstätig","1997","weiblich","1910","","",""
"Andere","1998","maennlich","360","0.0468504686220839","0.0418600266417357","0.0518409106024321"
"Andere","1998","weiblich","436","0.0472479101072457","0.0423974193853978","0.0520984008290935"
"nicht erwerbstätig","1998","maennlich","2274","","",""
"nicht erwerbstätig","1998","weiblich","3835","0.574167207070051","0.562862920326428","0.585471493813675"
"Teilzeit","1998","maennlich","106","","",""
"Teilzeit","1998","weiblich","1004","","",""
"voll erwerbstätig","1998","maennlich","4148","0.56920916082426","0.557514956114699","0.580903365533821"
"voll erwerbstätig","1998","weiblich","2075","","",""
"Andere","1999","maennlich","370","0.0504414286104491","0.0451650641869961","0.0557177930339021"
"Andere","1999","weiblich","529","0.0696007756430046","0.0636669645312814","0.0755345867547279"
"nicht erwerbstätig","1999","maennlich","2097","","",""
"nicht erwerbstätig","1999","weiblich","3519","0.548119309636791","0.53651440834683","0.559724210926752"
"Teilzeit","1999","maennlich","114","","",""
"Teilzeit","1999","weiblich","1002","","",""
