"year","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","(Fach-)Abitur","6.29","6.5","129","5.92","6.66"
"1990","(noch) kein Abschluss","7.35","7.5","45","6.74","7.96"
"1990","AkademikerIn","6.6","6.5","991","6.48","6.72"
"1990","Hauptschule","6.28","5.5","1667","6.17","6.39"
"1990","Realschule","6.25","5.5","1563","6.14","6.36"
"1991","(Fach-)Abitur","7.16","7.5","889","7.04","7.28"
"1991","(noch) kein Abschluss","6.96","6.5","875","6.83","7.09"
"1991","AkademikerIn","7","6.5","1676","6.9","7.1"
"1991","Hauptschule","6.95","6.5","6724","6.9","7"
"1991","Realschule","7.03","6.5","3143","6.96","7.1"
"1992","(Fach-)Abitur","7","6.5","893","6.87","7.13"
"1992","(noch) kein Abschluss","6.77","6.5","856","6.63","6.91"
"1992","AkademikerIn","7","6.5","1650","6.91","7.09"
"1992","Hauptschule","6.73","6.5","6501","6.68","6.78"
"1992","Realschule","6.92","6.5","3083","6.85","6.99"
"1993","(Fach-)Abitur","7.38","7.5","908","7.26","7.5"
"1993","(noch) kein Abschluss","6.84","6.5","836","6.7","6.98"
"1993","AkademikerIn","7.26","7.5","1631","7.17","7.35"
"1993","Hauptschule","6.92","6.5","6315","6.87","6.97"
"1993","Realschule","7.16","7.5","3089","7.09","7.23"
"1994","(Fach-)Abitur","","","","",""
"1994","(noch) kein Abschluss","","","","",""
"1994","AkademikerIn","","","","",""
"1994","Hauptschule","","","","",""
"1994","Realschule","","","","",""
"1995","(Fach-)Abitur","7.16","7.5","1056","7.04","7.28"
"1995","(noch) kein Abschluss","6.9","6.5","865","6.77","7.03"
"1995","AkademikerIn","7.13","7.5","1749","7.04","7.22"
"1995","Hauptschule","6.98","6.5","6098","6.93","7.03"
"1995","Realschule","7.07","6.5","3102","7","7.14"
"1996","(Fach-)Abitur","7.27","7.5","1028","7.16","7.38"
"1996","(noch) kein Abschluss","6.99","6.5","836","6.85","7.13"
"1996","AkademikerIn","7.32","7.5","1759","7.24","7.4"
"1996","Hauptschule","7.07","6.5","5932","7.02","7.12"
"1996","Realschule","7.18","7.5","3110","7.12","7.24"
"1997","(Fach-)Abitur","6.88","6.5","1015","6.77","6.99"
"1997","(noch) kein Abschluss","6.76","6.5","828","6.62","6.9"
"1997","AkademikerIn","7.03","6.5","1766","6.95","7.11"
"1997","Hauptschule","6.62","6.5","5744","6.57","6.67"
"1997","Realschule","6.8","6.5","3065","6.73","6.87"
"1998","(Fach-)Abitur","7.13","6.5","1141","7.02","7.24"
"1998","(noch) kein Abschluss","6.94","6.5","817","6.81","7.07"
"1998","AkademikerIn","7.21","7.5","1963","7.13","7.29"
"1998","Hauptschule","6.92","6.5","6165","6.87","6.97"
"1998","Realschule","7.03","6.5","3387","6.97","7.09"
"1999","(Fach-)Abitur","7.14","6.5","1132","7.03","7.25"
"1999","(noch) kein Abschluss","6.98","6.5","785","6.84","7.12"
"1999","AkademikerIn","7.35","7.5","1953","7.28","7.42"
"1999","Hauptschule","7.04","6.5","5997","6.99","7.09"
"1999","Realschule","7.17","7.5","3373","7.11","7.23"
"2000","(Fach-)Abitur","7.33","7.5","2343","7.26","7.4"
"2000","(noch) kein Abschluss","6.87","6.5","909","6.74","7"
"2000","AkademikerIn","7.58","7.5","3810","7.53","7.63"
"2000","Hauptschule","7.12","6.5","10646","7.08","7.16"
"2000","Realschule","7.28","7.5","6276","7.24","7.32"
"2001","(Fach-)Abitur","7.32","7.5","2206","7.25","7.39"
"2001","(noch) kein Abschluss","7.23","7.5","864","7.11","7.35"
"2001","AkademikerIn","7.57","7.5","3541","7.52","7.62"
"2001","Hauptschule","7.15","6.5","9350","7.11","7.19"
"2001","Realschule","7.21","7.5","5757","7.16","7.26"
"2002","(Fach-)Abitur","7.11","6.5","2451","7.04","7.18"
"2002","(noch) kein Abschluss","7.04","6.5","898","6.92","7.16"
"2002","AkademikerIn","7.31","7.5","4543","7.26","7.36"
"2002","Hauptschule","6.82","6.5","8889","6.78","6.86"
"2002","Realschule","6.99","6.5","5982","6.94","7.04"
"2003","(Fach-)Abitur","7.08","6.5","2406","7.01","7.15"
"2003","(noch) kein Abschluss","6.93","6.5","886","6.8","7.06"
"2003","AkademikerIn","7.33","7.5","4350","7.28","7.38"
"2003","Hauptschule","6.85","6.5","8439","6.81","6.89"
"2003","Realschule","6.93","6.5","5776","6.88","6.98"
"2004","(Fach-)Abitur","7.07","6.5","2389","7","7.14"
"2004","(noch) kein Abschluss","6.9","6.5","902","6.77","7.03"
"2004","AkademikerIn","7.34","7.5","4273","7.29","7.39"
"2004","Hauptschule","6.73","6.5","8033","6.69","6.77"
"2004","Realschule","6.92","6.5","5584","6.87","6.97"
"2005","(Fach-)Abitur","7.03","6.5","2291","6.96","7.1"
"2005","(noch) kein Abschluss","7.06","6.5","896","6.93","7.19"
"2005","AkademikerIn","7.4","7.5","4149","7.35","7.45"
"2005","Hauptschule","6.74","6.5","7539","6.7","6.78"
"2005","Realschule","6.92","6.5","5373","6.87","6.97"
"2006","(Fach-)Abitur","7.11","7.5","2444","7.04","7.18"
"2006","(noch) kein Abschluss","6.94","6.5","651","6.79","7.09"
"2006","AkademikerIn","7.42","7.5","4567","7.37","7.47"
"2006","Hauptschule","6.84","6.5","8073","6.8","6.88"
"2006","Realschule","7.02","6.5","5738","6.97","7.07"
"2007","(Fach-)Abitur","","","","",""
"2007","(noch) kein Abschluss","","","","",""
"2007","AkademikerIn","","","","",""
"2007","Hauptschule","","","","",""
"2007","Realschule","","","","",""
"2008","(Fach-)Abitur","","","","",""
"2008","(noch) kein Abschluss","","","","",""
"2008","AkademikerIn","","","","",""
"2008","Hauptschule","","","","",""
"2008","Realschule","","","","",""
"2009","(Fach-)Abitur","","","","",""
"2009","(noch) kein Abschluss","","","","",""
"2009","AkademikerIn","","","","",""
"2009","Hauptschule","","","","",""
"2009","Realschule","","","","",""
"2010","(Fach-)Abitur","","","","",""
"2010","(noch) kein Abschluss","","","","",""
"2010","AkademikerIn","","","","",""
"2010","Hauptschule","","","","",""
"2010","Realschule","","","","",""
"2011","(Fach-)Abitur","","","","",""
"2011","(noch) kein Abschluss","","","","",""
"2011","AkademikerIn","","","","",""
"2011","Hauptschule","","","","",""
"2011","Realschule","","","","",""
"2012","(Fach-)Abitur","","","","",""
"2012","(noch) kein Abschluss","","","","",""
"2012","AkademikerIn","","","","",""
"2012","Hauptschule","","","","",""
"2012","Realschule","","","","",""
"2013","(Fach-)Abitur","7.56","7.5","3368","7.5","7.62"
