syear,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,6.341388174772335,6.310492006249601,6.372284343295068,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,4407.0
1991,West,7.28170375366903,7.2635108504197285,7.299896656918331,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,9414.0
1991,East,5.849114730661068,5.8180570864010255,5.88017237492111,5.0,6.0,7.0,2.0,10.0,6.0,6.0,6.0,4127.0
1992,West,7.1125847223958525,7.094139494828607,7.131029949963098,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,9277.0
1992,East,5.731286006043948,5.702473045765782,5.760098966322115,5.0,6.0,7.0,2.0,10.0,6.0,6.0,6.0,3953.0
1993,West,7.26025551193233,7.2412785787899985,7.279232445074662,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,9225.0
1993,East,6.217617978231249,6.187204748287927,6.24803120817457,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,3816.0
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,7.16861133715263,7.1494650588611055,7.187757615444154,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,9539.0
1995,East,6.4750404977396165,6.4450393122713105,6.5050416832079225,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3676.0
1996,West,7.2739800396062355,7.255390657444569,7.292569421767902,6.0,8.0,8.0,3.0,10.0,8.0,8.0,8.0,9341.0
1996,East,6.570423004460454,6.540420116259569,6.600425892661339,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3676.0
1997,West,6.849862141332777,6.830712357551238,6.869011925114317,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,9151.0
