"year","age_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1990","17-34","maennlich","6.2","5.5","828","6.05","6.35"
"1990","17-34","weiblich","6.32","5.5","859","6.18","6.46"
"1990","35-65","maennlich","6.45","6.5","1131","6.33","6.57"
"1990","35-65","weiblich","6.43","5.5","1172","6.31","6.55"
"1990","66 +","maennlich","6.57","6.5","139","6.23","6.91"
"1990","66 +","weiblich","6.02","5.5","278","5.73","6.31"
"1991","17-34","maennlich","6.91","6.5","2584","6.83","6.99"
"1991","17-34","weiblich","6.99","6.5","2556","6.91","7.07"
"1991","35-65","maennlich","6.95","6.5","3474","6.88","7.02"
"1991","35-65","weiblich","6.94","6.5","3492","6.87","7.01"
"1991","66 +","maennlich","7.35","7.5","550","7.18","7.52"
"1991","66 +","weiblich","7.1","7.5","885","6.96","7.24"
"1992","17-34","maennlich","6.81","6.5","2470","6.73","6.89"
"1992","17-34","weiblich","6.88","6.5","2476","6.8","6.96"
"1992","35-65","maennlich","6.82","6.5","3400","6.75","6.89"
"1992","35-65","weiblich","6.76","6.5","3450","6.69","6.83"
"1992","66 +","maennlich","7.12","7.5","545","6.96","7.28"
"1992","66 +","weiblich","6.85","6.5","889","6.72","6.98"
"1993","17-34","maennlich","6.97","6.5","2449","6.89","7.05"
"1993","17-34","weiblich","7.1","6.5","2425","7.02","7.18"
"1993","35-65","maennlich","6.92","6.5","3343","6.85","6.99"
"1993","35-65","weiblich","6.96","6.5","3371","6.89","7.03"
"1993","66 +","maennlich","7.54","7.5","549","7.38","7.7"
"1993","66 +","weiblich","7.32","7.5","904","7.19","7.45"
"1994","17-34","maennlich","","","","",""
"1994","17-34","weiblich","","","","",""
"1994","35-65","maennlich","","","","",""
"1994","35-65","weiblich","","","","",""
"1994","66 +","maennlich","","","","",""
"1994","66 +","weiblich","","","","",""
"1995","17-34","maennlich","6.9","6.5","2425","6.82","6.98"
"1995","17-34","weiblich","6.91","6.5","2474","6.83","6.99"
