"year","age_gr","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1990","17-34","(Fach-)Abitur","5.9","5.5","101","5.47","6.33"
"1990","17-34","(noch) kein Abschluss","7.86","7.5","35","7.29","8.43"
"1990","17-34","AkademikerIn","6.52","6.5","318","6.3","6.74"
"1990","17-34","Hauptschule","6.06","5.5","182","5.69","6.43"
"1990","17-34","Realschule","6.22","5.5","1048","6.09","6.35"
"1990","35-65","(Fach-)Abitur","","","","",""
"1990","35-65","(noch) kein Abschluss","","","","",""
"1990","35-65","AkademikerIn","6.61","6.5","628","6.46","6.76"
"1990","35-65","Hauptschule","6.33","5.5","1153","6.21","6.45"
"1990","35-65","Realschule","6.43","6.5","481","6.25","6.61"
"1990","66 +","(Fach-)Abitur","","","","",""
"1990","66 +","(noch) kein Abschluss","","","","",""
"1990","66 +","AkademikerIn","6.8","6.5","45","6.29","7.31"
"1990","66 +","Hauptschule","6.24","5.5","332","5.99","6.49"
"1990","66 +","Realschule","5.41","5.5","34","4.46","6.36"
"1991","17-34","(Fach-)Abitur","6.97","6.5","606","6.82","7.12"
"1991","17-34","(noch) kein Abschluss","7.23","7.5","356","7.02","7.44"
"1991","17-34","AkademikerIn","6.95","7.5","473","6.76","7.14"
"1991","17-34","Hauptschule","7.05","7.5","1695","6.95","7.15"
"1991","17-34","Realschule","6.8","6.5","1848","6.7","6.9"
"1991","35-65","(Fach-)Abitur","7.42","7.5","238","7.16","7.68"
"1991","35-65","(noch) kein Abschluss","6.55","6.5","495","6.39","6.71"
"1991","35-65","AkademikerIn","6.97","6.5","1092","6.86","7.08"
"1991","35-65","Hauptschule","6.86","6.5","3968","6.8","6.92"
"1991","35-65","Realschule","7.2","7.5","1108","7.08","7.32"
"1991","66 +","(Fach-)Abitur","7.91","7.5","45","7.36","8.46"
"1991","66 +","(noch) kein Abschluss","","","","",""
"1991","66 +","AkademikerIn","7.31","7.5","111","6.86","7.76"
"1991","66 +","Hauptschule","7.09","6.5","1061","6.97","7.21"
"1991","66 +","Realschule","7.54","7.5","187","7.27","7.81"
"1992","17-34","(Fach-)Abitur","6.94","6.5","602","6.79","7.09"
"1992","17-34","(noch) kein Abschluss","7.19","7.5","351","6.97","7.41"
