year,pgisced97,quintil_oecd,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Pre-primary Level,3rd Quintile,Difficult,0.75840,31,31,0.60523,0.91158
1987,Primary Level,1st Quintile,Difficult,0.27376,59,139,0.19936,0.34815
1987,Primary Level,1st Quintile,Almost impossible,0.25533,80,139,0.18258,0.32808
1987,Primary Level,2nd Quintile,Difficult,0.18233,37,73,0.09314,0.27152
1987,Primary Level,2nd Quintile,Almost impossible,0.17368,36,73,0.08617,0.26119
1987,Lower Secondary Level,1st Quintile,Difficult,0.14788,179,295,0.10730,0.18845
1987,Lower Secondary Level,1st Quintile,Almost impossible,0.13490,116,295,0.09585,0.17395
1987,Lower Secondary Level,2nd Quintile,Difficult,0.09146,94,165,0.04735,0.13558
1987,Lower Secondary Level,2nd Quintile,Almost impossible,0.09867,71,165,0.05303,0.14431
1987,Lower Secondary Level,3rd Quintile,Difficult,0.13346,82,129,0.07455,0.19238
1987,Lower Secondary Level,3rd Quintile,Almost impossible,0.08782,47,129,0.03879,0.13686
1987,Lower Secondary Level,4th Quintile,Difficult,0.09051,51,94,0.03220,0.14883
1987,Lower Secondary Level,4th Quintile,Almost impossible,0.10132,43,94,0.03999,0.16265
1987,Lower Secondary Level,5th Quintile,Difficult,0.11039,37,37,0.00802,0.21276
1987,Upper Secondary Level,1st Quintile,Easy,0.03829,39,266,0.01518,0.06139
1987,Upper Secondary Level,1st Quintile,Difficult,0.17090,154,266,0.12558,0.21622
1987,Upper Secondary Level,1st Quintile,Almost impossible,0.09044,73,266,0.05591,0.12498
1987,Upper Secondary Level,2nd Quintile,Easy,0.04074,45,236,0.01546,0.06602
1987,Upper Secondary Level,2nd Quintile,Difficult,0.11400,132,236,0.07337,0.15464
1987,Upper Secondary Level,2nd Quintile,Almost impossible,0.06162,59,236,0.03088,0.09237
1987,Upper Secondary Level,3rd Quintile,Difficult,0.10236,119,164,0.05582,0.14889
1987,Upper Secondary Level,3rd Quintile,Almost impossible,0.04129,45,164,0.01075,0.07184
1987,Upper Secondary Level,4th Quintile,Easy,0.02737,34,187,0.00392,0.05081
1987,Upper Secondary Level,4th Quintile,Difficult,0.08584,106,187,0.04558,0.12610
1987,Upper Secondary Level,4th Quintile,Almost impossible,0.04393,47,187,0.01447,0.07338
1987,Upper Secondary Level,5th Quintile,Difficult,0.05735,64,105,0.01266,0.10204
1987,Upper Secondary Level,5th Quintile,Almost impossible,0.03939,41,105,0.00200,0.07677
1988,Primary Level,1st Quintile,Difficult,0.21788,52,125,0.14522,0.29054
1988,Primary Level,1st Quintile,Almost impossible,0.27120,73,125,0.19295,0.34946
1988,Primary Level,2nd Quintile,Almost impossible,0.25983,41,41,0.12393,0.39574
1988,Lower Secondary Level,1st Quintile,Difficult,0.14519,151,260,0.10228,0.18809
1988,Lower Secondary Level,1st Quintile,Almost impossible,0.10997,109,260,0.07187,0.14808
1988,Lower Secondary Level,2nd Quintile,Difficult,0.11020,106,165,0.06227,0.15813
1988,Lower Secondary Level,2nd Quintile,Almost impossible,0.08271,59,165,0.04056,0.12487
1988,Lower Secondary Level,3rd Quintile,Difficult,0.10455,69,124,0.05048,0.15863
1988,Lower Secondary Level,3rd Quintile,Almost impossible,0.10809,55,124,0.05322,0.16297
1988,Lower Secondary Level,4th Quintile,Difficult,0.09287,45,86,0.03117,0.15458
1988,Lower Secondary Level,4th Quintile,Almost impossible,0.09422,41,86,0.03212,0.15633
1988,Upper Secondary Level,1st Quintile,Easy,0.04325,38,257,0.01833,0.06816
1988,Upper Secondary Level,1st Quintile,Difficult,0.16799,143,257,0.12220,0.21379
1988,Upper Secondary Level,1st Quintile,Almost impossible,0.10133,76,257,0.06436,0.13829
1988,Upper Secondary Level,2nd Quintile,Easy,0.03743,38,208,0.01157,0.06328
1988,Upper Secondary Level,2nd Quintile,Difficult,0.10715,118,208,0.06502,0.14929
1988,Upper Secondary Level,2nd Quintile,Almost impossible,0.05699,52,208,0.02541,0.08857
1988,Upper Secondary Level,3rd Quintile,Easy,0.03062,37,205,0.00698,0.05427
1988,Upper Secondary Level,3rd Quintile,Difficult,0.10746,117,205,0.06496,0.14995
1988,Upper Secondary Level,3rd Quintile,Almost impossible,0.05408,51,205,0.02304,0.08512
1988,Upper Secondary Level,4th Quintile,Difficult,0.09753,118,164,0.05198,0.14308
1988,Upper Secondary Level,4th Quintile,Almost impossible,0.04296,46,164,0.01183,0.07408
1988,Upper Secondary Level,5th Quintile,Difficult,0.06291,73,116,0.01853,0.10729
1988,Upper Secondary Level,5th Quintile,Almost impossible,0.04223,43,116,0.00547,0.07898
1989,Primary Level,1st Quintile,Difficult,0.15923,47,117,0.09264,0.22581
