year,sampreg,sex,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1987,West,male,Easy,0.18700978345867506,145,2587,0.18655232896284296,0.18746723795450715
1987,West,male,Difficult,0.5356001155039173,376,2587,0.5350150028919348,0.5361852281158997
1987,West,male,Almost impossible,0.27739010103740774,184,2587,0.27686484565730407,0.2779153564175114
1987,West,female,Easy,0.1257150479747736,222,2587,0.12548193836025417,0.125948157589293
1987,West,female,Difficult,0.5317725753412252,1031,2587,0.5314217172927715,0.5321234333896789
1987,West,female,Almost impossible,0.3425123766840012,629,2587,0.34217870298378356,0.34284605038421884
1988,West,male,Easy,0.25321857138948745,155,2458,0.25271901647122735,0.25371812630774754
1988,West,male,Difficult,0.5073342417012003,353,2458,0.5067599110635261,0.5079085723388745
1988,West,male,Almost impossible,0.23944718690931224,159,2458,0.23895694744901932,0.23993742636960516
1988,West,female,Easy,0.1109647244061,206,2458,0.11074180789266803,0.11118764091953197
1988,West,female,Difficult,0.5277159811795985,946,2458,0.5273616641520619,0.5280702982071351
1988,West,female,Almost impossible,0.36131929441430155,639,2458,0.360978354576238,0.3616602342523651
1989,West,male,Easy,0.25313333538708427,141,2245,0.25261426276099147,0.25365240801317707
1989,West,male,Difficult,0.5102422814727389,298,2245,0.5096455062490268,0.5108390566964509
1989,West,male,Almost impossible,0.23662438314017684,149,2245,0.23611700610406422,0.23713176017628945
1989,West,female,Easy,0.1467219120534995,249,2245,0.14646555740302872,0.14697826670397027
1989,West,female,Difficult,0.4976569109701049,827,2245,0.49729465658579725,0.49801916535441254
1989,West,female,Almost impossible,0.35562117697639567,581,2245,0.3552743500143491,0.35596800393844225
1990,West,male,Easy,0.32045344171427637,176,2452,0.31990349601720064,0.3210033874113521
1990,West,male,Difficult,0.4394518414091226,260,2452,0.43886693034164564,0.4400367524765995
1990,West,male,Almost impossible,0.24009471687660106,149,2452,0.23959133362306423,0.24059810013013788
1990,West,female,Easy,0.1624884279519536,261,2452,0.16221768963738992,0.16275916626651726
1990,West,female,Difficult,0.49228738035934516,767,2452,0.49192046877409573,0.4926542919445946
