year,regtyp,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Urban regions,Easy,0.02595,298,2096,0.01914,0.03276
1987,Urban regions,Difficult,0.09440,1125,2096,0.08188,0.10692
1987,Urban regions,Almost impossible,0.05985,673,2096,0.04969,0.07001
1987,Rural regions,Easy,0.02113,69,491,0.00840,0.03387
1987,Rural regions,Difficult,0.08890,282,491,0.06370,0.11410
1987,Rural regions,Almost impossible,0.04740,140,491,0.02859,0.06622
1988,Urban regions,Easy,0.02737,297,1995,0.02021,0.03453
1988,Urban regions,Difficult,0.08928,1035,1995,0.07676,0.10180
1988,Urban regions,Almost impossible,0.06134,663,1995,0.05081,0.07187
1988,Rural regions,Easy,0.02213,64,463,0.00872,0.03555
1988,Rural regions,Difficult,0.09572,264,463,0.06889,0.12255
1988,Rural regions,Almost impossible,0.04321,135,463,0.02467,0.06175
1989,Urban regions,Easy,0.03000,320,1816,0.02215,0.03785
1989,Urban regions,Difficult,0.08146,909,1816,0.06888,0.09404
1989,Urban regions,Almost impossible,0.05369,587,1816,0.04332,0.06406
1989,Rural regions,Easy,0.02464,70,429,0.00995,0.03932
1989,Rural regions,Difficult,0.08423,216,429,0.05791,0.11054
1989,Rural regions,Almost impossible,0.05088,143,429,0.03006,0.07170
1990,Urban regions,Easy,0.03298,396,1842,0.02482,0.04114
1990,Urban regions,Difficult,0.07020,886,1842,0.05853,0.08188
1990,Urban regions,Almost impossible,0.04622,560,1842,0.03663,0.05581
1990,Rural regions,Easy,0.01740,97,645,0.00730,0.02750
1990,Rural regions,Difficult,0.06459,372,645,0.04560,0.08357
1990,Rural regions,Almost impossible,0.03423,176,645,0.02019,0.04827
1991,Urban regions,Easy,0.03096,386,1786,0.02292,0.03900
1991,Urban regions,Difficult,0.06913,849,1786,0.05736,0.08090
1991,Urban regions,Almost impossible,0.04506,551,1786,0.03543,0.05468
1991,Rural regions,Easy,0.02335,120,829,0.01307,0.03364
1991,Rural regions,Difficult,0.07048,445,829,0.05305,0.08792
1991,Rural regions,Almost impossible,0.04582,264,829,0.03158,0.06006
1992,Urban regions,Easy,0.03733,443,1838,0.02866,0.04600
1992,Urban regions,Difficult,0.06960,857,1838,0.05796,0.08123
1992,Urban regions,Almost impossible,0.04448,538,1838,0.03506,0.05391
1992,Rural regions,Easy,0.02751,142,911,0.01688,0.03814
1992,Rural regions,Difficult,0.07886,501,911,0.06134,0.09637
1992,Rural regions,Almost impossible,0.04344,268,911,0.03019,0.05668
1993,Urban regions,Easy,0.02819,324,1921,0.02079,0.03559
1993,Urban regions,Difficult,0.08124,963,1921,0.06902,0.09346
1993,Urban regions,Almost impossible,0.05036,634,1921,0.04058,0.06015
1993,Rural regions,Easy,0.02038,111,1004,0.01164,0.02913
1993,Rural regions,Difficult,0.08274,526,1004,0.06569,0.09979
1993,Rural regions,Almost impossible,0.06220,367,1004,0.04725,0.07715
1994,Urban regions,Easy,0.02500,283,1965,0.01809,0.03190
1994,Urban regions,Difficult,0.08025,990,1965,0.06823,0.09226
1994,Urban regions,Almost impossible,0.05930,692,1965,0.04886,0.06975
1994,Rural regions,Easy,0.01740,105,979,0.00920,0.02559
1994,Rural regions,Difficult,0.08958,538,979,0.07168,0.10747
1994,Rural regions,Almost impossible,0.06160,336,979,0.04653,0.07667
1995,Urban regions,Easy,0.02409,288,2060,0.01747,0.03071
1995,Urban regions,Difficult,0.09040,1094,2060,0.07801,0.10278
1995,Urban regions,Almost impossible,0.05635,678,2060,0.04639,0.06631
1995,Rural regions,Easy,0.01869,107,993,0.01026,0.02711
1995,Rural regions,Difficult,0.08608,560,993,0.06863,0.10354
1995,Rural regions,Almost impossible,0.05786,326,993,0.04333,0.07239
1996,Urban regions,Easy,0.02463,276,1996,0.01783,0.03143
1996,Urban regions,Difficult,0.08442,1030,1996,0.07222,0.09662
1996,Urban regions,Almost impossible,0.05906,690,1996,0.04872,0.06941
1996,Rural regions,Easy,0.01910,116,1018,0.01069,0.02751
1996,Rural regions,Difficult,0.09521,599,1018,0.07717,0.11325
1996,Rural regions,Almost impossible,0.05016,303,1018,0.03675,0.06358
1997,Urban regions,Easy,0.01910,220,1984,0.01308,0.02512
1997,Urban regions,Difficult,0.08864,1065,1984,0.07613,0.10115
1997,Urban regions,Almost impossible,0.05976,699,1984,0.04933,0.07019
1997,Rural regions,Easy,0.01625,92,986,0.00835,0.02415
1997,Rural regions,Difficult,0.09514,576,986,0.07682,0.11347
1997,Rural regions,Almost impossible,0.05892,318,986,0.04421,0.07362
1998,Urban regions,Easy,0.01946,257,2054,0.01348,0.02543
1998,Urban regions,Difficult,0.08622,1092,2054,0.07408,0.09836
1998,Urban regions,Almost impossible,0.05315,705,2054,0.04344,0.06285
1998,Rural regions,Easy,0.01435,99,1081,0.00726,0.02145
1998,Rural regions,Difficult,0.09577,639,1081,0.07822,0.11332
1998,Rural regions,Almost impossible,0.05409,343,1081,0.04060,0.06758
1999,Urban regions,Easy,0.02048,236,1818,0.01396,0.02699
1999,Urban regions,Difficult,0.07607,968,1818,0.06388,0.08826
1999,Urban regions,Almost impossible,0.05037,614,1818,0.04032,0.06043
1999,Rural regions,Easy,0.01703,100,958,0.00883,0.02522
1999,Rural regions,Difficult,0.08464,565,958,0.06701,0.10228
1999,Rural regions,Almost impossible,0.04947,293,958,0.03573,0.06321
2000,Urban regions,Easy,0.02315,489,3128,0.01788,0.02842
2000,Urban regions,Difficult,0.07019,1546,3128,0.06124,0.07915
2000,Urban regions,Almost impossible,0.04902,1093,3128,0.04145,0.05658
2000,Rural regions,Easy,0.02050,211,1633,0.01363,0.02738
2000,Rural regions,Difficult,0.07908,897,1633,0.06598,0.09217
2000,Rural regions,Almost impossible,0.04729,525,1633,0.03699,0.05759
2001,Urban regions,Easy,0.02518,498,2685,0.01925,0.03111
2001,Urban regions,Difficult,0.06607,1272,2685,0.05667,0.07547
2001,Urban regions,Almost impossible,0.04690,915,2685,0.03890,0.05490
2001,Rural regions,Easy,0.02022,195,1455,0.01299,0.02746
2001,Rural regions,Difficult,0.07898,828,1455,0.06511,0.09284
2001,Rural regions,Almost impossible,0.04434,432,1455,0.03376,0.05492
2002,Urban regions,Easy,0.02584,497,2816,0.01997,0.03170
2002,Urban regions,Difficult,0.07176,1413,2816,0.06222,0.08129
2002,Urban regions,Almost impossible,0.04759,906,2816,0.03972,0.05545
2002,Rural regions,Easy,0.01734,199,1456,0.01063,0.02405
2002,Rural regions,Difficult,0.08709,819,1456,0.07260,0.10158
2002,Rural regions,Almost impossible,0.04536,438,1456,0.03467,0.05605
2003,Urban regions,Easy,0.01596,329,1973,0.01042,0.02149
2003,Urban regions,Difficult,0.06768,1226,1973,0.05660,0.07877
2003,Urban regions,Almost impossible,0.02153,418,1973,0.01512,0.02793
2003,Rural regions,Easy,0.01189,116,1101,0.00549,0.01830
2003,Rural regions,Difficult,0.07610,716,1101,0.06043,0.09177
2003,Rural regions,Almost impossible,0.02790,269,1101,0.01817,0.03764
2004,Urban regions,Easy,0.01377,295,2019,0.00868,0.01885
2004,Urban regions,Difficult,0.06808,1259,2019,0.05709,0.07907
2004,Urban regions,Almost impossible,0.02725,465,2019,0.02014,0.03435
2004,Rural regions,Easy,0.01467,132,1144,0.00770,0.02164
2004,Rural regions,Difficult,0.08488,733,1144,0.06873,0.10104
2004,Rural regions,Almost impossible,0.03285,279,1144,0.02252,0.04318
2005,Urban regions,Easy,0.01192,240,1973,0.00713,0.01671
2005,Urban regions,Difficult,0.07602,1235,1973,0.06433,0.08772
2005,Urban regions,Almost impossible,0.02917,498,1973,0.02174,0.03660
2005,Rural regions,Easy,0.00831,85,1084,0.00290,0.01371
2005,Rural regions,Difficult,0.08597,697,1084,0.06927,0.10267
2005,Rural regions,Almost impossible,0.03313,302,1084,0.02247,0.04378
2006,Urban regions,Easy,0.01389,278,1953,0.00870,0.01909
2006,Urban regions,Difficult,0.07200,1213,1953,0.06054,0.08347
2006,Urban regions,Almost impossible,0.02773,462,1953,0.02044,0.03501
2006,Rural regions,Easy,0.01183,115,1102,0.00544,0.01822
2006,Rural regions,Difficult,0.07496,676,1102,0.05941,0.09052
2006,Rural regions,Almost impossible,0.03375,311,1102,0.02309,0.04442
2007,Urban regions,Easy,0.01521,290,1652,0.00931,0.02112
2007,Urban regions,Difficult,0.06317,982,1652,0.05144,0.07491
2007,Urban regions,Almost impossible,0.02526,380,1652,0.01769,0.03282
2007,Rural regions,Easy,0.01091,105,906,0.00414,0.01767
2007,Rural regions,Difficult,0.06471,544,906,0.04868,0.08074
2007,Rural regions,Almost impossible,0.03031,257,906,0.01914,0.04148
2008,Urban regions,Easy,0.01513,269,1443,0.00883,0.02143
2008,Urban regions,Difficult,0.05716,868,1443,0.04518,0.06914
2008,Urban regions,Almost impossible,0.02028,306,1443,0.01300,0.02755
2008,Rural regions,Easy,0.01492,123,828,0.00666,0.02319
2008,Rural regions,Difficult,0.06018,476,828,0.04397,0.07639
2008,Rural regions,Almost impossible,0.02690,229,828,0.01587,0.03793
2009,Urban regions,Easy,0.01749,256,1313,0.01040,0.02459
2009,Urban regions,Difficult,0.05645,761,1313,0.04397,0.06894
2009,Urban regions,Almost impossible,0.02116,296,1313,0.01337,0.02894
2009,Rural regions,Easy,0.01756,124,747,0.00814,0.02699
2009,Rural regions,Difficult,0.05518,427,747,0.03879,0.07156
2009,Rural regions,Almost impossible,0.02645,196,747,0.01493,0.03796
2010,Urban regions,Easy,0.02006,630,2906,0.01496,0.02516
2010,Urban regions,Difficult,0.06302,1669,2906,0.05419,0.07186
2010,Urban regions,Almost impossible,0.02326,607,2906,0.01778,0.02874
2010,Rural regions,Easy,0.01388,252,1447,0.00785,0.01991
