year,regtyp,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Urban regions,male,Easy,0.19279,121,578,0.16060,0.22498
1987,Urban regions,male,Difficult,0.51831,301,578,0.47754,0.55908
1987,Urban regions,male,Almost impossible,0.28890,156,578,0.25192,0.32588
1987,Urban regions,female,Easy,0.12644,177,1518,0.10972,0.14317
1987,Urban regions,female,Difficult,0.52587,824,1518,0.50074,0.55099
1987,Urban regions,female,Almost impossible,0.34769,517,1518,0.32372,0.37165
1987,Rural regions,male,Difficult,0.59699,75,75,0.48524,0.70875
1987,Rural regions,female,Easy,0.12270,45,364,0.08895,0.15645
1987,Rural regions,female,Difficult,0.55314,207,364,0.50200,0.60429
1987,Rural regions,female,Almost impossible,0.32415,112,364,0.27600,0.37230
1988,Urban regions,male,Easy,0.24894,125,540,0.21244,0.28545
1988,Urban regions,male,Difficult,0.49591,285,540,0.45370,0.53812
1988,Urban regions,male,Almost impossible,0.25515,130,540,0.21835,0.29196
1988,Urban regions,female,Easy,0.11764,172,1455,0.10108,0.13420
1988,Urban regions,female,Difficult,0.50375,750,1455,0.47805,0.52945
1988,Urban regions,female,Almost impossible,0.37861,533,1455,0.35368,0.40354
1988,Rural regions,male,Difficult,0.54760,68,68,0.42842,0.66678
1988,Rural regions,female,Easy,0.08713,34,336,0.05692,0.11733
1988,Rural regions,female,Difficult,0.61245,196,336,0.56028,0.66462
1988,Rural regions,female,Almost impossible,0.30042,106,336,0.25133,0.34952
1989,Urban regions,male,Easy,0.26351,113,467,0.22351,0.30351
1989,Urban regions,male,Difficult,0.48871,230,467,0.44332,0.53409
1989,Urban regions,male,Almost impossible,0.24778,124,467,0.20858,0.28698
1989,Urban regions,female,Easy,0.15225,207,1349,0.13307,0.17143
1989,Urban regions,female,Difficult,0.49490,679,1349,0.46821,0.52159
1989,Urban regions,female,Almost impossible,0.35285,463,1349,0.32734,0.37836
1989,Rural regions,male,Difficult,0.57732,68,68,0.45904,0.69561
1989,Rural regions,female,Easy,0.12776,42,308,0.09042,0.16510
1989,Rural regions,female,Difficult,0.50727,148,308,0.45134,0.56320
1989,Rural regions,female,Almost impossible,0.36497,118,308,0.31112,0.41882
1990,Urban regions,male,Easy,0.33098,153,512,0.29018,0.37178
1990,Urban regions,male,Difficult,0.44800,235,512,0.40488,0.49112
1990,Urban regions,male,Almost impossible,0.22102,124,512,0.18504,0.25700
1990,Urban regions,female,Easy,0.17796,243,1330,0.15740,0.19852
1990,Urban regions,female,Difficult,0.47840,651,1330,0.45154,0.50525
1990,Urban regions,female,Almost impossible,0.34364,436,1330,0.31811,0.36918
1990,Rural regions,male,Easy,0.24078,45,180,0.17814,0.30341
1990,Rural regions,male,Difficult,0.49545,92,180,0.42221,0.56870
1990,Rural regions,male,Almost impossible,0.26377,43,180,0.19921,0.32833
1990,Rural regions,female,Easy,0.11159,52,465,0.08294,0.14024
1990,Rural regions,female,Difficult,0.58100,280,465,0.53611,0.62590
1990,Rural regions,female,Almost impossible,0.30741,133,465,0.26542,0.34939
1991,Urban regions,male,Easy,0.30460,143,488,0.26372,0.34547
1991,Urban regions,male,Difficult,0.43036,212,488,0.38639,0.47434
1991,Urban regions,male,Almost impossible,0.26504,133,488,0.22584,0.30424
1991,Urban regions,female,Easy,0.17991,243,1298,0.15900,0.20081
1991,Urban regions,female,Difficult,0.49308,637,1298,0.46588,0.52029
1991,Urban regions,female,Almost impossible,0.32701,418,1298,0.30147,0.35254
1991,Rural regions,male,Easy,0.20270,49,257,0.15345,0.25194
1991,Rural regions,male,Difficult,0.47703,132,257,0.41585,0.53822
1991,Rural regions,male,Almost impossible,0.32027,76,257,0.26311,0.37743
1991,Rural regions,female,Easy,0.15170,71,572,0.12227,0.18112
1991,Rural regions,female,Difficult,0.51678,313,572,0.47579,0.55777
1991,Rural regions,female,Almost impossible,0.33153,188,572,0.29291,0.37014
1992,Urban regions,male,Easy,0.31238,147,514,0.27227,0.35249
1992,Urban regions,male,Difficult,0.41408,233,514,0.37146,0.45670
1992,Urban regions,male,Almost impossible,0.27354,134,514,0.23496,0.31212
1992,Urban regions,female,Easy,0.22001,296,1324,0.19769,0.24234
1992,Urban regions,female,Difficult,0.47802,624,1324,0.45110,0.50494
1992,Urban regions,female,Almost impossible,0.30196,404,1324,0.27722,0.32670
1992,Rural regions,male,Easy,0.24537,55,270,0.19395,0.29679
1992,Rural regions,male,Difficult,0.46179,144,270,0.40222,0.52137
1992,Rural regions,male,Almost impossible,0.29284,71,270,0.23846,0.34722
1992,Rural regions,female,Easy,0.15733,87,641,0.12912,0.18553
1992,Rural regions,female,Difficult,0.55394,357,641,0.51543,0.59245
1992,Rural regions,female,Almost impossible,0.28873,197,641,0.25362,0.32384
1993,Urban regions,male,Easy,0.21830,110,577,0.18457,0.25204
1993,Urban regions,male,Difficult,0.49102,286,577,0.45020,0.53185
1993,Urban regions,male,Almost impossible,0.29067,181,577,0.25359,0.32775
1993,Urban regions,female,Easy,0.15797,214,1344,0.13846,0.17747
1993,Urban regions,female,Difficult,0.51607,677,1344,0.48934,0.54279
1993,Urban regions,female,Almost impossible,0.32597,453,1344,0.30090,0.35104
1993,Rural regions,male,Easy,0.12991,44,340,0.09412,0.16570
1993,Rural regions,male,Difficult,0.48954,171,340,0.43633,0.54275
1993,Rural regions,male,Almost impossible,0.38055,125,340,0.32886,0.43223
1993,Rural regions,female,Easy,0.11984,67,664,0.09511,0.14456
1993,Rural regions,female,Difficult,0.50620,355,664,0.46814,0.54425
1993,Rural regions,female,Almost impossible,0.37397,242,664,0.33714,0.41080
1994,Urban regions,male,Easy,0.17152,83,579,0.14079,0.20225
1994,Urban regions,male,Difficult,0.53644,317,579,0.49579,0.57710
1994,Urban regions,male,Almost impossible,0.29204,179,579,0.25497,0.32911
1994,Urban regions,female,Easy,0.14375,200,1386,0.12527,0.16222
1994,Urban regions,female,Difficult,0.46741,673,1386,0.44113,0.49369
1994,Urban regions,female,Almost impossible,0.38884,513,1386,0.36317,0.41452
1994,Rural regions,male,Easy,0.14567,53,345,0.10839,0.18296
1994,Rural regions,male,Difficult,0.52227,184,345,0.46949,0.57506
1994,Rural regions,male,Almost impossible,0.33205,108,345,0.28229,0.38182
1994,Rural regions,female,Easy,0.07883,52,634,0.05784,0.09982
1994,Rural regions,female,Difficult,0.53661,354,634,0.49776,0.57545
1994,Rural regions,female,Almost impossible,0.38456,228,634,0.34666,0.42246
1995,Urban regions,male,Easy,0.17706,93,607,0.14666,0.20745
1995,Urban regions,male,Difficult,0.52755,338,607,0.48780,0.56730
1995,Urban regions,male,Almost impossible,0.29539,176,607,0.25907,0.33172
1995,Urban regions,female,Easy,0.12542,195,1453,0.10838,0.14245
1995,Urban regions,female,Difficult,0.52985,756,1453,0.50418,0.55552
1995,Urban regions,female,Almost impossible,0.34474,502,1453,0.32029,0.36918
1995,Rural regions,male,Easy,0.11772,40,341,0.08346,0.15197
1995,Rural regions,male,Difficult,0.56080,203,341,0.50804,0.61355
1995,Rural regions,male,Almost impossible,0.32149,98,341,0.27184,0.37113
1995,Rural regions,female,Easy,0.11347,67,652,0.08910,0.13783
1995,Rural regions,female,Difficult,0.51313,357,652,0.47473,0.55153
1995,Rural regions,female,Almost impossible,0.37340,228,652,0.33625,0.41056
1996,Urban regions,male,Easy,0.14142,72,590,0.11328,0.16956
1996,Urban regions,male,Difficult,0.51183,319,590,0.47146,0.55220
1996,Urban regions,male,Almost impossible,0.34675,199,590,0.30831,0.38518
1996,Urban regions,female,Easy,0.14867,204,1406,0.13006,0.16727
1996,Urban regions,female,Difficult,0.49807,711,1406,0.47192,0.52421
1996,Urban regions,female,Almost impossible,0.35326,491,1406,0.32827,0.37826
1996,Rural regions,male,Easy,0.10869,43,362,0.07658,0.14080
1996,Rural regions,male,Difficult,0.65011,231,362,0.60091,0.69931
1996,Rural regions,male,Almost impossible,0.24120,88,362,0.19707,0.28533
1996,Rural regions,female,Easy,0.12024,73,656,0.09533,0.14515
1996,Rural regions,female,Difficult,0.53941,368,656,0.50124,0.57759
1996,Rural regions,female,Almost impossible,0.34035,215,656,0.30406,0.37663
1997,Urban regions,male,Easy,0.07089,52,648,0.05112,0.09067
1997,Urban regions,male,Difficult,0.57247,375,648,0.53435,0.61059
1997,Urban regions,male,Almost impossible,0.35664,221,648,0.31973,0.39355
1997,Urban regions,female,Easy,0.13460,168,1336,0.11629,0.15291
1997,Urban regions,female,Difficult,0.50855,690,1336,0.48173,0.53536
1997,Urban regions,female,Almost impossible,0.35686,478,1336,0.33116,0.38255
1997,Rural regions,male,Easy,0.09859,32,339,0.06681,0.13037
1997,Rural regions,male,Difficult,0.56335,207,339,0.51047,0.61622
1997,Rural regions,male,Almost impossible,0.33806,100,339,0.28763,0.38849
1997,Rural regions,female,Easy,0.09371,60,647,0.07124,0.11618
1997,Rural regions,female,Difficult,0.55611,369,647,0.51780,0.59443
1997,Rural regions,female,Almost impossible,0.35018,218,647,0.31339,0.38696
1998,Urban regions,male,Easy,0.09736,64,643,0.07443,0.12029
1998,Urban regions,male,Difficult,0.58098,371,643,0.54282,0.61915
1998,Urban regions,male,Almost impossible,0.32165,208,643,0.28552,0.35779
1998,Urban regions,female,Easy,0.13450,193,1411,0.11669,0.15230
1998,Urban regions,female,Difficult,0.52469,721,1411,0.49862,0.55075
1998,Urban regions,female,Almost impossible,0.34082,497,1411,0.31608,0.36556
1998,Rural regions,male,Easy,0.09146,37,379,0.06240,0.12052
1998,Rural regions,male,Difficult,0.59928,236,379,0.54988,0.64869
1998,Rural regions,male,Almost impossible,0.30926,106,379,0.26266,0.35585
1998,Rural regions,female,Easy,0.08535,62,702,0.06467,0.10604
1998,Rural regions,female,Difficult,0.57503,403,702,0.53844,0.61163
1998,Rural regions,female,Almost impossible,0.33961,237,702,0.30455,0.37467
1999,Urban regions,male,Easy,0.16069,73,547,0.12989,0.19150
1999,Urban regions,male,Difficult,0.51364,296,547,0.47171,0.55556
1999,Urban regions,male,Almost impossible,0.32567,178,547,0.28636,0.36498
1999,Urban regions,female,Easy,0.12916,163,1271,0.11071,0.14761
1999,Urban regions,female,Difficult,0.51976,672,1271,0.49228,0.54723
1999,Urban regions,female,Almost impossible,0.35108,436,1271,0.32483,0.37734
1999,Rural regions,male,Easy,0.11748,35,334,0.08289,0.15206
1999,Rural regions,male,Difficult,0.56270,207,334,0.50942,0.61598
1999,Rural regions,male,Almost impossible,0.31982,92,334,0.26973,0.36992
1999,Rural regions,female,Easy,0.11027,65,624,0.08567,0.13486
1999,Rural regions,female,Difficult,0.55873,358,624,0.51973,0.59772
1999,Rural regions,female,Almost impossible,0.33101,201,624,0.29405,0.36796
2000,Urban regions,male,Easy,0.16767,142,907,0.14335,0.19200
2000,Urban regions,male,Difficult,0.50858,468,907,0.47603,0.54113
2000,Urban regions,male,Almost impossible,0.32375,297,907,0.29328,0.35421
2000,Urban regions,female,Easy,0.16044,347,2221,0.14517,0.17571
2000,Urban regions,female,Difficult,0.48636,1078,2221,0.46556,0.50715
2000,Urban regions,female,Almost impossible,0.35320,796,2221,0.33332,0.37309
2000,Rural regions,male,Easy,0.15520,78,551,0.12494,0.18546
2000,Rural regions,male,Difficult,0.56950,323,551,0.52812,0.61088
2000,Rural regions,male,Almost impossible,0.27530,150,551,0.23797,0.31263
2000,Rural regions,female,Easy,0.13134,133,1082,0.11121,0.15148
2000,Rural regions,female,Difficult,0.52196,574,1082,0.49218,0.55174
2000,Rural regions,female,Almost impossible,0.34670,375,1082,0.31833,0.37507
2001,Urban regions,male,Easy,0.18351,147,780,0.15632,0.21069
2001,Urban regions,male,Difficult,0.51066,381,780,0.47555,0.54576
2001,Urban regions,male,Almost impossible,0.30584,252,780,0.27348,0.33820
2001,Urban regions,female,Easy,0.18168,351,1905,0.16436,0.19900
2001,Urban regions,female,Difficult,0.46333,891,1905,0.44093,0.48572
2001,Urban regions,female,Almost impossible,0.35500,663,1905,0.33350,0.37649
2001,Rural regions,male,Easy,0.13591,70,520,0.10643,0.16540
2001,Rural regions,male,Difficult,0.55380,292,520,0.51103,0.59657
2001,Rural regions,male,Almost impossible,0.31029,158,520,0.27049,0.35009
2001,Rural regions,female,Easy,0.14384,125,935,0.12133,0.16634
2001,Rural regions,female,Difficult,0.54809,536,935,0.51618,0.58001
2001,Rural regions,female,Almost impossible,0.30807,274,935,0.27846,0.33768
2002,Urban regions,male,Easy,0.18574,162,857,0.15969,0.21180
2002,Urban regions,male,Difficult,0.53787,465,857,0.50447,0.57127
2002,Urban regions,male,Almost impossible,0.27639,230,857,0.24643,0.30635
2002,Urban regions,female,Easy,0.17411,335,1959,0.15731,0.19091
2002,Urban regions,female,Difficult,0.47277,948,1959,0.45065,0.49488
2002,Urban regions,female,Almost impossible,0.35312,676,1959,0.33195,0.37429
2002,Rural regions,male,Easy,0.11741,80,553,0.09056,0.14427
2002,Rural regions,male,Difficult,0.60083,317,553,0.55997,0.64168
2002,Rural regions,male,Almost impossible,0.28176,156,553,0.24423,0.31929
2002,Rural regions,female,Easy,0.11472,119,903,0.09392,0.13552
2002,Rural regions,female,Difficult,0.56899,502,903,0.53667,0.60131
2002,Rural regions,female,Almost impossible,0.31629,282,903,0.28594,0.34664
2003,Urban regions,male,Easy,0.11575,106,784,0.09334,0.13816
2003,Urban regions,male,Difficult,0.66130,500,784,0.62815,0.69445
2003,Urban regions,male,Almost impossible,0.22295,178,784,0.19380,0.25211
2003,Urban regions,female,Easy,0.17768,223,1189,0.15594,0.19941
2003,Urban regions,female,Difficult,0.63080,726,1189,0.60336,0.65825
2003,Urban regions,female,Almost impossible,0.19152,240,1189,0.16914,0.21390
2003,Rural regions,male,Easy,0.09290,47,473,0.06671,0.11909
2003,Rural regions,male,Difficult,0.67714,312,473,0.63496,0.71932
2003,Rural regions,male,Almost impossible,0.22996,114,473,0.19200,0.26792
2003,Rural regions,female,Easy,0.11065,69,628,0.08610,0.13520
2003,Rural regions,female,Difficult,0.63967,404,628,0.60210,0.67725
2003,Rural regions,female,Almost impossible,0.24968,155,628,0.21580,0.28355
2004,Urban regions,male,Easy,0.12696,113,792,0.10376,0.15016
2004,Urban regions,male,Difficult,0.61295,484,792,0.57901,0.64690
2004,Urban regions,male,Almost impossible,0.26008,195,792,0.22951,0.29066
2004,Urban regions,female,Easy,0.12562,182,1227,0.10706,0.14417
2004,Urban regions,female,Difficult,0.63243,775,1227,0.60544,0.65942
2004,Urban regions,female,Almost impossible,0.24195,270,1227,0.21798,0.26592
2004,Rural regions,male,Easy,0.10807,56,492,0.08061,0.13553
2004,Rural regions,male,Difficult,0.62058,311,492,0.57766,0.66350
2004,Rural regions,male,Almost impossible,0.27135,125,492,0.23202,0.31068
2004,Rural regions,female,Easy,0.11331,76,652,0.08896,0.13766
2004,Rural regions,female,Difficult,0.65964,422,652,0.62324,0.69604
