year,quintil_oecd,regtyp,plb0419_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1987,1st Quintile,Urban regions,Difficult,0.528395061728395,13496,0.519972928956206,0.5368171945005841
1987,1st Quintile,Urban regions,Almost impossible,0.3497942386831276,13496,0.34174814158339634,0.35784033578285884
1987,1st Quintile,Urban regions,Easy,0.12181069958847737,13496,0.11629258993879692,0.12732880923815784
1987,1st Quintile,Rural regions,Difficult,0.5899053627760252,13496,0.5816071082062524,0.5982036173457981
1987,1st Quintile,Rural regions,Almost impossible,0.28391167192429023,13496,0.2763044084579385,0.29151893539064194
1987,1st Quintile,Rural regions,Easy,0.12618296529968454,13496,0.12058069376670119,0.13178523683266788
1987,2nd Quintile,Urban regions,Difficult,0.5472527472527473,13496,0.5388547558898688,0.5556507386156259
1987,2nd Quintile,Urban regions,Almost impossible,0.3032967032967033,13496,0.29554117629514404,0.3110522302982625
1987,2nd Quintile,Urban regions,Easy,0.14945054945054945,13496,0.1434353216531514,0.1554657772479475
1987,2nd Quintile,Rural regions,Difficult,0.5204081632653061,13496,0.5119794461576666,0.5288368803729457
1987,2nd Quintile,Rural regions,Almost impossible,0.3163265306122449,13496,0.3084805774873117,0.3241724837371781
1987,2nd Quintile,Rural regions,Easy,0.16326530612244897,13496,0.15702947452337024,0.1695011377215277
1987,3rd Quintile,Urban regions,Difficult,0.5294117647058824,13496,0.5209906251728353,0.5378329042389294
1987,3rd Quintile,Urban regions,Almost impossible,0.29411764705882354,13496,0.2864302335885763,0.3018050605290708
1987,3rd Quintile,Urban regions,Easy,0.17647058823529413,13496,0.17003883667729863,0.18290233979328963
1987,3rd Quintile,Rural regions,Difficult,0.5,13496,0.4915642531020578,0.5084357468979421
1987,3rd Quintile,Rural regions,Almost impossible,0.3076923076923077,13496,0.2999054644018995,0.3154791509827159
1987,3rd Quintile,Rural regions,Easy,0.19230769230769232,13496,0.1856584089894377,0.19895697562594694
1987,4th Quintile,Urban regions,Difficult,0.45614035087719296,13496,0.4477371218201868,0.4645435799341991
1987,4th Quintile,Urban regions,Almost impossible,0.2982456140350877,13496,0.2905271099695796,0.3059641181005958
1987,4th Quintile,Urban regions,Easy,0.24561403508771928,13496,0.23835168924896083,0.25287638092647774
1987,4th Quintile,Rural regions,Difficult,0.5,13496,0.4915642531020578,0.5084357468979421
1987,4th Quintile,Rural regions,Almost impossible,0.35,13496,0.34195281034082153,0.3580471896591784
1987,4th Quintile,Rural regions,Easy,0.15,13496,0.14397567172870435,0.15602432827129564
1987,5th Quintile,Urban regions,Difficult,0.4,13496,0.3917346898003103,0.40826531019968976
1987,5th Quintile,Urban regions,Almost impossible,0.4,13496,0.3917346898003103,0.40826531019968976
1987,5th Quintile,Urban regions,Easy,0.2,13496,0.19325140248164627,0.20674859751835375
1987,5th Quintile,Rural regions,Almost impossible,0.5,13496,0.4915642531020578,0.5084357468979421
1987,5th Quintile,Rural regions,Difficult,0.5,13496,0.4915642531020578,0.5084357468979421
1988,1st Quintile,Urban regions,Difficult,0.5186873290793071,12817,0.5100370653968458,0.5273375927617685
1988,1st Quintile,Urban regions,Almost impossible,0.35824977210574294,12817,0.3499486107358459,0.36655093347564
1988,1st Quintile,Urban regions,Easy,0.12306289881494986,12817,0.11737553943460477,0.12875025819529495
1988,1st Quintile,Rural regions,Difficult,0.5735294117647058,12817,0.564967213718913,0.5820916098104987
1988,1st Quintile,Rural regions,Almost impossible,0.3125,12817,0.3044753843343682,0.3205246156656318
1988,1st Quintile,Rural regions,Easy,0.11397058823529412,12817,0.10846906003605278,0.11947211643453545
1988,2nd Quintile,Urban regions,Difficult,0.5176715176715176,12817,0.5090206141458835,0.5263224211971518
1988,2nd Quintile,Urban regions,Almost impossible,0.30145530145530147,12817,0.2935107123087764,0.30939989060182654
1988,2nd Quintile,Urban regions,Easy,0.18087318087318088,12817,0.17420932585115143,0.18753703589521034
1988,2nd Quintile,Rural regions,Difficult,0.5652173913043478,12817,0.5566350314699448,0.5737997511387508
1988,2nd Quintile,Rural regions,Almost impossible,0.2782608695652174,12817,0.2705023461674612,0.2860193929629736
