year,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,male,Easy,0.01800,145,705,0.00818,0.02782
1987,male,Difficult,0.05153,376,705,0.03520,0.06786
1987,male,Almost impossible,0.02670,184,705,0.01479,0.03860
1987,female,Easy,0.03103,222,1882,0.02319,0.03886
1987,female,Difficult,0.13136,1031,1882,0.11609,0.14662
1987,female,Almost impossible,0.08459,629,1882,0.07202,0.09717
1988,male,Easy,0.02524,155,667,0.01332,0.03715
1988,male,Difficult,0.05062,353,667,0.03397,0.06727
1988,male,Almost impossible,0.02388,159,667,0.01229,0.03548
1988,female,Easy,0.02693,206,1791,0.01943,0.03443
1988,female,Difficult,0.12820,946,1791,0.11271,0.14368
1988,female,Almost impossible,0.08775,639,1791,0.07465,0.10086
1989,male,Easy,0.02313,141,588,0.01097,0.03529
1989,male,Difficult,0.04664,298,588,0.02958,0.06369
1989,male,Almost impossible,0.02164,149,588,0.00987,0.03341
1989,female,Easy,0.03397,249,1657,0.02525,0.04270
1989,female,Difficult,0.11518,827,1657,0.09981,0.13056
1989,female,Almost impossible,0.08229,581,1657,0.06906,0.09553
1990,male,Easy,0.02484,198,692,0.01324,0.03645
1990,male,Difficult,0.03742,327,692,0.02327,0.05157
1990,male,Almost impossible,0.01889,167,692,0.00874,0.02904
1990,female,Easy,0.03086,295,1800,0.02287,0.03885
1990,female,Difficult,0.09721,934,1800,0.08353,0.11090
1990,female,Almost impossible,0.06432,571,1800,0.05298,0.07566
1991,male,Easy,0.02220,192,749,0.01164,0.03275
1991,male,Difficult,0.03699,347,749,0.02347,0.05052
1991,male,Almost impossible,0.02342,210,749,0.01258,0.03426
1991,female,Easy,0.03423,315,1880,0.02601,0.04245
1991,female,Difficult,0.10018,956,1880,0.08660,0.11375
1991,female,Almost impossible,0.06564,609,1880,0.05444,0.07683
1992,male,Easy,0.02632,203,789,0.01514,0.03749
1992,male,Difficult,0.03878,380,789,0.02530,0.05226
1992,male,Almost impossible,0.02518,206,789,0.01424,0.03612
