year,age_gr,bula_h,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,17-29 y.,Lower Saxony,Difficult,0.23687,82,82,0.14428,0.32946
1987,17-29 y.,North Rhine-Westphalia,Easy,0.06534,60,333,0.03876,0.09192
1987,17-29 y.,North Rhine-Westphalia,Difficult,0.25034,221,333,0.20374,0.29694
1987,17-29 y.,North Rhine-Westphalia,Almost impossible,0.05936,52,333,0.03394,0.08478
1987,17-29 y.,Hesse,Difficult,0.18175,70,70,0.09076,0.27275
1987,17-29 y.,"Rhineland-Palatinate, Saarland",Difficult,0.18822,43,43,0.07000,0.30644
1987,17-29 y.,Baden-Wuerttemberg,Easy,0.08036,44,155,0.03742,0.12329
1987,17-29 y.,Baden-Wuerttemberg,Difficult,0.16084,111,155,0.10282,0.21887
1987,17-29 y.,Bavaria,Easy,0.07488,43,117,0.02698,0.12278
1987,17-29 y.,Bavaria,Difficult,0.13622,74,117,0.07380,0.19865
1987,30-45 y.,Lower Saxony,Difficult,0.13776,45,45,0.03592,0.23960
1987,30-45 y.,North Rhine-Westphalia,Easy,0.03215,32,256,0.01050,0.05381
1987,30-45 y.,North Rhine-Westphalia,Difficult,0.15126,142,256,0.10728,0.19524
1987,30-45 y.,North Rhine-Westphalia,Almost impossible,0.07151,82,256,0.03988,0.10313
1987,30-45 y.,Hesse,Difficult,0.09228,31,31,-0.01129,0.19585
1987,30-45 y.,"Rhineland-Palatinate, Saarland",Difficult,0.20361,38,38,0.07385,0.33336
1987,30-45 y.,Baden-Wuerttemberg,Difficult,0.12903,78,113,0.06695,0.19112
1987,30-45 y.,Baden-Wuerttemberg,Almost impossible,0.04722,35,113,0.00794,0.08651
1987,30-45 y.,Bavaria,Difficult,0.13793,72,72,0.05772,0.21814
1987,46-65 y.,Lower Saxony,Difficult,0.11615,42,81,0.04594,0.18636
1987,46-65 y.,Lower Saxony,Almost impossible,0.10927,39,81,0.04090,0.17763
1987,46-65 y.,North Rhine-Westphalia,Difficult,0.09947,89,223,0.06010,0.13884
1987,46-65 y.,North Rhine-Westphalia,Almost impossible,0.15169,134,223,0.10450,0.19888
1987,46-65 y.,Hesse,Almost impossible,0.11023,43,43,0.01551,0.20494
1987,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.17770,47,47,0.06723,0.28817
1987,46-65 y.,Baden-Wuerttemberg,Difficult,0.07853,46,116,0.02936,0.12769
1987,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.08039,70,116,0.03069,0.13008
1987,46-65 y.,Bavaria,Difficult,0.08386,44,91,0.02660,0.14113
1987,46-65 y.,Bavaria,Almost impossible,0.09231,47,91,0.03251,0.15212
1988,17-29 y.,Lower Saxony,Difficult,0.23907,78,78,0.14380,0.33434
1988,17-29 y.,North Rhine-Westphalia,Easy,0.08365,70,329,0.05369,0.11361
1988,17-29 y.,North Rhine-Westphalia,Difficult,0.26364,212,329,0.21596,0.31133
1988,17-29 y.,North Rhine-Westphalia,Almost impossible,0.05010,47,329,0.02649,0.07371
1988,17-29 y.,Hesse,Difficult,0.19439,63,63,0.09588,0.29289
1988,17-29 y.,"Rhineland-Palatinate, Saarland",Difficult,0.14608,35,35,0.02736,0.26480
1988,17-29 y.,Baden-Wuerttemberg,Easy,0.08790,44,188,0.04731,0.12848
1988,17-29 y.,Baden-Wuerttemberg,Difficult,0.17887,103,188,0.12394,0.23380
1988,17-29 y.,Baden-Wuerttemberg,Almost impossible,0.04704,41,188,0.01669,0.07738
1988,17-29 y.,Bavaria,Easy,0.11090,53,120,0.05448,0.16732
1988,17-29 y.,Bavaria,Difficult,0.12983,67,120,0.06944,0.19022
1988,30-45 y.,Lower Saxony,Difficult,0.13768,42,42,0.03221,0.24315
1988,30-45 y.,North Rhine-Westphalia,Difficult,0.16228,141,206,0.11181,0.21275
1988,30-45 y.,North Rhine-Westphalia,Almost impossible,0.06156,65,206,0.02865,0.09446
1988,30-45 y.,Hesse,Difficult,0.14392,46,46,0.04136,0.24647
1988,30-45 y.,"Rhineland-Palatinate, Saarland",Difficult,0.24143,41,41,0.10881,0.37406
1988,30-45 y.,Baden-Wuerttemberg,Difficult,0.11523,74,74,0.04198,0.18848
1988,30-45 y.,Bavaria,Difficult,0.11778,66,66,0.03941,0.19614
1988,46-65 y.,Lower Saxony,Almost impossible,0.13437,51,51,0.03984,0.22890
1988,46-65 y.,North Rhine-Westphalia,Difficult,0.07809,69,212,0.04189,0.11430
1988,46-65 y.,North Rhine-Westphalia,Almost impossible,0.16284,143,212,0.11302,0.21266
1988,46-65 y.,Hesse,Almost impossible,0.13390,50,50,0.03855,0.22925
1988,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.17239,44,44,0.05949,0.28529
1988,46-65 y.,Baden-Wuerttemberg,Difficult,0.05113,35,106,0.00900,0.09325
1988,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.10089,71,106,0.04328,0.15849
1988,46-65 y.,Bavaria,Difficult,0.07924,42,85,0.02148,0.13700
1988,46-65 y.,Bavaria,Almost impossible,0.07451,43,85,0.01835,0.13067
1989,17-29 y.,Lower Saxony,Difficult,0.19832,61,61,0.09743,0.29921
1989,17-29 y.,North Rhine-Westphalia,Easy,0.09469,67,308,0.06194,0.12744
1989,17-29 y.,North Rhine-Westphalia,Difficult,0.20908,184,308,0.16359,0.25457
1989,17-29 y.,North Rhine-Westphalia,Almost impossible,0.06102,57,308,0.03424,0.08779
1989,17-29 y.,Hesse,Easy,0.12788,35,92,0.05927,0.19650
1989,17-29 y.,Hesse,Difficult,0.19215,57,92,0.11120,0.27309
1989,17-29 y.,"Rhineland-Palatinate, Saarland",Difficult,0.15039,35,35,0.03024,0.27054
1989,17-29 y.,Baden-Wuerttemberg,Easy,0.08515,50,130,0.03698,0.13331
1989,17-29 y.,Baden-Wuerttemberg,Difficult,0.14876,80,130,0.08735,0.21017
1989,17-29 y.,Bavaria,Easy,0.09765,47,113,0.04268,0.15263
1989,17-29 y.,Bavaria,Difficult,0.13780,66,113,0.07396,0.20163
1989,30-45 y.,North Rhine-Westphalia,Difficult,0.15263,128,194,0.10189,0.20337
1989,30-45 y.,North Rhine-Westphalia,Almost impossible,0.05518,66,194,0.02296,0.08739
1989,30-45 y.,Hesse,Difficult,0.10858,40,40,0.01094,0.20622
1989,30-45 y.,Baden-Wuerttemberg,Difficult,0.10999,66,66,0.03393,0.18606
1989,30-45 y.,Bavaria,Difficult,0.09316,42,42,0.00419,0.18212
1989,46-65 y.,Lower Saxony,Almost impossible,0.14749,53,53,0.05111,0.24387
1989,46-65 y.,North Rhine-Westphalia,Difficult,0.08266,66,188,0.04319,0.12213
1989,46-65 y.,North Rhine-Westphalia,Almost impossible,0.15085,122,188,0.09956,0.20215
1989,46-65 y.,Hesse,Almost impossible,0.08491,34,34,-0.01020,0.18001
1989,46-65 y.,"Rhineland-Palatinate, Saarland",Almost impossible,0.16988,41,41,0.05350,0.28625
1989,46-65 y.,Baden-Wuerttemberg,Difficult,0.06832,35,95,0.01732,0.11932
1989,46-65 y.,Baden-Wuerttemberg,Almost impossible,0.07173,60,95,0.01956,0.12389
1989,46-65 y.,Bavaria,Difficult,0.08318,41,81,0.02266,0.14369
1989,46-65 y.,Bavaria,Almost impossible,0.07806,40,81,0.01927,0.13685
1990,17-29 y.,Lower Saxony,Difficult,0.16212,49,49,0.05785,0.26639
1990,17-29 y.,North Rhine-Westphalia,Easy,0.10423,78,285,0.06869,0.13977
1990,17-29 y.,North Rhine-Westphalia,Difficult,0.18876,150,285,0.14325,0.23427
1990,17-29 y.,North Rhine-Westphalia,Almost impossible,0.07254,57,285,0.04237,0.10270
1990,17-29 y.,Hesse,Easy,0.11781,36,87,0.04967,0.18594
1990,17-29 y.,Hesse,Difficult,0.17818,51,87,0.09730,0.25906
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Difficult,0.16385,33,33,0.03560,0.29209
1990,17-29 y.,Baden-Wuerttemberg,Easy,0.11990,64,130,0.06384,0.17596
1990,17-29 y.,Baden-Wuerttemberg,Difficult,0.10534,66,130,0.05236,0.15832
1990,17-29 y.,Bavaria,Easy,0.11980,54,115,0.06019,0.17941
1990,17-29 y.,Bavaria,Difficult,0.11746,61,115,0.05836,0.17657
1990,17-29 y.,Berlin,Difficult,0.15195,31,31,0.02349,0.28041
1990,17-29 y.,Brandenburg,Difficult,0.20195,37,37,0.07081,0.33309
1990,17-29 y.,Saxony,Difficult,0.12526,42,42,0.02394,0.22659
1990,30-45 y.,Lower Saxony,Difficult,0.13235,34,34,0.01673,0.24797
1990,30-45 y.,North Rhine-Westphalia,Easy,0.04397,34,198,0.01534,0.07260
1990,30-45 y.,North Rhine-Westphalia,Difficult,0.12794,110,198,0.08129,0.17458
1990,30-45 y.,North Rhine-Westphalia,Almost impossible,0.04624,54,198,0.01692,0.07557
