year,bula_h,sex,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Schleswig-Holstein,female,Difficult,0.10885,32,32,-0.00079,0.21849
1987,Lower Saxony,male,Difficult,0.07104,48,48,-0.00240,0.14449
1987,Lower Saxony,female,Difficult,0.14470,121,177,0.09273,0.19668
1987,Lower Saxony,female,Almost impossible,0.07321,56,177,0.03473,0.11170
1987,North Rhine-Westphalia,male,Easy,0.01623,42,228,-0.00021,0.03267
1987,North Rhine-Westphalia,male,Difficult,0.06456,130,228,0.03259,0.09653
1987,North Rhine-Westphalia,male,Almost impossible,0.02893,56,228,0.00713,0.05074
1987,North Rhine-Westphalia,female,Easy,0.02961,57,606,0.01610,0.04312
1987,North Rhine-Westphalia,female,Difficult,0.15675,322,606,0.12778,0.18572
1987,North Rhine-Westphalia,female,Almost impossible,0.11795,227,606,0.09225,0.14365
1987,Hesse,male,Difficult,0.03367,31,31,-0.03088,0.09822
1987,Hesse,female,Easy,0.04256,31,190,0.01378,0.07134
1987,Hesse,female,Difficult,0.11880,92,190,0.07268,0.16493
1987,Hesse,female,Almost impossible,0.08758,67,190,0.04728,0.12789
1987,"Rhineland-Palatinate, Saarland",female,Difficult,0.14860,84,143,0.09010,0.20711
1987,"Rhineland-Palatinate, Saarland",female,Almost impossible,0.11868,59,143,0.06548,0.17187
1987,Baden-Wuerttemberg,male,Difficult,0.03703,53,85,-0.00335,0.07741
1987,Baden-Wuerttemberg,male,Almost impossible,0.01956,32,85,-0.01006,0.04917
1987,Baden-Wuerttemberg,female,Easy,0.03711,49,335,0.01684,0.05739
1987,Baden-Wuerttemberg,female,Difficult,0.12254,182,335,0.08738,0.15771
1987,Baden-Wuerttemberg,female,Almost impossible,0.06090,104,335,0.03525,0.08654
1987,Bavaria,male,Difficult,0.03985,46,46,-0.01730,0.09701
1987,Bavaria,female,Easy,0.03697,43,256,0.01381,0.06013
1987,Bavaria,female,Difficult,0.11497,145,256,0.07582,0.15412
1987,Bavaria,female,Almost impossible,0.05768,68,256,0.02907,0.08630
1988,Schleswig-Holstein,female,Difficult,0.16656,34,34,0.03944,0.29368
1988,Lower Saxony,male,Difficult,0.06532,42,42,-0.01031,0.14096
1988,Lower Saxony,female,Difficult,0.13534,107,175,0.08451,0.18617
1988,Lower Saxony,female,Almost impossible,0.09877,68,175,0.05444,0.14311
1988,North Rhine-Westphalia,male,Easy,0.03006,55,233,0.00809,0.05204
1988,North Rhine-Westphalia,male,Difficult,0.07266,138,233,0.03926,0.10606
1988,North Rhine-Westphalia,male,Almost impossible,0.02406,40,233,0.00434,0.04378
1988,North Rhine-Westphalia,female,Easy,0.02553,52,559,0.01245,0.03862
1988,North Rhine-Westphalia,female,Difficult,0.15124,284,559,0.12151,0.18097
1988,North Rhine-Westphalia,female,Almost impossible,0.11204,223,559,0.08587,0.13821
1988,Hesse,male,Difficult,0.04192,31,31,-0.02979,0.11363
1988,Hesse,female,Difficult,0.11340,93,158,0.06380,0.16300
1988,Hesse,female,Almost impossible,0.10551,65,158,0.05746,0.15357
