,Unnamed: 0,year,regtyp,sampreg,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,Urban regions,West,Easy,0.14416,298,2587,0.13426,0.15479
1,1,1987,Urban regions,West,Difficult,0.52347,1124,2587,0.50659,0.54589
2,2,1987,Urban regions,West,Almost impossible,0.33237,672,2587,0.3158,0.34849
3,3,1987,Rural regions,West,Easy,0.13395,69,2587,0.11537,0.14931
4,4,1987,Rural regions,West,Difficult,0.56573,283,2587,0.5345,0.59811
5,5,1987,Rural regions,West,Almost impossible,0.30032,141,2587,0.27713,0.32639
6,6,1988,Urban regions,West,Easy,0.15386,296,2458,0.14326,0.16565
7,7,1988,Urban regions,West,Difficult,0.50055,1033,2458,0.47429,0.52073
8,8,1988,Urban regions,West,Almost impossible,0.34559,663,2458,0.32434,0.36821
9,9,1988,Rural regions,West,Easy,0.13783,65,2458,0.11681,0.1545
10,10,1988,Rural regions,West,Difficult,0.59648,266,2458,0.56126,0.63045
11,11,1988,Rural regions,West,Almost impossible,0.2657,135,2458,0.23882,0.29196
12,12,1989,Urban regions,West,Easy,0.18064,319,2245,0.16878,0.19409
13,13,1989,Urban regions,West,Difficult,0.49343,907,2245,0.4732,0.51485
14,14,1989,Urban regions,West,Almost impossible,0.32594,587,2245,0.30538,0.34458
15,15,1989,Rural regions,West,Easy,0.15782,71,2245,0.1402,0.18103
16,16,1989,Rural regions,West,Difficult,0.52641,218,2245,0.49636,0.56229
17,17,1989,Rural regions,West,Almost impossible,0.31577,143,2245,0.28486,0.34235
18,18,1990,Urban regions,West,Easy,0.22053,369,2414,0.20528,0.23577
19,19,1990,Urban regions,West,Difficult,0.46289,816,2414,0.44194,0.48638
20,20,1990,Urban regions,West,Almost impossible,0.31658,543,2414,0.29734,0.3331
21,21,1990,Urban regions,East,Difficult,1.0,68,2414,0.85496,1.14111
22,22,1990,Rural regions,West,Easy,0.15905,68,2414,0.14165,0.17874
23,23,1990,Rural regions,West,Difficult,0.52762,211,2414,0.49689,0.56596
24,24,1990,Rural regions,West,Almost impossible,0.31333,124,2414,0.28634,0.34346
25,25,1990,Rural regions,East,Difficult,0.74146,163,2414,0.69131,0.79699
26,26,1990,Rural regions,East,Almost impossible,0.25854,52,2414,0.23719,0.28972
27,27,1991,Urban regions,West,Easy,0.22599,369,2571,0.21005,0.24144
28,28,1991,Urban regions,West,Difficult,0.46966,740,2571,0.44562,0.49392
29,29,1991,Urban regions,West,Almost impossible,0.30435,487,2571,0.28575,0.32324
30,30,1991,Urban regions,East,Difficult,0.58983,108,2571,0.53185,0.66134
31,31,1991,Urban regions,East,Almost impossible,0.41017,64,2571,0.37404,0.45556
32,32,1991,Rural regions,West,Easy,0.22239,93,2571,0.2026,0.24731
33,33,1991,Rural regions,West,Difficult,0.46603,194,2571,0.42268,0.50632
34,34,1991,Rural regions,West,Almost impossible,0.31159,129,2571,0.27718,0.34089
35,35,1991,Rural regions,East,Difficult,0.61739,252,2571,0.57959,0.65899
36,36,1991,Rural regions,East,Almost impossible,0.38261,135,2571,0.35433,0.41397
37,37,1992,Urban regions,West,Easy,0.26497,422,2730,0.24958,0.28247
38,38,1992,Urban regions,West,Difficult,0.44868,713,2730,0.42764,0.47398
39,39,1992,Urban regions,West,Almost impossible,0.28636,452,2730,0.26893,0.30783
40,40,1992,Urban regions,East,Difficult,0.60317,142,2730,0.55461,0.65527
41,41,1992,Urban regions,East,Almost impossible,0.39683,86,2730,0.35642,0.44957
42,42,1992,Rural regions,West,Easy,0.27324,108,2730,0.23934,0.29934
43,43,1992,Rural regions,West,Difficult,0.49104,201,2730,0.44737,0.54134
44,44,1992,Rural regions,West,Almost impossible,0.23573,101,2730,0.20876,0.27082
45,45,1992,Rural regions,East,Easy,0.06011,36,2730,0.05059,0.07115
46,46,1992,Rural regions,East,Difficult,0.5767,302,2730,0.54425,0.61113
47,47,1992,Rural regions,East,Almost impossible,0.36319,167,2730,0.33646,0.38834
48,48,1993,Urban regions,West,Easy,0.18619,296,2899,0.17276,0.20191
49,49,1993,Urban regions,West,Difficult,0.51003,811,2899,0.48509,0.53551
50,50,1993,Urban regions,West,Almost impossible,0.30378,524,2899,0.28367,0.32296
51,51,1993,Urban regions,East,Difficult,0.54987,150,2899,0.50403,0.59714
52,52,1993,Urban regions,East,Almost impossible,0.45013,110,2899,0.41025,0.48944
53,53,1993,Rural regions,West,Easy,0.19255,82,2899,0.16476,0.2201
54,54,1993,Rural regions,West,Difficult,0.51604,217,2899,0.47281,0.55855
55,55,1993,Rural regions,West,Almost impossible,0.29141,124,2899,0.26728,0.32194
56,56,1993,Rural regions,East,Easy,0.04576,31,2899,0.03812,0.05832
57,57,1993,Rural regions,East,Difficult,0.48342,311,2899,0.45497,0.51678
58,58,1993,Rural regions,East,Almost impossible,0.47082,243,2899,0.44157,0.50131
59,59,1994,Urban regions,West,Easy,0.15995,260,2895,0.14576,0.17277
60,60,1994,Urban regions,West,Difficult,0.48863,843,2895,0.46694,0.51217
61,61,1994,Urban regions,West,Almost impossible,0.35143,572,2895,0.32822,0.374
62,62,1994,Urban regions,East,Difficult,0.52272,145,2895,0.46678,0.57455
63,63,1994,Urban regions,East,Almost impossible,0.47728,120,2895,0.43219,0.51925
64,64,1994,Rural regions,West,Easy,0.15744,79,2895,0.13354,0.17981
65,65,1994,Rural regions,West,Difficult,0.51063,216,2895,0.46273,0.56034
66,66,1994,Rural regions,West,Almost impossible,0.33192,135,2895,0.28745,0.37298
67,67,1994,Rural regions,East,Difficult,0.57902,324,2895,0.54262,0.61526
68,68,1994,Rural regions,East,Almost impossible,0.42098,201,2895,0.39181,0.4549
69,69,1995,Urban regions,West,Easy,0.15017,275,3042,0.13772,0.16179
70,70,1995,Urban regions,West,Difficult,0.52363,947,3042,0.49446,0.54704
71,71,1995,Urban regions,West,Almost impossible,0.3262,597,3042,0.30654,0.34799
72,72,1995,Urban regions,East,Difficult,0.61465,147,3042,0.55576,0.67193
