year,quintil_oecd,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,1st Quintile,Easy,0.02433,85,835,0.01388,0.03479
1987,1st Quintile,Difficult,0.13610,450,835,0.11283,0.15938
1987,1st Quintile,Almost impossible,0.09134,300,835,0.07179,0.11090
1987,2nd Quintile,Easy,0.03325,95,599,0.01888,0.04761
1987,2nd Quintile,Difficult,0.09421,327,599,0.07080,0.11763
1987,2nd Quintile,Almost impossible,0.05926,177,599,0.04034,0.07819
1987,3rd Quintile,Easy,0.02064,65,461,0.00765,0.03364
1987,3rd Quintile,Difficult,0.10089,278,461,0.07336,0.12841
1987,3rd Quintile,Almost impossible,0.04218,118,461,0.02381,0.06055
1987,4th Quintile,Easy,0.02480,65,397,0.00948,0.04012
1987,4th Quintile,Difficult,0.07366,203,397,0.04793,0.09938
1987,4th Quintile,Almost impossible,0.05371,129,397,0.03150,0.07591
1987,5th Quintile,Easy,0.02090,57,294,0.00452,0.03728
1987,5th Quintile,Difficult,0.05991,148,294,0.03274,0.08709
1987,5th Quintile,Almost impossible,0.03762,89,294,0.01583,0.05940
1988,1st Quintile,Easy,0.03273,97,797,0.02037,0.04509
1988,1st Quintile,Difficult,0.13031,409,797,0.10692,0.15370
1988,1st Quintile,Almost impossible,0.08807,291,797,0.06838,0.10776
1988,2nd Quintile,Easy,0.02873,79,541,0.01464,0.04282
1988,2nd Quintile,Difficult,0.09362,297,541,0.06905,0.11819
1988,2nd Quintile,Almost impossible,0.05483,165,541,0.03563,0.07404
1988,3rd Quintile,Easy,0.03028,85,477,0.01489,0.04568
1988,3rd Quintile,Difficult,0.09747,259,477,0.07083,0.12412
1988,3rd Quintile,Almost impossible,0.05538,133,477,0.03483,0.07593
1988,4th Quintile,Easy,0.02123,59,385,0.00681,0.03565
1988,4th Quintile,Difficult,0.08243,209,385,0.05492,0.10994
1988,4th Quintile,Almost impossible,0.04426,117,385,0.02369,0.06484
1988,5th Quintile,Easy,0.01764,41,257,0.00152,0.03377
1988,5th Quintile,Difficult,0.05043,125,257,0.02363,0.07724
1988,5th Quintile,Almost impossible,0.04136,91,257,0.01696,0.06575
1989,1st Quintile,Easy,0.03460,109,732,0.02135,0.04784
1989,1st Quintile,Difficult,0.11320,360,732,0.09023,0.13616
1989,1st Quintile,Almost impossible,0.08404,263,732,0.06393,0.10416
1989,2nd Quintile,Easy,0.03714,103,550,0.02132,0.05296
1989,2nd Quintile,Difficult,0.08954,269,550,0.06566,0.11343
1989,2nd Quintile,Almost impossible,0.05551,178,550,0.03636,0.07466
1989,3rd Quintile,Easy,0.02864,74,403,0.01234,0.04495
1989,3rd Quintile,Difficult,0.08085,206,403,0.05420,0.10749
1989,3rd Quintile,Almost impossible,0.05158,123,403,0.02996,0.07320
1989,4th Quintile,Easy,0.02685,64,332,0.00944,0.04427
