year,plb0419_h,quintil_oecd,sex,proportion,n,lower_confidence,upper_confidence
1987,Easy,1st Quintile,female,0.3940298507462687,13496,0.3857857419571295,0.40227395953540784
1987,Easy,1st Quintile,male,0.1880597014925373,13496,0.18146699932788662,0.194652403657188
1987,Easy,2nd Quintile,female,0.14328358208955225,13496,0.13737245500299763,0.14919470917610686
1987,Easy,2nd Quintile,male,0.1044776119402985,13496,0.09931697414105613,0.10963824973954088
1987,Easy,3rd Quintile,female,0.06567164179104477,13496,0.06149245061091983,0.06985083297116972
1987,Easy,3rd Quintile,male,0.050746268656716415,13496,0.047043328016170054,0.054449209297262775
1987,Easy,4th Quintile,female,0.026865671641791045,13496,0.02413770670275787,0.029593636580824218
1987,Easy,4th Quintile,male,0.014925373134328358,13496,0.01287963188744266,0.016971114381214056
1987,Easy,5th Quintile,female,0.005970149253731343,13496,0.004670441098151443,0.007269857409311244
1987,Easy,5th Quintile,male,0.005970149253731343,13496,0.004670441098151443,0.007269857409311244
1987,Difficult,1st Quintile,female,0.49036237471087124,13496,0.48192819504732665,0.49879655437441583
1987,Difficult,1st Quintile,male,0.17116422513492677,13496,0.164809536443685,0.17751891382616852
1987,Difficult,2nd Quintile,female,0.16962220508866616,13496,0.16329032396748902,0.1759540862098433
1987,Difficult,3rd Quintile,female,0.05705474171164225,13496,0.0531414461632811,0.0609680372600034
1987,Difficult,2nd Quintile,male,0.05474171164225135,13496,0.05090386187790357,0.058579561406599125
1987,Difficult,3rd Quintile,male,0.023901310717039322,13496,0.021324329457637712,0.026478291976440933
1987,Difficult,4th Quintile,female,0.018504240555127217,13496,0.01623053939612213,0.020777941714132303
1987,Difficult,4th Quintile,male,0.006939090208172706,13496,0.005538559141828681,0.00833962127451673
1987,Difficult,5th Quintile,female,0.005397070161912105,13496,0.00416095926306023,0.006633181060763979
1987,Difficult,5th Quintile,male,0.002313030069390902,13496,0.001502551891431852,0.0031235082473499523
1987,Almost impossible,1st Quintile,female,0.5209656925031766,13496,0.5125373649061346,0.5293940201002186
1987,Almost impossible,2nd Quintile,female,0.16899618805590852,13496,0.16267362020265302,0.17531875590916401
1987,Almost impossible,1st Quintile,male,0.15247776365946633,13496,0.1464127421672087,0.15854278515172396
1987,Almost impossible,3rd Quintile,female,0.054637865311308764,13496,0.050803446913451844,0.058472283709165684
1987,Almost impossible,2nd Quintile,male,0.04193138500635324,13496,0.038549791140025526,0.04531297887268095
1987,Almost impossible,4th Quintile,female,0.026683608640406607,13496,0.023964648528453265,0.02940256875235995
1987,Almost impossible,3rd Quintile,male,0.020330368487928845,13496,0.01794933236290592,0.02271140461295177
1987,Almost impossible,5th Quintile,female,0.007623888182973317,13496,0.006156381977624687,0.009091394388321947
1987,Almost impossible,4th Quintile,male,0.0038119440914866584,13496,0.0027722694222191433,0.0048516187607541734
1987,Almost impossible,5th Quintile,male,0.0025412960609911056,13496,0.0016918640363354535,0.003390728085646758
1988,Easy,1st Quintile,female,0.346875,12817,0.33863461442256654,0.35511538557743344
1988,Easy,1st Quintile,male,0.209375,12817,0.2023311424776093,0.2164188575223907
1988,Easy,2nd Quintile,female,0.165625,12817,0.15918914180661056,0.17206085819338943
1988,Easy,2nd Quintile,male,0.1375,12817,0.13153797517341895,0.14346202482658107
1988,Easy,3rd Quintile,female,0.053125,12817,0.049242077917052776,0.05700792208294722
1988,Easy,3rd Quintile,male,0.0375,12817,0.03421088633434091,0.040789113665659085
1988,Easy,4th Quintile,male,0.021875,12817,0.019342589592635673,0.024407410407364324
1988,Easy,4th Quintile,female,0.0125,12817,0.010576525479071858,0.014423474520928143
