,Unnamed: 0,year,age_gr,quintil_oecd,plb0419_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1987,17-29 y.,1st Quintile,Easy,0.1567,57,2286,0.12607,0.18709
1,1,1987,17-29 y.,1st Quintile,Difficult,0.65019,229,2286,0.5769,0.70762
2,2,1987,17-29 y.,1st Quintile,Almost impossible,0.19311,72,2286,0.16006,0.22704
3,3,1987,17-29 y.,2nd Quintile,Easy,0.30865,48,2286,0.25907,0.36144
4,4,1987,17-29 y.,2nd Quintile,Difficult,0.69135,159,2286,0.60815,0.77251
5,5,1987,17-29 y.,3rd Quintile,Easy,0.23255,41,2286,0.18498,0.27569
6,6,1987,17-29 y.,3rd Quintile,Difficult,0.76745,121,2286,0.6881,0.83746
7,7,1987,17-29 y.,4th Quintile,Easy,0.25468,36,2286,0.21345,0.29703
8,8,1987,17-29 y.,4th Quintile,Difficult,0.74532,93,2286,0.64498,0.81776
9,9,1987,17-29 y.,5th Quintile,Easy,0.35652,33,2286,0.30902,0.41798
10,10,1987,17-29 y.,5th Quintile,Difficult,0.64348,53,2286,0.56798,0.71092
11,11,1987,30-45 y.,1st Quintile,Difficult,0.69019,146,2286,0.60355,0.7599
12,12,1987,30-45 y.,1st Quintile,Almost impossible,0.30981,82,2286,0.25254,0.36224
13,13,1987,30-45 y.,2nd Quintile,Easy,0.19022,39,2286,0.15756,0.22135
14,14,1987,30-45 y.,2nd Quintile,Difficult,0.55296,116,2286,0.50345,0.60475
15,15,1987,30-45 y.,2nd Quintile,Almost impossible,0.25681,54,2286,0.21145,0.31023
16,16,1987,30-45 y.,3rd Quintile,Difficult,1.0,90,2286,0.92189,1.07547
17,17,1987,30-45 y.,4th Quintile,Difficult,1.0,61,2286,0.87925,1.12771
18,18,1987,30-45 y.,5th Quintile,Difficult,1.0,47,2286,0.88334,1.09332
19,19,1987,46-65 y.,1st Quintile,Difficult,0.39374,73,2286,0.32944,0.45425
20,20,1987,46-65 y.,1st Quintile,Almost impossible,0.60626,131,2286,0.55211,0.69726
21,21,1987,46-65 y.,2nd Quintile,Difficult,0.36497,52,2286,0.30521,0.42435
22,22,1987,46-65 y.,2nd Quintile,Almost impossible,0.63503,91,2286,0.55649,0.7143
23,23,1987,46-65 y.,3rd Quintile,Difficult,0.47867,62,2286,0.41861,0.53224
24,24,1987,46-65 y.,3rd Quintile,Almost impossible,0.52133,68,2286,0.44894,0.58585
25,25,1987,46-65 y.,4th Quintile,Difficult,0.41742,57,2286,0.37464,0.45335
26,26,1987,46-65 y.,4th Quintile,Almost impossible,0.58258,76,2286,0.51942,0.63516
27,27,1987,46-65 y.,5th Quintile,Difficult,0.48495,46,2286,0.43334,0.52855
28,28,1987,46-65 y.,5th Quintile,Almost impossible,0.51505,53,2286,0.45167,0.58624
29,29,1988,17-29 y.,1st Quintile,Easy,0.21907,64,2123,0.17323,0.27101
30,30,1988,17-29 y.,1st Quintile,Difficult,0.59103,198,2123,0.52424,0.66766
31,31,1988,17-29 y.,1st Quintile,Almost impossible,0.1899,72,2123,0.15257,0.23778
