year,sampreg,plb0419_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,West,Easy,0.14186,367,2587,0.12841,0.15530
1987,West,Difficult,0.53282,1407,2587,0.51359,0.55205
1987,West,Almost impossible,0.32532,813,2587,0.30726,0.34338
1988,West,Easy,0.15015,361,2458,0.13602,0.16427
1988,West,Difficult,0.52221,1299,2458,0.50246,0.54196
1988,West,Almost impossible,0.32764,798,2458,0.30908,0.34620
1989,West,Easy,0.17538,390,2245,0.15964,0.19111
1989,West,Difficult,0.50104,1125,2245,0.48036,0.52173
1989,West,Almost impossible,0.32358,730,2245,0.30422,0.34294
1990,West,Easy,0.20652,437,2131,0.18932,0.22371
1990,West,Difficult,0.47768,1027,2131,0.45647,0.49890
1990,West,Almost impossible,0.31580,667,2131,0.29606,0.33554
1990,East,Easy,0.15424,56,361,0.11693,0.19154
1990,East,Difficult,0.64163,234,361,0.59210,0.69117
1990,East,Almost impossible,0.20413,71,361,0.16249,0.24577
1991,West,Easy,0.22510,462,2012,0.20684,0.24335
1991,West,Difficult,0.46880,934,2012,0.44699,0.49061
1991,West,Almost impossible,0.30611,616,2012,0.28596,0.32625
1991,East,Easy,0.06714,45,617,0.04738,0.08691
1991,East,Difficult,0.57037,369,617,0.53128,0.60946
1991,East,Almost impossible,0.36249,203,617,0.32452,0.40045
1992,West,Easy,0.26700,531,2000,0.24760,0.28639
1992,West,Difficult,0.45780,914,2000,0.43596,0.47964
1992,West,Almost impossible,0.27520,555,2000,0.25562,0.29478
1992,East,Easy,0.06806,55,770,0.05026,0.08586
1992,East,Difficult,0.57319,459,770,0.53823,0.60814
1992,East,Almost impossible,0.35876,256,770,0.32486,0.39266
1993,West,Easy,0.18749,378,2054,0.17061,0.20437
1993,West,Difficult,0.51150,1028,2054,0.48987,0.53312
1993,West,Almost impossible,0.30101,648,2054,0.28117,0.32086
1993,East,Easy,0.06513,57,871,0.04873,0.08153
1993,East,Difficult,0.48703,461,871,0.45381,0.52024
1993,East,Almost impossible,0.44784,353,871,0.41480,0.48088
1994,West,Easy,0.15921,339,2105,0.14358,0.17484
1994,West,Difficult,0.49369,1059,2105,0.47233,0.51505
1994,West,Almost impossible,0.34710,707,2105,0.32676,0.36744
1994,East,Easy,0.05329,49,839,0.03808,0.06850
1994,East,Difficult,0.53041,469,839,0.49662,0.56420
1994,East,Almost impossible,0.41630,321,839,0.38293,0.44968
1995,West,Easy,0.14994,351,2309,0.13538,0.16451
1995,West,Difficult,0.52271,1210,2309,0.50233,0.54309
1995,West,Almost impossible,0.32734,748,2309,0.30820,0.34649
1995,East,Easy,0.05475,44,744,0.03840,0.07111
1995,East,Difficult,0.55911,444,744,0.52341,0.59481
1995,East,Almost impossible,0.38614,256,744,0.35113,0.42114
1996,West,Easy,0.15418,334,2217,0.13914,0.16922
1996,West,Difficult,0.51231,1152,2217,0.49150,0.53312
1996,West,Almost impossible,0.33351,731,2217,0.31388,0.35314
1996,East,Easy,0.06543,58,797,0.04825,0.08261
1996,East,Difficult,0.58249,477,797,0.54823,0.61675
1996,East,Almost impossible,0.35209,262,797,0.31891,0.38527
1997,West,Easy,0.11933,268,2192,0.10575,0.13290
1997,West,Difficult,0.52856,1162,2192,0.50765,0.54946
1997,West,Almost impossible,0.35212,762,2192,0.33212,0.37212
1997,East,Easy,0.06030,44,779,0.04357,0.07703
1997,East,Difficult,0.58245,480,779,0.54780,0.61711
1997,East,Almost impossible,0.35725,255,779,0.32358,0.39092
1998,West,Easy,0.12599,315,2325,0.11250,0.13948
1998,West,Difficult,0.54378,1220,2325,0.52353,0.56403
1998,West,Almost impossible,0.33023,790,2325,0.31111,0.34936
1998,East,Easy,0.04825,41,810,0.03348,0.06302
1998,East,Difficult,0.60738,511,810,0.57373,0.64103
1998,East,Almost impossible,0.34437,258,810,0.31163,0.37711
1999,West,Easy,0.14781,290,2027,0.13236,0.16327
1999,West,Difficult,0.51057,1060,2027,0.48880,0.53233
1999,West,Almost impossible,0.34162,677,2027,0.32097,0.36227
1999,East,Easy,0.05977,46,749,0.04278,0.07676
1999,East,Difficult,0.61796,473,749,0.58314,0.65278
1999,East,Almost impossible,0.32227,230,749,0.28878,0.35576
2000,West,Easy,0.17434,619,3626,0.16199,0.18669
2000,West,Difficult,0.48839,1763,3626,0.47212,0.50466
2000,West,Almost impossible,0.33727,1244,3626,0.32188,0.35266
2000,East,Easy,0.07470,81,1135,0.05940,0.09000
2000,East,Difficult,0.58917,680,1135,0.56054,0.61781
2000,East,Almost impossible,0.33613,374,1135,0.30863,0.36362
2001,West,Easy,0.18881,606,3109,0.17505,0.20256
2001,West,Difficult,0.47569,1466,3109,0.45814,0.49325
2001,West,Almost impossible,0.33550,1037,3109,0.31890,0.35210
2001,East,Easy,0.08517,87,1031,0.06813,0.10222
2001,East,Difficult,0.61016,634,1031,0.58038,0.63995
2001,East,Almost impossible,0.30467,310,1031,0.27656,0.33277
2002,West,Easy,0.18005,618,3243,0.16683,0.19328
2002,West,Difficult,0.50086,1619,3243,0.48365,0.51807
2002,West,Almost impossible,0.31909,1006,3243,0.30304,0.33513
2002,East,Easy,0.06866,78,1029,0.05320,0.08411
2002,East,Difficult,0.60945,613,1029,0.57963,0.63928
2002,East,Almost impossible,0.32189,338,1029,0.29333,0.35045
2003,West,Easy,0.15720,383,2121,0.14170,0.17269
2003,West,Difficult,0.65158,1325,2121,0.63130,0.67186
2003,West,Almost impossible,0.19122,413,2121,0.17448,0.20796
2003,East,Easy,0.06978,62,953,0.05360,0.08597
2003,East,Difficult,0.63727,617,953,0.60673,0.66781
2003,East,Almost impossible,0.29295,274,953,0.26404,0.32186
2004,West,Easy,0.14210,360,2220,0.12757,0.15663
2004,West,Difficult,0.63004,1389,2220,0.60995,0.65013
2004,West,Almost impossible,0.22786,471,2220,0.21041,0.24531
2004,East,Easy,0.05313,67,943,0.03880,0.06745
2004,East,Difficult,0.63044,603,943,0.59961,0.66126
2004,East,Almost impossible,0.31644,273,943,0.28674,0.34614
2005,West,Easy,0.10474,275,2125,0.09171,0.11776
2005,West,Difficult,0.65739,1333,2125,0.63721,0.67757
2005,West,Almost impossible,0.23787,517,2125,0.21976,0.25598
2005,East,Easy,0.04441,50,932,0.03117,0.05764
2005,East,Difficult,0.65861,599,932,0.62815,0.68907
2005,East,Almost impossible,0.29699,283,932,0.26764,0.32634
2006,West,Easy,0.13298,332,2174,0.11870,0.14725
2006,West,Difficult,0.63181,1336,2174,0.61153,0.65209
2006,West,Almost impossible,0.23521,506,2174,0.21738,0.25304
2006,East,Easy,0.05390,61,881,0.03898,0.06882
2006,East,Difficult,0.62318,553,881,0.59116,0.65520
2006,East,Almost impossible,0.32292,267,881,0.29202,0.35381
2007,West,Easy,0.14731,323,1816,0.13100,0.16361
2007,West,Difficult,0.61675,1086,1816,0.59438,0.63912
2007,West,Almost impossible,0.23594,407,1816,0.21641,0.25547
2007,East,Easy,0.08532,72,742,0.06520,0.10543
2007,East,Difficult,0.58816,440,742,0.55273,0.62360
2007,East,Almost impossible,0.32652,230,742,0.29275,0.36028
2008,West,Easy,0.16722,305,1596,0.14891,0.18553
2008,West,Difficult,0.62085,959,1596,0.59704,0.64466
2008,West,Almost impossible,0.21193,332,1596,0.19187,0.23199
2008,East,Easy,0.12786,87,675,0.10265,0.15307
2008,East,Difficult,0.56878,385,675,0.53139,0.60616
2008,East,Almost impossible,0.30337,203,675,0.26866,0.33807
2009,West,Easy,0.19907,305,1455,0.17854,0.21959
2009,West,Difficult,0.57674,838,1455,0.55134,0.60213
2009,West,Almost impossible,0.22419,312,1455,0.20276,0.24563
2009,East,Easy,0.12290,75,605,0.09672,0.14908
2009,East,Difficult,0.59658,350,605,0.55746,0.63571
2009,East,Almost impossible,0.28052,180,605,0.24469,0.31635
2010,West,Easy,0.19609,742,3368,0.18268,0.20950
2010,West,Difficult,0.59343,1939,3368,0.57684,0.61002
2010,West,Almost impossible,0.21048,687,3368,0.19671,0.22425
2010,East,Easy,0.10748,140,985,0.08812,0.12683
2010,East,Difficult,0.62296,594,985,0.59268,0.65324
2010,East,Almost impossible,0.26956,251,985,0.24184,0.29729
2011,West,Easy,0.24743,758,3240,0.23257,0.26229
2011,West,Difficult,0.55372,1815,3240,0.53660,0.57084
2011,West,Almost impossible,0.19885,667,3240,0.18511,0.21260
2011,East,Easy,0.12596,135,1003,0.10542,0.14651
2011,East,Difficult,0.60949,598,1003,0.57928,0.63969
2011,East,Almost impossible,0.26455,270,1003,0.23724,0.29186
2012,West,Easy,0.24674,730,2946,0.23117,0.26231
2012,West,Difficult,0.56427,1594,2946,0.54637,0.58218
2012,West,Almost impossible,0.18899,622,2946,0.17485,0.20313
2012,East,Easy,0.13222,134,933,0.11047,0.15397
2012,East,Difficult,0.64313,560,933,0.61237,0.67389
