year,migback,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Very often,0.01616,361,21578,0.01448,0.01784
2013,No migration background,Often,0.06808,1650,21578,0.06472,0.07144
2013,No migration background,Sometimes,0.29717,7327,21578,0.29108,0.30327
2013,No migration background,Seldom,0.32494,8408,21578,0.31869,0.33119
2013,No migration background,Never,0.13903,3832,21578,0.13441,0.14365
2013,Direct migration background,Very often,0.01473,93,2749,0.01023,0.01924
2013,Direct migration background,Often,0.06619,333,2749,0.05689,0.07548
2013,Direct migration background,Sometimes,0.18633,923,2749,0.17178,0.20089
2013,Direct migration background,Seldom,0.16932,860,2749,0.15529,0.18334
2013,Direct migration background,Never,0.11007,540,2749,0.09836,0.12177
2013,Indirect migration background,Often,0.02435,126,1105,0.01526,0.03344
2013,Indirect migration background,Sometimes,0.08151,339,1105,0.06537,0.09765
2013,Indirect migration background,Seldom,0.10374,425,1105,0.08576,0.12173
2013,Indirect migration background,Never,0.05886,215,1105,0.04498,0.07274
2019,Direct migration background,Very often,0.00062,35,232,-0.00259,0.00383
2019,Direct migration background,Often,0.00091,58,232,-0.00298,0.00480
2019,Direct migration background,Sometimes,0.00142,90,232,-0.00344,0.00628
2019,Direct migration background,Never,0.00075,49,232,-0.00278,0.00428
2021,No migration background,Very often,0.03919,622,13216,0.03588,0.04250
2021,No migration background,Often,0.12546,1960,13216,0.11981,0.13111
2021,No migration background,Sometimes,0.31311,4753,13216,0.30520,0.32102
2021,No migration background,Seldom,0.28900,4366,13216,0.28127,0.29673
2021,No migration background,Never,0.09042,1515,13216,0.08553,0.09531
2021,Direct migration background,Very often,0.05722,667,5122,0.05086,0.06358
2021,Direct migration background,Often,0.17898,982,5122,0.16848,0.18948
2021,Direct migration background,Sometimes,0.32484,1836,5122,0.31201,0.33767
2021,Direct migration background,Seldom,0.26543,1025,5122,0.25334,0.27753
2021,Direct migration background,Never,0.09823,612,5122,0.09008,0.10639
2021,Indirect migration background,Often,0.07638,148,912,0.05913,0.09363
2021,Indirect migration background,Sometimes,0.16281,314,912,0.13883,0.18678
2021,Indirect migration background,Seldom,0.16209,318,912,0.13816,0.18602
2021,Indirect migration background,Never,0.05896,132,912,0.04366,0.07425
