year,quintil_oecd,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Very often,0.03739,204,5124,0.03219,0.04258
2013,1st Quintile,Often,0.09763,625,5124,0.08950,0.10575
2013,1st Quintile,Sometimes,0.28570,1760,5124,0.27333,0.29808
2013,1st Quintile,Seldom,0.25730,1676,5124,0.24533,0.26927
2013,1st Quintile,Never,0.12468,859,5124,0.11563,0.13372
2013,2nd Quintile,Very often,0.01303,89,5140,0.00993,0.01614
2013,2nd Quintile,Often,0.07781,485,5140,0.07048,0.08513
2013,2nd Quintile,Sometimes,0.29726,1833,5140,0.28477,0.30976
2013,2nd Quintile,Seldom,0.28570,1832,5140,0.27335,0.29805
2013,2nd Quintile,Never,0.14817,901,5140,0.13845,0.15788
2013,3rd Quintile,Very often,0.01539,84,4895,0.01194,0.01883
2013,3rd Quintile,Often,0.06821,385,4895,0.06115,0.07528
2013,3rd Quintile,Sometimes,0.30428,1685,4895,0.29139,0.31717
2013,3rd Quintile,Seldom,0.30845,1855,4895,0.29551,0.32139
2013,3rd Quintile,Never,0.13918,886,4895,0.12948,0.14888
2013,4th Quintile,Very often,0.01377,64,4856,0.01049,0.01704
2013,4th Quintile,Often,0.06292,326,4856,0.05609,0.06975
2013,4th Quintile,Sometimes,0.30309,1617,4856,0.29016,0.31601
2013,4th Quintile,Seldom,0.34388,2035,4856,0.33052,0.35724
2013,4th Quintile,Never,0.13429,814,4856,0.12470,0.14388
2013,5th Quintile,Very often,0.00686,35,5435,0.00466,0.00905
2013,5th Quintile,Often,0.05303,288,5435,0.04707,0.05899
2013,5th Quintile,Sometimes,0.28107,1694,5435,0.26912,0.29302
2013,5th Quintile,Seldom,0.38488,2292,5435,0.37194,0.39782
2013,5th Quintile,Never,0.16483,1126,5435,0.15497,0.17470
2021,1st Quintile,Very often,0.05265,566,4730,0.04628,0.05901
2021,1st Quintile,Often,0.13639,888,4730,0.12661,0.14617
2021,1st Quintile,Sometimes,0.27206,1644,4730,0.25938,0.28475
2021,1st Quintile,Seldom,0.23465,1040,4730,0.22257,0.24673
2021,1st Quintile,Never,0.09744,592,4730,0.08898,0.10589
2021,2nd Quintile,Very often,0.04116,224,3607,0.03468,0.04765
2021,2nd Quintile,Often,0.14498,606,3607,0.13349,0.15648
2021,2nd Quintile,Sometimes,0.28848,1286,3607,0.27370,0.30327
2021,2nd Quintile,Seldom,0.26450,1099,3607,0.25011,0.27890
2021,2nd Quintile,Never,0.07315,392,3607,0.06466,0.08165
2021,3rd Quintile,Very often,0.03927,168,3056,0.03238,0.04616
2021,3rd Quintile,Often,0.11869,462,3056,0.10722,0.13016
2021,3rd Quintile,Sometimes,0.30226,1140,3056,0.28598,0.31855
2021,3rd Quintile,Seldom,0.28235,965,3056,0.26639,0.29832
2021,3rd Quintile,Never,0.07842,321,3056,0.06889,0.08796
2021,4th Quintile,Very often,0.02939,135,3262,0.02359,0.03519
2021,4th Quintile,Often,0.13054,513,3262,0.11897,0.14210
2021,4th Quintile,Sometimes,0.31709,1156,3262,0.30112,0.33307
2021,4th Quintile,Seldom,0.29288,1096,3262,0.27726,0.30850
2021,4th Quintile,Never,0.09120,362,3262,0.08132,0.10108
2021,5th Quintile,Very often,0.03355,159,4314,0.02818,0.03893
2021,5th Quintile,Often,0.11264,554,4314,0.10321,0.12208
2021,5th Quintile,Sometimes,0.32792,1584,4314,0.31391,0.34193
2021,5th Quintile,Seldom,0.30113,1469,4314,0.28744,0.31482
2021,5th Quintile,Never,0.10296,548,4314,0.09389,0.11203
