year,sampreg,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,West,Very often,0.01498,361,19753,0.01329,0.01668
2013,West,Often,0.05980,1555,19753,0.05649,0.06310
2013,West,Sometimes,0.25401,6487,19753,0.24794,0.26009
2013,West,Seldom,0.28384,7591,19753,0.27756,0.29013
2013,West,Never,0.13370,3759,19753,0.12896,0.13845
2013,East,Very often,0.01628,115,5701,0.01299,0.01956
2013,East,Often,0.08555,554,5701,0.07829,0.09281
2013,East,Sometimes,0.32254,2102,5701,0.31041,0.33468
2013,East,Seldom,0.30640,2102,5701,0.29443,0.31837
2013,East,Never,0.10657,828,5701,0.09856,0.11458
2019,West,Very often,0.00010,31,209,-0.00123,0.00143
2019,West,Often,0.00014,54,209,-0.00147,0.00175
2019,West,Sometimes,0.00020,81,209,-0.00174,0.00214
2019,West,Never,0.00012,43,209,-0.00137,0.00161
2021,West,Very often,0.04046,1108,15399,0.03735,0.04358
2021,West,Often,0.13183,2556,15399,0.12649,0.13717
2021,West,Sometimes,0.29716,5491,15399,0.28994,0.30438
2021,West,Seldom,0.27111,4449,15399,0.26409,0.27813
2021,West,Never,0.08828,1795,15399,0.08380,0.09276
2021,East,Very often,0.03302,205,3875,0.02739,0.03865
2021,East,Often,0.11021,534,3875,0.10034,0.12007
2021,East,Sometimes,0.31722,1412,3875,0.30256,0.33188
2021,East,Seldom,0.28709,1260,3875,0.27285,0.30134
2021,East,Never,0.08974,464,3875,0.08074,0.09874
