year,sex,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,male,Very often,0.01153,153,11513,0.00958,0.01348
2013,male,Often,0.05407,813,11513,0.04994,0.05821
2013,male,Sometimes,0.25755,3729,11513,0.24956,0.26554
2013,male,Seldom,0.29761,4636,11513,0.28925,0.30596
2013,male,Never,0.13071,2182,11513,0.12455,0.13687
2013,female,Very often,0.01876,323,13941,0.01651,0.02102
2013,female,Often,0.07416,1296,13941,0.06981,0.07851
2013,female,Sometimes,0.27416,4860,13941,0.26676,0.28157
2013,female,Seldom,0.27834,5057,13941,0.27090,0.28578
2013,female,Never,0.12727,2405,13941,0.12173,0.13280
2019,male,Sometimes,0.00012,40,40,-0.00333,0.00357
2019,female,Often,0.00012,32,82,-0.00227,0.00251
2019,female,Sometimes,0.00028,50,82,-0.00336,0.00392
2021,male,Very often,0.03128,566,9346,0.02775,0.03481
2021,male,Often,0.11618,1400,9346,0.10968,0.12267
2021,male,Sometimes,0.28637,3246,9346,0.27721,0.29554
2021,male,Seldom,0.29784,2970,9346,0.28857,0.30711
2021,male,Never,0.09234,1164,9346,0.08647,0.09821
2021,female,Very often,0.04698,746,9921,0.04281,0.05114
2021,female,Often,0.13977,1686,9921,0.13295,0.14660
2021,female,Sometimes,0.31446,3656,9921,0.30533,0.32360
2021,female,Seldom,0.25035,2738,9921,0.24183,0.25888
2021,female,Never,0.08484,1095,9921,0.07936,0.09032
