year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2002,Rural regions,Owner,,,,,,,,,,,,
2002,Rural regions,Tenant,,,,,,,,,,,,
2003,Urban regions,Owner,1914,475.70444,464.04987,487.35901,300.00000,400.00000,600.00000,50,1050.00000,,,
2003,Urban regions,Tenant,2209,353.16857,344.51099,361.82615,200.00000,300.00000,450.00000,0,825.00000,,,
2003,Rural regions,Owner,1012,450.33264,435.59703,465.06825,300.00000,400.00000,600.00000,40,1050.00000,,,
2003,Rural regions,Tenant,770,340.00102,326.54055,353.46149,200.00000,300.00000,400.00000,20,700.00000,,,
2004,Urban regions,Owner,,,,,,,,,,,,
2004,Urban regions,Tenant,,,,,,,,,,,,
2004,Rural regions,Owner,,,,,,,,,,,,
2004,Rural regions,Tenant,,,,,,,,,,,,
2005,Urban regions,No answer / don't know,,,,,,,,,,,,
2005,Urban regions,Owner,1810,482.47638,470.64692,494.30583,300.00000,450.00000,600.00000,50,1050.00000,,,
2005,Urban regions,Tenant,2125,358.14139,349.20658,367.07620,200.00000,300.00000,450.00000,25,825.00000,,,
2005,Rural regions,Owner,995,454.50099,440.07910,468.92289,300.00000,400.00000,600.00000,50,1050.00000,,,
2005,Rural regions,Tenant,763,323.67430,310.39093,336.95767,200.00000,289.80582,400.00000,35,700.00000,,,
2006,Urban regions,No answer / don't know,,,,,,,,,,,,
2006,Urban regions,Owner,,,,,,,,,,,,
2006,Urban regions,Tenant,,,,,,,,,,,,
2006,Rural regions,No answer / don't know,,,,,,,,,,,,
2006,Rural regions,Owner,,,,,,,,,,,,
2006,Rural regions,Tenant,,,,,,,,,,,,
2007,Urban regions,Owner,1809,504.81452,491.59389,518.03516,300.00000,450.00000,600.00000,50,1050.00000,,,
2007,Urban regions,Tenant,2146,355.15151,345.73928,364.56374,200.00000,300.00000,450.00000,20,825.00000,,,
2007,Rural regions,Owner,1089,454.80115,440.77019,468.83211,300.00000,400.00000,550.00000,50,925.00000,,,
2007,Rural regions,Tenant,817,321.57753,308.26111,334.89395,200.00000,300.00000,400.00000,30,700.00000,,,
2008,Urban regions,Owner,,,,,,,,,,,,
2008,Urban regions,Tenant,,,,,,,,,,,,
2008,Rural regions,Owner,,,,,,,,,,,,
2008,Rural regions,Tenant,,,,,,,,,,,,
2009,Urban regions,Owner,,,,,,,,,,,,
2009,Urban regions,Tenant,,,,,,,,,,,,
2009,Rural regions,Owner,,,,,,,,,,,,
2009,Rural regions,Tenant,,,,,,,,,,,,
2010,Urban regions,Owner,,,,,,,,,,,,
2010,Urban regions,Tenant,,,,,,,,,,,,
2010,Rural regions,Owner,,,,,,,,,,,,
2010,Rural regions,Tenant,,,,,,,,,,,,
2011,Urban regions,Owner,1937,486.55340,475.04263,498.06416,300.00000,400.00000,600.00000,60,1050.00000,,,
2011,Urban regions,Tenant,2281,332.86773,324.42448,341.31097,200.00000,300.00000,400.00000,0,700.00000,,,
2011,Rural regions,Owner,1241,444.75102,432.21391,457.28814,300.00000,400.00000,550.00000,40,925.00000,,,
2011,Rural regions,Tenant,862,300.00388,288.36782,311.63994,200.00000,250.00000,400.00000,20,700.00000,,,
2012,Urban regions,Owner,,,,,,,,,,,,
2012,Urban regions,Tenant,,,,,,,,,,,,
2012,Rural regions,Owner,,,,,,,,,,,,
2012,Rural regions,Tenant,,,,,,,,,,,,
2013,Urban regions,Owner,1938,489.28498,477.25939,501.31056,300.00000,450.00000,600.00000,50,1050.00000,,,
2013,Urban regions,Tenant,2623,335.12277,327.31551,342.93003,200.00000,300.00000,400.00000,0,700.00000,,,
2013,Rural regions,Owner,1158,446.83393,433.35262,460.31525,300.00000,400.00000,500.00000,70,800.00000,,,
2013,Rural regions,Tenant,963,311.79696,299.80891,323.78500,200.00000,250.00000,400.00000,10,700.00000,,,
2014,Urban regions,Owner,,,,,,,,,,,,
2014,Urban regions,Tenant,,,,,,,,,,,,
2014,Rural regions,Owner,,,,,,,,,,,,
2014,Rural regions,Tenant,,,,,,,,,,,,
2015,Urban regions,Owner,,,,,,,,,,,,
2015,Urban regions,Tenant,,,,,,,,,,,,
2015,Rural regions,Owner,,,,,,,,,,,,
2015,Rural regions,Tenant,,,,,,,,,,,,
2016,Urban regions,Not included in this version of the questionnaire,,,,,,,,,,,,
2016,Urban regions,No answer / don't know,,,,,,,,,,,,
2016,Urban regions,Owner,1666,485.93700,473.61384,498.26016,300.00000,400.00000,600.00000,60,1050.00000,,,
2016,Urban regions,Tenant,2165,347.11580,338.89781,355.33378,200.00000,300.00000,400.00000,40,700.00000,,,
2016,Rural regions,Not included in this version of the questionnaire,,,,,,,,,,,,
2016,Rural regions,Owner,972,448.04086,432.67951,463.40221,300.00000,400.00000,500.00000,20,800.00000,,,
2016,Rural regions,Tenant,841,344.29601,331.13956,357.45247,200.00000,300.00000,450.00000,50,825.00000,,,
2017,Urban regions,Not included in this version of the questionnaire,,,,,,,,,,,,
2017,Urban regions,Owner,,,,,,,,,,,,
2017,Urban regions,Tenant,,,,,,,,,,,,
2017,Rural regions,Not included in this version of the questionnaire,,,,,,,,,,,,
2017,Rural regions,Owner,,,,,,,,,,,,
2017,Rural regions,Tenant,,,,,,,,,,,,
2018,Urban regions,Owner,1868,498.69407,487.02129,510.36686,300.00000,454.59352,600.00000,50,1050.00000,,,
2018,Urban regions,Tenant,3084,353.68867,346.49036,360.88699,200.00000,300.00000,450.00000,20,825.00000,,,
2018,Rural regions,Owner,1006,440.77494,427.23451,454.31536,300.00000,400.00000,550.00000,20,925.00000,,,
2018,Rural regions,Tenant,1148,336.70171,325.38392,348.01950,200.00000,300.00000,400.00000,20,700.00000,,,
2019,No answer / don't know,Owner,,,,,,,,,,,,
2019,No answer / don't know,Tenant,,,,,,,,,,,,
2019,Urban regions,No answer / don't know,,,,,,,,,,,,
2019,Urban regions,Owner,,,,,,,,,,,,
2019,Urban regions,Tenant,,,,,,,,,,,,
2019,Rural regions,Owner,,,,,,,,,,,,
2019,Rural regions,Tenant,,,,,,,,,,,,
2020,Urban regions,Owner,1805,496.02867,484.55154,507.50580,300.00000,450.00000,600.00000,80,1050.00000,,,
2020,Urban regions,Tenant,3231,358.64127,351.25282,366.02972,200.00000,300.00000,450.00000,10,825.00000,,,
2020,Rural regions,Owner,1014,477.30903,461.71705,492.90100,300.00000,450.00000,600.00000,50,1050.00000,,,
2020,Rural regions,Tenant,1026,336.78842,324.97606,348.60079,200.00000,300.00000,450.00000,10,825.00000,,,
2021,No answer / don't know,Tenant,,,,,,,,,,,,
2021,Urban regions,No answer / don't know,,,,,,,,,,,,
2021,Urban regions,Owner,,,,,,,,,,,,
2021,Urban regions,Tenant,,,,,,,,,,,,
2021,Rural regions,No answer / don't know,,,,,,,,,,,,
2021,Rural regions,Owner,,,,,,,,,,,,
2021,Rural regions,Tenant,,,,,,,,,,,,
2022,Urban regions,No answer / don't know,,,,,,,,,,,,
2022,Urban regions,Owner,2130,581.35675,567.39068,595.32282,400.00000,500.00000,700.00000,60,1150.00000,,,
2022,Urban regions,Tenant,3979,423.80306,415.38575,432.22037,250.00000,400.00000,500.00000,5,875.00000,,,
2022,Rural regions,No answer / don't know,,,,,,,,,,,,
2022,Rural regions,Owner,1241,532.04657,517.37012,546.72301,350.00000,500.00000,600.00000,60,975.00000,,,
2022,Rural regions,Tenant,1125,408.66214,394.53021,422.79407,200.00000,380.00000,500.00000,1,950.00000,,,
