year,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,,,,,,,,,,,,
1984,Tenant,,,,,,,,,,,,
1985,Owner,,,,,,,,,,,,
1985,Tenant,,,,,,,,,,,,
1986,Owner,,,,,,,,,,,,
1986,Tenant,,,,,,,,,,,,
1987,Owner,,,,,,,,,,,,
1987,Tenant,,,,,,,,,,,,
1988,Owner,,,,,,,,,,,,
1988,Tenant,,,,,,,,,,,,
1989,Owner,,,,,,,,,,,,
1989,Tenant,,,,,,,,,,,,
1990,Owner,,,,,,,,,,,,
1990,Tenant,,,,,,,,,,,,
1991,Owner,,,,,,,,,,,,
1991,Tenant,,,,,,,,,,,,
1992,Owner,,,,,,,,,,,,
1992,Tenant,,,,,,,,,,,,
1993,Owner,,,,,,,,,,,,
1993,Tenant,,,,,,,,,,,,
1994,Owner,,,,,,,,,,,,
1994,Tenant,,,,,,,,,,,,
1995,Owner,,,,,,,,,,,,
1995,Tenant,,,,,,,,,,,,
1996,Owner,,,,,,,,,,,,
1996,Tenant,,,,,,,,,,,,
1997,Owner,,,,,,,,,,,,
1997,Tenant,,,,,,,,,,,,
1998,Owner,1670,449.01032,435.66825,461.10887,307.00000,409.00000,511.00000,51.00000,817.00000,409.00000,409.00000,409.00000
1998,Tenant,2440,338.36561,328.38225,347.08424,205.00000,307.00000,409.00000,41.00000,715.00000,307.00000,307.00000,307.00000
1999,Owner,,,,,,,,,,,,
1999,Tenant,,,,,,,,,,,,
2000,Owner,3139,450.18513,438.91726,460.50973,256.00000,409.00000,511.00000,51.00000,893.50000,409.00000,409.00000,409.00000
2000,Tenant,3769,332.35880,327.11122,338.30335,205.00000,307.00000,409.00000,20.00000,715.00000,307.00000,307.00000,358.00000
2001,Owner,2727,457.63315,446.57570,468.66298,307.00000,409.00000,562.00000,26.00000,944.50000,409.00000,409.00000,409.00000
2001,Tenant,3082,340.51995,332.44036,347.75005,205.00000,307.00000,409.00000,0.00000,715.00000,307.00000,307.00000,333.00000
2002,Owner,,,,,,,,,,,,
2002,Tenant,,,,,,,,,,,,
2003,Owner,2926,467.21810,455.69318,476.41805,300.00000,400.00000,600.00000,40.00000,1050.00000,400.00000,399.50000,400.00000
2003,Tenant,2979,350.05858,340.75276,359.07249,200.00000,300.00000,440.00000,0.00000,800.00000,300.00000,300.00000,300.00000
2004,Owner,,,,,,,,,,,,
2004,Tenant,,,,,,,,,,,,
2005,Owner,2805,472.60994,461.49822,482.65030,300.00000,400.00000,600.00000,50.00000,1050.00000,400.00000,350.00000,400.00000
2005,Tenant,2888,349.81721,339.50570,357.60584,200.00000,300.00000,450.00000,25.00000,825.00000,300.00000,300.00000,300.00000
2006,Owner,,,,,,,,,,,,
2006,Tenant,,,,,,,,,,,,
2007,Owner,2898,486.57944,473.27468,499.07762,300.00000,400.00000,600.00000,50.00000,1050.00000,400.00000,350.00000,400.00000
2007,Tenant,2963,346.44133,337.91924,353.16909,200.00000,300.00000,401.75983,20.00000,704.39958,300.00000,300.00000,300.00000
2008,Owner,,,,,,,,,,,,
2008,Tenant,,,,,,,,,,,,
2009,Owner,,,,,,,,,,,,
2009,Tenant,,,,,,,,,,,,
2010,Owner,,,,,,,,,,,,
2010,Tenant,,,,,,,,,,,,
2011,Owner,3178,471.40253,458.17320,482.23678,300.00000,400.00000,600.00000,40.00000,1050.00000,400.00000,400.00000,400.00000
2011,Tenant,3143,324.31495,316.10441,332.86391,200.00000,300.00000,400.00000,0.00000,700.00000,300.00000,300.00000,320.50000
2012,Owner,,,,,,,,,,,,
2012,Tenant,,,,,,,,,,,,
2013,Owner,3096,473.99222,463.10164,485.21333,300.00000,400.00000,600.00000,50.00000,1050.00000,400.00000,350.00000,400.00000
2013,Tenant,3586,328.54131,319.62805,336.53307,200.00000,300.00000,400.00000,0.00000,700.00000,300.00000,300.00000,320.00000
2014,Owner,,,,,,,,,,,,
2014,Tenant,,,,,,,,,,,,
2015,Owner,,,,,,,,,,,,
2015,Tenant,,,,,,,,,,,,
2016,Owner,2638,473.76498,457.63368,486.49866,300.00000,400.00000,600.00000,20.00000,1050.00000,400.00000,400.00000,400.00000
2016,Tenant,3006,346.35182,336.49826,355.36602,200.00000,300.00000,450.00000,40.00000,825.00000,300.00000,300.00000,300.00000
2017,Owner,,,,,,,,,,,,
2017,Tenant,,,,,,,,,,,,
2018,Owner,2874,480.22401,468.37657,491.12801,300.00000,450.00000,600.00000,20.00000,1050.00000,450.00000,449.75000,500.00000
2018,Tenant,4232,349.10336,339.34999,358.67882,200.00000,300.00000,450.00000,20.00000,825.00000,300.00000,300.00000,300.00000
2019,Owner,,,,,,,,,,,,
2019,Tenant,,,,,,,,,,,,
2020,Owner,2819,490.80321,477.99061,503.39310,300.00000,450.00000,600.00000,50.00000,1050.00000,450.00000,400.00000,500.00000
2020,Tenant,4257,352.47113,342.42740,362.42875,200.00000,300.00000,450.00000,10.00000,825.00000,300.00000,300.00000,300.00000
2021,Owner,,,,,,,,,,,,
2021,Tenant,,,,,,,,,,,,
