year,migback,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.04755,760,15653,0.04422,0.05088
2009,No migration background,No,0.80942,14893,15653,0.80326,0.81557
2009,Direct migration background,Yes,0.06704,103,1659,0.05500,0.07908
2009,Direct migration background,No,0.90894,1556,1659,0.89509,0.92279
2009,Indirect migration background,No,0.51192,685,685,0.47446,0.54938
2011,No migration background,Yes,0.05070,1078,17940,0.04749,0.05391
2011,No migration background,No,0.74111,16862,17940,0.73470,0.74752
2011,Direct migration background,Yes,0.05353,115,2015,0.04370,0.06336
2011,Direct migration background,No,0.77579,1900,2015,0.75758,0.79401
2011,Indirect migration background,Yes,0.02058,45,790,0.01067,0.03049
2011,Indirect migration background,No,0.37905,745,790,0.34520,0.41290
2013,No migration background,Yes,0.06040,1184,16436,0.05676,0.06404
2013,No migration background,No,0.73111,15252,16436,0.72433,0.73789
2013,Direct migration background,Yes,0.03807,116,1730,0.02905,0.04710
2013,Direct migration background,No,0.46526,1614,1730,0.44175,0.48878
2013,Indirect migration background,Yes,0.01644,49,700,0.00701,0.02586
2013,Indirect migration background,No,0.22567,651,700,0.19468,0.25666
2015,No migration background,Yes,0.07325,1531,19063,0.06955,0.07695
2015,No migration background,No,0.78701,17532,19063,0.78120,0.79282
2015,Direct migration background,Yes,0.06560,265,4415,0.05830,0.07291
2015,Direct migration background,No,0.77062,4150,4415,0.75822,0.78303
2015,Indirect migration background,Yes,0.02578,88,1562,0.01792,0.03364
2015,Indirect migration background,No,0.45622,1474,1562,0.43151,0.48093
2017,No migration background,Yes,0.07498,1641,20158,0.07135,0.07862
2017,No migration background,No,0.78513,18517,20158,0.77946,0.79080
2017,Direct migration background,Yes,0.07383,326,4754,0.06640,0.08127
2017,Direct migration background,No,0.83040,4428,4754,0.81973,0.84107
2017,Indirect migration background,Yes,0.02936,98,1637,0.02118,0.03754
2017,Indirect migration background,No,0.47801,1539,1637,0.45380,0.50221
2019,No migration background,Yes,0.08755,1924,20183,0.08365,0.09145
2019,No migration background,No,0.77118,18259,20183,0.76538,0.77697
2019,Direct migration background,Yes,0.07170,290,3963,0.06367,0.07974
2019,Direct migration background,No,0.82821,3673,3963,0.81647,0.83996
2019,Indirect migration background,Yes,0.04147,141,1579,0.03163,0.05130
2019,Indirect migration background,No,0.47178,1438,1579,0.44715,0.49641
2021,No migration background,Yes,0.09411,1376,13109,0.08912,0.09911
2021,No migration background,No,0.75379,11733,13109,0.74642,0.76117
2021,Direct migration background,Yes,0.08718,354,5120,0.07945,0.09490
2021,Direct migration background,No,0.83490,4766,5120,0.82473,0.84507
2021,Indirect migration background,Yes,0.05553,106,935,0.04085,0.07022
2021,Indirect migration background,No,0.42057,829,935,0.38891,0.45223
