year,age_gr,quintil_oecd,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,1st Quintile,No,0.91769,697,697,0.89727,0.93811
2009,17-29 y.,2nd Quintile,No,0.88573,482,482,0.85730,0.91416
2009,17-29 y.,3rd Quintile,No,0.91777,541,541,0.89460,0.94094
2009,17-29 y.,4th Quintile,No,0.94067,576,576,0.92136,0.95998
2009,17-29 y.,5th Quintile,No,0.93327,499,499,0.91135,0.95519
2009,30-45 y.,1st Quintile,Yes,0.08597,48,655,0.06448,0.10745
2009,30-45 y.,1st Quintile,No,0.91403,607,655,0.89255,0.93552
2009,30-45 y.,2nd Quintile,Yes,0.05539,37,839,0.03991,0.07088
2009,30-45 y.,2nd Quintile,No,0.94461,802,839,0.92912,0.96009
2009,30-45 y.,3rd Quintile,Yes,0.06222,46,973,0.04703,0.07740
2009,30-45 y.,3rd Quintile,No,0.93778,927,973,0.92260,0.95297
2009,30-45 y.,4th Quintile,Yes,0.05977,43,1044,0.04538,0.07416
2009,30-45 y.,4th Quintile,No,0.94023,1001,1044,0.92584,0.95462
2009,30-45 y.,5th Quintile,Yes,0.04545,41,1163,0.03347,0.05742
2009,30-45 y.,5th Quintile,No,0.95455,1122,1163,0.94258,0.96653
2009,46-65 y.,1st Quintile,Yes,0.15795,114,786,0.13244,0.18347
2009,46-65 y.,1st Quintile,No,0.84205,672,786,0.81653,0.86756
2009,46-65 y.,2nd Quintile,Yes,0.09447,58,787,0.07403,0.11492
2009,46-65 y.,2nd Quintile,No,0.90553,729,787,0.88508,0.92597
2009,46-65 y.,3rd Quintile,Yes,0.05329,49,1051,0.03970,0.06687
2009,46-65 y.,3rd Quintile,No,0.94671,1002,1051,0.93313,0.96030
2009,46-65 y.,4th Quintile,Yes,0.06349,92,1407,0.05074,0.07623
2009,46-65 y.,4th Quintile,No,0.93651,1315,1407,0.92377,0.94926
2009,46-65 y.,5th Quintile,Yes,0.05915,124,2293,0.04949,0.06881
2009,46-65 y.,5th Quintile,No,0.94085,2169,2293,0.93119,0.95051
2009,66 and older,1st Quintile,No,0.94946,693,693,0.93314,0.96578
2009,66 and older,2nd Quintile,Yes,0.03473,37,1048,0.02364,0.04582
2009,66 and older,2nd Quintile,No,0.96527,1011,1048,0.95418,0.97636
2009,66 and older,3rd Quintile,No,0.95780,828,828,0.94410,0.97150
2009,66 and older,4th Quintile,Yes,0.05034,35,694,0.03406,0.06662
2009,66 and older,4th Quintile,No,0.94966,659,694,0.93338,0.96594
2009,66 and older,5th Quintile,Yes,0.05957,43,840,0.04356,0.07559
2009,66 and older,5th Quintile,No,0.94043,797,840,0.92441,0.95644
2011,17-29 y.,1st Quintile,No,0.69234,506,506,0.65208,0.73259
2011,17-29 y.,2nd Quintile,No,0.69834,406,406,0.65364,0.74305
2011,17-29 y.,3rd Quintile,No,0.85804,468,468,0.82638,0.88969
2011,17-29 y.,4th Quintile,No,0.87460,445,445,0.84379,0.90540
2011,17-29 y.,5th Quintile,No,0.91973,383,383,0.89248,0.94697
