year,sampreg,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.04780,692,13477,0.04420,0.05140
2009,West,No,0.79006,12785,13477,0.78318,0.79694
2009,East,Yes,0.04480,192,4541,0.03878,0.05082
2009,East,No,0.82463,4349,4541,0.81357,0.83569
2011,West,Yes,0.04815,954,15840,0.04482,0.05149
2011,West,No,0.71218,14886,15840,0.70513,0.71923
2011,East,Yes,0.05172,284,4905,0.04552,0.05792
2011,East,No,0.74589,4621,4905,0.73371,0.75808
2013,West,Yes,0.05418,1061,14414,0.05049,0.05788
2013,West,No,0.64249,13353,14414,0.63466,0.65031
2013,East,Yes,0.05358,288,4452,0.04697,0.06020
2013,East,No,0.72720,4164,4452,0.71412,0.74029
2015,West,Yes,0.06869,1493,19787,0.06517,0.07222
2015,West,No,0.75229,18294,19787,0.74627,0.75830
2015,East,Yes,0.06613,391,5253,0.05941,0.07286
2015,East,No,0.77907,4862,5253,0.76785,0.79029
2017,West,Yes,0.07204,1656,20959,0.06854,0.07554
2017,West,No,0.76021,19303,20959,0.75443,0.76599
2017,East,Yes,0.06397,409,5590,0.05756,0.07039
2017,East,No,0.77849,5181,5590,0.76760,0.78937
2019,West,Yes,0.08219,1849,20103,0.07839,0.08598
2019,West,No,0.74698,18254,20103,0.74097,0.75299
2019,East,Yes,0.07369,488,5546,0.06681,0.08057
2019,East,No,0.76767,5058,5546,0.75655,0.77878
2021,West,Yes,0.09353,1502,15317,0.08892,0.09815
2021,West,No,0.72882,13815,15317,0.72178,0.73586
2021,East,Yes,0.06989,334,3847,0.06183,0.07794
2021,East,No,0.75652,3513,3847,0.74296,0.77008
