year,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,Yes,0.00925,229,20140,0.00793,0.01057
2014,No migration background,No,0.85185,19911,20140,0.84695,0.85676
2014,Direct migration background,Yes,0.00836,80,5221,0.00589,0.01083
2014,Direct migration background,No,0.95582,5141,5221,0.95025,0.96140
2014,Indirect migration background,Yes,0.01438,31,1719,0.00875,0.02001
2014,Indirect migration background,No,0.47644,1688,1719,0.45282,0.50006
2015,No migration background,Yes,0.01078,196,19170,0.00932,0.01224
2015,No migration background,No,0.85177,18974,19170,0.84674,0.85680
2015,Direct migration background,Yes,0.00770,65,5997,0.00549,0.00991
2015,Direct migration background,No,0.95416,5932,5997,0.94887,0.95946
2015,Indirect migration background,No,0.48332,1592,1592,0.45877,0.50788
2016,No migration background,Yes,0.00853,169,17809,0.00718,0.00988
2016,No migration background,No,0.85074,17640,17809,0.84550,0.85597
2016,Direct migration background,Yes,0.01101,134,7953,0.00872,0.01331
2016,Direct migration background,No,0.94214,7819,7953,0.93701,0.94727
2016,Indirect migration background,Yes,0.01392,31,1494,0.00797,0.01986
2016,Indirect migration background,No,0.49677,1463,1494,0.47140,0.52213
2017,No migration background,Yes,0.00761,202,20157,0.00641,0.00881
2017,No migration background,No,0.85250,19955,20157,0.84761,0.85740
2017,Direct migration background,Yes,0.01300,141,8721,0.01062,0.01538
2017,Direct migration background,No,0.93206,8580,8721,0.92678,0.93734
2017,Indirect migration background,No,0.49545,1608,1608,0.47100,0.51989
2018,No migration background,Yes,0.00689,163,19457,0.00573,0.00805
2018,No migration background,No,0.85717,19294,19457,0.85225,0.86209
2018,Direct migration background,Yes,0.01383,165,8118,0.01129,0.01637
2018,Direct migration background,No,0.93234,7953,8118,0.92687,0.93780
2018,Indirect migration background,No,0.50991,1609,1609,0.48548,0.53435
2019,No migration background,Yes,0.00707,180,20180,0.00591,0.00822
2019,No migration background,No,0.85159,20000,20180,0.84668,0.85649
2019,Direct migration background,Yes,0.01050,95,7315,0.00816,0.01283
2019,Direct migration background,No,0.93840,7220,7315,0.93289,0.94391
2019,Indirect migration background,No,0.49952,1552,1552,0.47463,0.52440
2020,No migration background,Yes,0.00724,156,18578,0.00602,0.00845
2020,No migration background,No,0.84858,18422,18578,0.84342,0.85373
2020,Direct migration background,Yes,0.00901,125,9288,0.00709,0.01094
2020,Direct migration background,No,0.93928,9163,9288,0.93442,0.94414
2020,Indirect migration background,No,0.49556,1520,1520,0.47041,0.52070
2021,No migration background,Yes,0.00607,113,13193,0.00474,0.00739
2021,No migration background,No,0.84803,13080,13193,0.84190,0.85416
2021,Direct migration background,Yes,0.00898,87,5378,0.00645,0.01150
2021,Direct migration background,No,0.92777,5291,5378,0.92085,0.93469
2021,Indirect migration background,No,0.46971,919,919,0.43742,0.50199
