year,quintil_oecd,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,1st Quintile,Yes,0.00814,97,5801,0.00582,0.01045
2014,1st Quintile,No,0.78294,5704,5801,0.77233,0.79354
2014,2nd Quintile,Yes,0.01111,78,5524,0.00834,0.01387
2014,2nd Quintile,No,0.80789,5446,5524,0.79750,0.81828
2014,3rd Quintile,Yes,0.00820,50,5180,0.00574,0.01065
2014,3rd Quintile,No,0.83509,5130,5180,0.82498,0.84519
2014,4th Quintile,Yes,0.00852,56,5161,0.00601,0.01103
2014,4th Quintile,No,0.85454,5105,5161,0.84492,0.86416
2014,5th Quintile,Yes,0.01189,59,5407,0.00900,0.01478
2014,5th Quintile,No,0.88557,5348,5407,0.87708,0.89405
2015,1st Quintile,Yes,0.01468,89,5053,0.01136,0.01799
2015,1st Quintile,No,0.78725,4964,5053,0.77597,0.79854
2015,2nd Quintile,Yes,0.00893,57,5298,0.00639,0.01146
2015,2nd Quintile,No,0.82032,5241,5298,0.80998,0.83066
2015,3rd Quintile,Yes,0.01300,49,4894,0.00983,0.01618
2015,3rd Quintile,No,0.82731,4845,4894,0.81671,0.83790
2015,4th Quintile,Yes,0.00800,46,4780,0.00548,0.01053
2015,4th Quintile,No,0.85697,4734,4780,0.84705,0.86690
2015,5th Quintile,Yes,0.00819,47,5108,0.00572,0.01066
2015,5th Quintile,No,0.88936,5061,5108,0.88076,0.89797
2016,1st Quintile,Yes,0.00981,94,5024,0.00708,0.01253
2016,1st Quintile,No,0.77866,4930,5024,0.76718,0.79014
2016,2nd Quintile,Yes,0.00679,48,5163,0.00455,0.00903
2016,2nd Quintile,No,0.81713,5115,5163,0.80658,0.82767
2016,3rd Quintile,Yes,0.00923,42,4660,0.00648,0.01197
2016,3rd Quintile,No,0.82629,4618,4660,0.81541,0.83717
2016,4th Quintile,Yes,0.01083,50,4597,0.00784,0.01382
2016,4th Quintile,No,0.85632,4547,4597,0.84618,0.86646
2016,5th Quintile,Yes,0.01006,48,4835,0.00725,0.01287
2016,5th Quintile,No,0.88684,4787,4835,0.87791,0.89577
2017,1st Quintile,Yes,0.00964,117,6189,0.00721,0.01208
2017,1st Quintile,No,0.77333,6072,6189,0.76289,0.78376
2017,2nd Quintile,Yes,0.00422,39,4951,0.00242,0.00603
2017,2nd Quintile,No,0.82603,4912,4951,0.81547,0.83659
2017,3rd Quintile,Yes,0.00692,43,4437,0.00448,0.00936
2017,3rd Quintile,No,0.83009,4394,4437,0.81904,0.84114
2017,4th Quintile,Yes,0.00749,41,4341,0.00492,0.01005
2017,4th Quintile,No,0.86892,4300,4341,0.85888,0.87896
2017,5th Quintile,Yes,0.01102,51,4555,0.00799,0.01405
2017,5th Quintile,No,0.88155,4504,4555,0.87217,0.89094
2018,1st Quintile,Yes,0.00922,111,7101,0.00699,0.01144
2018,1st Quintile,No,0.78258,6990,7101,0.77298,0.79217
2018,2nd Quintile,Yes,0.00837,48,5451,0.00595,0.01079
2018,2nd Quintile,No,0.81468,5403,5451,0.80436,0.82500
2018,3rd Quintile,Yes,0.00728,48,4827,0.00488,0.00967
2018,3rd Quintile,No,0.83641,4779,4827,0.82597,0.84685
2018,4th Quintile,Yes,0.00554,37,4642,0.00340,0.00767
2018,4th Quintile,No,0.86164,4605,4642,0.85170,0.87157
2018,5th Quintile,Yes,0.00836,46,5095,0.00586,0.01086
2018,5th Quintile,No,0.88650,5049,5095,0.87779,0.89521
2019,1st Quintile,Yes,0.00856,94,7037,0.00641,0.01071
2019,1st Quintile,No,0.77872,6943,7037,0.76902,0.78842
2019,2nd Quintile,Yes,0.00599,40,4927,0.00384,0.00815
2019,2nd Quintile,No,0.81342,4887,4927,0.80254,0.82429
2019,3rd Quintile,Yes,0.00858,48,4526,0.00589,0.01126
2019,3rd Quintile,No,0.82847,4478,4526,0.81749,0.83946
2019,4th Quintile,Yes,0.00829,48,4275,0.00557,0.01101
2019,4th Quintile,No,0.84846,4227,4275,0.83771,0.85921
2019,5th Quintile,Yes,0.00783,37,4787,0.00534,0.01033
2019,5th Quintile,No,0.89026,4750,4787,0.88141,0.89912
2020,1st Quintile,Yes,0.00950,67,6635,0.00716,0.01183
2020,1st Quintile,No,0.78621,6568,6635,0.77635,0.79608
2020,2nd Quintile,Yes,0.00481,41,4706,0.00283,0.00679
2020,2nd Quintile,No,0.80691,4665,4706,0.79563,0.81819
2020,3rd Quintile,Yes,0.00733,43,4407,0.00481,0.00985
2020,3rd Quintile,No,0.83248,4364,4407,0.82146,0.84351
2020,4th Quintile,Yes,0.00724,36,4425,0.00474,0.00974
2020,4th Quintile,No,0.84445,4389,4425,0.83377,0.85513
2020,5th Quintile,Yes,0.00753,49,6005,0.00534,0.00972
2020,5th Quintile,No,0.87650,5956,6005,0.86818,0.88482
2021,1st Quintile,Yes,0.00409,57,4734,0.00227,0.00591
2021,1st Quintile,No,0.78497,4677,4734,0.77327,0.79668
2021,2nd Quintile,Yes,0.00842,43,3604,0.00543,0.01140
2021,2nd Quintile,No,0.80190,3561,3604,0.78888,0.81491
2021,3rd Quintile,Yes,0.00722,35,3051,0.00422,0.01023
2021,3rd Quintile,No,0.81323,3016,3051,0.79940,0.82706
2021,4th Quintile,No,0.85473,3226,3226,0.84257,0.86689
2021,5th Quintile,Yes,0.00715,46,4314,0.00463,0.00966
2021,5th Quintile,No,0.86993,4268,4314,0.85989,0.87997
