year,age_gr,migback,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,No migration background,Yes,0.01698,53,2669,0.01208,0.02188
2014,17-29 y.,No migration background,No,0.91302,2616,2669,0.90233,0.92371
2014,17-29 y.,Direct migration background,No,0.95285,778,778,0.93794,0.96775
2014,17-29 y.,Indirect migration background,No,0.87894,820,820,0.85660,0.90128
2014,30-45 y.,No migration background,Yes,0.02325,97,5430,0.01925,0.02726
2014,30-45 y.,No migration background,No,0.97675,5333,5430,0.97274,0.98075
2014,30-45 y.,Direct migration background,Yes,0.01319,54,2387,0.00861,0.01776
2014,30-45 y.,Direct migration background,No,0.98681,2333,2387,0.98224,0.99139
2014,30-45 y.,Indirect migration background,No,0.96836,689,689,0.95528,0.98144
2014,46-65 y.,No migration background,Yes,0.00765,74,7540,0.00568,0.00962
2014,46-65 y.,No migration background,No,0.99235,7466,7540,0.99038,0.99432
2014,46-65 y.,Direct migration background,No,0.99574,1583,1583,0.99253,0.99895
2014,46-65 y.,Indirect migration background,No,0.99894,175,175,0.99409,1.00378
2014,66 and older,No migration background,No,0.99852,4496,4496,0.99740,0.99965
2015,17-29 y.,No migration background,Yes,0.02259,51,2579,0.01686,0.02833
2015,17-29 y.,No migration background,No,0.90205,2528,2579,0.89057,0.91352
2015,17-29 y.,Direct migration background,No,0.95873,1056,1056,0.94673,0.97073
2015,17-29 y.,Indirect migration background,No,0.92051,792,792,0.90165,0.93936
2015,30-45 y.,No migration background,Yes,0.03032,98,4833,0.02548,0.03515
2015,30-45 y.,No migration background,No,0.96968,4735,4833,0.96485,0.97452
2015,30-45 y.,Direct migration background,Yes,0.01194,35,2820,0.00793,0.01595
2015,30-45 y.,Direct migration background,No,0.98781,2785,2820,0.98376,0.99186
2015,30-45 y.,Indirect migration background,No,0.97085,620,620,0.95760,0.98410
2015,46-65 y.,No migration background,Yes,0.00618,44,7303,0.00438,0.00798
2015,46-65 y.,No migration background,No,0.99382,7259,7303,0.99202,0.99562
2015,46-65 y.,Direct migration background,No,0.99632,1649,1649,0.99340,0.99924
2015,66 and older,No migration background,No,0.99815,4452,4452,0.99689,0.99941
2016,17-29 y.,No migration background,Yes,0.02335,44,2371,0.01727,0.02943
2016,17-29 y.,No migration background,No,0.89938,2327,2371,0.88727,0.91149
2016,17-29 y.,Direct migration background,Yes,0.01600,31,1764,0.01014,0.02186
2016,17-29 y.,Direct migration background,No,0.96364,1733,1764,0.95490,0.97237
2016,17-29 y.,Indirect migration background,No,0.88861,714,714,0.86551,0.91170
2016,30-45 y.,No migration background,Yes,0.02054,75,4252,0.01628,0.02480
2016,30-45 y.,No migration background,No,0.97942,4177,4252,0.97515,0.98369
2016,30-45 y.,Direct migration background,Yes,0.02161,77,3794,0.01698,0.02624
2016,30-45 y.,Direct migration background,No,0.97817,3717,3794,0.97351,0.98282
2016,30-45 y.,Indirect migration background,No,0.96891,561,561,0.95454,0.98329
2016,46-65 y.,No migration background,Yes,0.00461,46,6885,0.00301,0.00621
2016,46-65 y.,No migration background,No,0.99539,6839,6885,0.99379,0.99699
2016,46-65 y.,Direct migration background,No,0.99527,1936,1936,0.99221,0.99832
2016,46-65 y.,Indirect migration background,No,0.97801,184,184,0.95676,0.99926
2016,66 and older,No migration background,No,0.99878,4297,4297,0.99773,0.99982
2017,17-29 y.,No migration background,Yes,0.01687,53,2939,0.01222,0.02153
