year,age_gr,bula_h,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Schleswig-Holstein,No,0.89763,159,159,0.85037,0.94490
2014,17-29 y.,Hamburg,No,0.93391,58,58,0.86941,0.99841
2014,17-29 y.,Lower Saxony,No,0.91750,442,442,0.89182,0.94318
2014,17-29 y.,Bremen,No,0.92316,50,50,0.84859,0.99773
2014,17-29 y.,North Rhine-Westphalia,No,0.91170,952,952,0.89367,0.92974
2014,17-29 y.,Hesse,No,0.90548,292,292,0.87186,0.93909
2014,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.91396,262,262,0.87994,0.94798
2014,17-29 y.,Baden-Wuerttemberg,No,0.90930,519,519,0.88457,0.93403
2014,17-29 y.,Bavaria,No,0.89766,688,688,0.87499,0.92032
2014,17-29 y.,Berlin,No,0.91686,148,148,0.87223,0.96150
2014,17-29 y.,Brandenburg,No,0.92573,104,104,0.87509,0.97637
2014,17-29 y.,Mecklenburg-Western Pomerania,No,0.96599,71,71,0.92353,1.00845
2014,17-29 y.,Saxony,No,0.91081,207,207,0.87189,0.94973
2014,17-29 y.,Saxony-Anhalt,No,0.94480,135,135,0.90613,0.98347
2014,17-29 y.,Thuringa,No,0.93644,127,127,0.89383,0.97904
2014,30-45 y.,Schleswig-Holstein,No,0.99570,304,304,0.98833,1.00307
2014,30-45 y.,Lower Saxony,No,0.98010,780,780,0.97029,0.98991
2014,30-45 y.,Bremen,No,0.99374,69,69,0.97499,1.01249
2014,30-45 y.,North Rhine-Westphalia,Yes,0.02141,40,1802,0.01472,0.02809
2014,30-45 y.,North Rhine-Westphalia,No,0.97859,1762,1802,0.97191,0.98528
2014,30-45 y.,Hesse,No,0.96706,572,572,0.95242,0.98170
2014,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.96395,464,464,0.94696,0.98093
2014,30-45 y.,Baden-Wuerttemberg,No,0.98401,1105,1105,0.97661,0.99141
2014,30-45 y.,Bavaria,No,0.97127,1391,1391,0.96249,0.98005
2014,30-45 y.,Berlin,No,0.95332,305,305,0.92961,0.97704
2014,30-45 y.,Brandenburg,No,0.99141,258,258,0.98012,1.00269
2014,30-45 y.,Mecklenburg-Western Pomerania,No,0.99047,149,149,0.97483,1.00612
2014,30-45 y.,Saxony,No,0.98498,474,474,0.97402,0.99594
2014,30-45 y.,Saxony-Anhalt,No,0.98769,279,279,0.97473,1.00065
2014,30-45 y.,Thuringa,No,0.99597,285,285,0.98861,1.00334
2014,46-65 y.,Schleswig-Holstein,No,0.96982,266,266,0.94922,0.99042
2014,46-65 y.,Lower Saxony,No,0.99511,865,865,0.99045,0.99976
2014,46-65 y.,Bremen,No,0.99238,54,54,0.96898,1.01579
2014,46-65 y.,North Rhine-Westphalia,No,0.99087,1924,1924,0.98662,0.99512
2014,46-65 y.,Hesse,No,0.98360,710,710,0.97425,0.99295
2014,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.99809,554,554,0.99445,1.00173
2014,46-65 y.,Baden-Wuerttemberg,No,0.99624,1020,1020,0.99249,1.00000
2014,46-65 y.,Bavaria,No,0.99409,1489,1489,0.99019,0.99798
2014,46-65 y.,Berlin,No,0.99341,320,320,0.98453,1.00229
2014,46-65 y.,Brandenburg,No,0.99869,410,410,0.99518,1.00220
2014,46-65 y.,Mecklenburg-Western Pomerania,No,0.99890,211,211,0.99443,1.00338
2014,46-65 y.,Saxony,No,0.99343,570,570,0.98679,1.00007
2014,46-65 y.,Saxony-Anhalt,No,0.99569,333,333,0.98865,1.00274
2014,46-65 y.,Thuringa,No,0.99908,367,367,0.99597,1.00219
2014,66 and older,Schleswig-Holstein,No,0.98863,184,184,0.97326,1.00399
2014,66 and older,Lower Saxony,No,0.99867,484,484,0.99541,1.00192
2014,66 and older,Hesse,No,0.99919,283,283,0.99586,1.00252
2014,66 and older,Baden-Wuerttemberg,No,0.99519,545,545,0.98937,1.00100
2015,17-29 y.,Schleswig-Holstein,No,0.90287,156,156,0.85625,0.94949
2015,17-29 y.,Hamburg,No,0.95493,67,67,0.90489,1.00498
2015,17-29 y.,Lower Saxony,No,0.92613,456,456,0.90210,0.95017
2015,17-29 y.,Bremen,No,0.95632,44,44,0.89524,1.01741
