year,bula_h,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Schleswig-Holstein,No,0.83826,913,913,0.81436,0.86216
2014,Hamburg,No,0.85989,444,444,0.82757,0.89221
2014,Lower Saxony,Yes,0.00748,36,2607,0.00417,0.01078
2014,Lower Saxony,No,0.83677,2571,2607,0.82258,0.85096
2014,Bremen,No,0.85274,209,209,0.80458,0.90090
2014,North Rhine-Westphalia,Yes,0.00931,71,5639,0.00681,0.01182
2014,North Rhine-Westphalia,No,0.82391,5568,5639,0.81396,0.83385
2014,Hesse,No,0.82596,1857,1857,0.80871,0.84321
2014,"Rhineland-Palatinate, Saarland",No,0.82664,1569,1569,0.80790,0.84537
2014,Baden-Wuerttemberg,Yes,0.00785,32,3221,0.00481,0.01090
2014,Baden-Wuerttemberg,No,0.82888,3189,3221,0.81587,0.84189
2014,Bavaria,Yes,0.01290,63,4403,0.00956,0.01623
2014,Bavaria,No,0.82986,4340,4403,0.81876,0.84096
2014,Berlin,No,0.83058,975,975,0.80702,0.85414
2014,Brandenburg,No,0.85594,1011,1011,0.83428,0.87760
2014,Mecklenburg-Western Pomerania,No,0.85436,553,553,0.82494,0.88379
2014,Saxony,No,0.85073,1597,1597,0.83325,0.86822
2014,Saxony-Anhalt,No,0.86397,956,956,0.84223,0.88572
2014,Thuringa,No,0.83522,988,988,0.81208,0.85836
2015,Schleswig-Holstein,No,0.84290,894,894,0.81903,0.86677
2015,Hamburg,No,0.85196,460,460,0.81947,0.88445
2015,Lower Saxony,No,0.83614,2586,2586,0.82187,0.85041
2015,Bremen,No,0.79768,181,181,0.73899,0.85637
2015,North Rhine-Westphalia,Yes,0.01464,79,5577,0.01149,0.01780
2015,North Rhine-Westphalia,No,0.82134,5498,5577,0.81129,0.83140
2015,Hesse,No,0.81850,1865,1865,0.80101,0.83600
2015,"Rhineland-Palatinate, Saarland",No,0.84330,1596,1596,0.82546,0.86114
2015,Baden-Wuerttemberg,No,0.84036,3188,3188,0.82765,0.85308
2015,Bavaria,Yes,0.00921,42,4382,0.00638,0.01203
2015,Bavaria,No,0.83035,4340,4382,0.81924,0.84147
2015,Berlin,No,0.83745,974,974,0.81427,0.86064
2015,Brandenburg,No,0.84445,997,997,0.82194,0.86696
2015,Mecklenburg-Western Pomerania,No,0.83313,546,546,0.80183,0.86444
2015,Saxony,No,0.85276,1520,1520,0.83494,0.87058
2015,Saxony-Anhalt,No,0.86707,890,890,0.84475,0.88939
2015,Thuringa,No,0.84313,963,963,0.82015,0.86611
2016,Schleswig-Holstein,No,0.83369,974,974,0.81029,0.85708
2016,Hamburg,No,0.84058,458,458,0.80702,0.87414
2016,Lower Saxony,Yes,0.00847,41,2715,0.00502,0.01192
2016,Lower Saxony,No,0.84145,2674,2715,0.82771,0.85519
2016,Bremen,No,0.76437,223,223,0.70855,0.82020
2016,North Rhine-Westphalia,Yes,0.00823,67,5722,0.00589,0.01057
2016,North Rhine-Westphalia,No,0.82833,5655,5722,0.81856,0.83810
2016,Hesse,No,0.81819,1826,1826,0.80050,0.83589
2016,"Rhineland-Palatinate, Saarland",No,0.83517,1730,1730,0.81769,0.85266
2016,Baden-Wuerttemberg,Yes,0.01113,47,3191,0.00749,0.01477
2016,Baden-Wuerttemberg,No,0.82352,3144,3191,0.81029,0.83675
2016,Bavaria,Yes,0.00918,37,4222,0.00630,0.01205
2016,Bavaria,No,0.83183,4185,4222,0.82055,0.84312
2016,Berlin,No,0.83894,999,999,0.81614,0.86175
2016,Brandenburg,No,0.84265,1037,1037,0.82048,0.86483
2016,Mecklenburg-Western Pomerania,No,0.83027,584,584,0.79979,0.86074
2016,Saxony,No,0.85019,1557,1557,0.83246,0.86793
2016,Saxony-Anhalt,No,0.84361,903,903,0.81990,0.86731
2016,Thuringa,No,0.84476,973,973,0.82199,0.86752
2017,Schleswig-Holstein,No,0.82588,1169,1169,0.80414,0.84763
2017,Hamburg,No,0.82398,531,531,0.79155,0.85640
2017,Lower Saxony,Yes,0.01223,49,3212,0.00843,0.01603
2017,Lower Saxony,No,0.83058,3163,3212,0.81761,0.84356
2017,Bremen,No,0.78948,279,279,0.74156,0.83740
2017,North Rhine-Westphalia,Yes,0.00945,95,6483,0.00709,0.01181
2017,North Rhine-Westphalia,No,0.83068,6388,6483,0.82155,0.83981
2017,Hesse,No,0.82332,2133,2133,0.80713,0.83951
2017,"Rhineland-Palatinate, Saarland",No,0.82964,1775,1775,0.81215,0.84714
2017,Baden-Wuerttemberg,Yes,0.00957,45,3475,0.00634,0.01281
2017,Baden-Wuerttemberg,No,0.82259,3430,3475,0.80989,0.83529
2017,Bavaria,Yes,0.01015,58,4618,0.00726,0.01305
2017,Bavaria,No,0.83189,4560,4618,0.82110,0.84268
2017,Berlin,No,0.85811,1082,1082,0.83730,0.87891
2017,Brandenburg,No,0.82389,1153,1153,0.80189,0.84588
2017,Mecklenburg-Western Pomerania,No,0.82967,614,614,0.79991,0.85943
2017,Saxony,No,0.84570,1780,1780,0.82891,0.86249
2017,Saxony-Anhalt,No,0.84511,1022,1022,0.82291,0.86730
2017,Thuringa,No,0.84464,1064,1064,0.82286,0.86642
2018,Schleswig-Holstein,No,0.82493,1080,1080,0.80225,0.84760
2018,Hamburg,No,0.82022,531,531,0.78753,0.85291
2018,Lower Saxony,Yes,0.00477,34,3041,0.00232,0.00722
2018,Lower Saxony,No,0.84284,3007,3041,0.82990,0.85577
2018,Bremen,No,0.79326,291,291,0.74666,0.83987
2018,North Rhine-Westphalia,Yes,0.01120,89,6245,0.00859,0.01381
2018,North Rhine-Westphalia,No,0.84221,6156,6245,0.83317,0.85125
2018,Hesse,No,0.83154,2071,2071,0.81541,0.84766
2018,"Rhineland-Palatinate, Saarland",No,0.83004,1702,1702,0.81219,0.84789
2018,Baden-Wuerttemberg,No,0.83098,3129,3129,0.81785,0.84411
2018,Bavaria,Yes,0.01074,55,4330,0.00767,0.01381
2018,Bavaria,No,0.83422,4275,4330,0.82314,0.84530
2018,Berlin,No,0.84256,1114,1114,0.82116,0.86395
2018,Brandenburg,No,0.81833,1125,1125,0.79578,0.84087
2018,Mecklenburg-Western Pomerania,No,0.82630,645,645,0.79704,0.85556
2018,Saxony,No,0.84591,1718,1718,0.82883,0.86298
2018,Saxony-Anhalt,No,0.83967,987,987,0.81676,0.86257
2018,Thuringa,No,0.83573,1025,1025,0.81304,0.85843
2019,Schleswig-Holstein,No,0.80209,1138,1138,0.77893,0.82525
2019,Hamburg,No,0.81834,579,579,0.78691,0.84977
2019,Lower Saxony,No,0.83517,2906,2906,0.82168,0.84867
2019,Bremen,No,0.80979,282,282,0.76390,0.85568
