year,age_gr,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Yes,0.01914,82,4296,0.01504,0.02324
2014,17-29 y.,No,0.91216,4214,4296,0.90370,0.92063
2014,30-45 y.,Yes,0.02165,164,8519,0.01856,0.02474
2014,30-45 y.,No,0.97835,8355,8519,0.97526,0.98144
2014,46-65 y.,Yes,0.00709,89,9313,0.00539,0.00880
2014,46-65 y.,No,0.99291,9224,9313,0.99120,0.99461
2014,66 and older,No,0.99865,4947,4947,0.99763,0.99968
2015,17-29 y.,Yes,0.02053,86,4462,0.01637,0.02469
2015,17-29 y.,No,0.91290,4376,4462,0.90463,0.92118
2015,30-45 y.,Yes,0.02609,146,8286,0.02266,0.02953
2015,30-45 y.,No,0.97385,8140,8286,0.97041,0.97729
2015,46-65 y.,Yes,0.00573,53,9137,0.00419,0.00728
2015,46-65 y.,No,0.99427,9084,9137,0.99272,0.99581
2015,66 and older,No,0.99831,4898,4898,0.99716,0.99946
2016,17-29 y.,Yes,0.02247,90,4864,0.01830,0.02663
2016,17-29 y.,No,0.90595,4774,4864,0.89775,0.91415
2016,30-45 y.,Yes,0.02162,166,8621,0.01855,0.02469
2016,30-45 y.,No,0.97831,8455,8621,0.97523,0.98138
2016,46-65 y.,Yes,0.00492,74,9033,0.00347,0.00636
2016,46-65 y.,No,0.99507,8959,9033,0.99363,0.99651
2016,66 and older,No,0.99889,4734,4734,0.99795,0.99984
2017,17-29 y.,Yes,0.01864,102,5816,0.01516,0.02211
2017,17-29 y.,No,0.91256,5714,5816,0.90530,0.91982
2017,30-45 y.,Yes,0.02007,174,9128,0.01719,0.02294
2017,30-45 y.,No,0.97992,8954,9128,0.97704,0.98280
2017,46-65 y.,Yes,0.00660,94,10578,0.00506,0.00814
2017,46-65 y.,No,0.99339,10484,10578,0.99185,0.99494
2017,66 and older,No,0.99980,4991,4991,0.99941,1.00019
2018,17-29 y.,Yes,0.01498,85,5489,0.01176,0.01819
2018,17-29 y.,No,0.92256,5404,5489,0.91549,0.92963
2018,30-45 y.,Yes,0.02204,176,8440,0.01891,0.02517
2018,30-45 y.,No,0.97772,8264,8440,0.97457,0.98087
2018,46-65 y.,Yes,0.00430,84,10260,0.00303,0.00557
2018,46-65 y.,No,0.99570,10176,10260,0.99443,0.99697
2018,66 and older,No,0.99931,5012,5012,0.99858,1.00004
2019,17-29 y.,Yes,0.01643,82,4845,0.01285,0.02002
2019,17-29 y.,No,0.90860,4763,4845,0.90049,0.91672
2019,30-45 y.,Yes,0.01693,126,7963,0.01410,0.01977
2019,30-45 y.,No,0.98307,7837,7963,0.98023,0.98590
2019,46-65 y.,Yes,0.00645,83,11059,0.00495,0.00794
2019,46-65 y.,No,0.99355,10976,11059,0.99206,0.99504
2019,66 and older,No,0.99871,5196,5196,0.99773,0.99969
2020,17-29 y.,Yes,0.01943,84,5465,0.01577,0.02309
2020,17-29 y.,No,0.90721,5381,5465,0.89952,0.91491
2020,30-45 y.,Yes,0.01373,133,8491,0.01126,0.01621
2020,30-45 y.,No,0.98611,8358,8491,0.98362,0.98860
2020,46-65 y.,Yes,0.00532,75,10522,0.00393,0.00671
2020,46-65 y.,No,0.99468,10447,10522,0.99329,0.99607
2020,66 and older,No,0.99837,4919,4919,0.99725,0.99950
2021,17-29 y.,Yes,0.01115,52,3278,0.00755,0.01474
2021,17-29 y.,No,0.92389,3226,3278,0.91481,0.93297
2021,30-45 y.,Yes,0.01805,108,5344,0.01448,0.02162
2021,30-45 y.,No,0.98098,5236,5344,0.97731,0.98464
2021,46-65 y.,Yes,0.00395,58,7319,0.00252,0.00539
2021,46-65 y.,No,0.99438,7261,7319,0.99267,0.99609
2021,66 and older,No,0.98950,3567,3567,0.98616,0.99285
