year,sampreg,profdev,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,West,Yes,0.01041,279,21497,0.00905,0.01177
2014,West,No,0.82917,21218,21497,0.82414,0.83421
2014,East,Yes,0.00561,61,5583,0.00365,0.00756
2014,East,No,0.85243,5522,5583,0.84313,0.86174
2015,West,Yes,0.01095,226,21380,0.00955,0.01234
2015,West,No,0.83068,21154,21380,0.82565,0.83570
2015,East,Yes,0.00715,62,5406,0.00490,0.00940
2015,East,No,0.85010,5344,5406,0.84059,0.85962
2016,West,Yes,0.00974,268,21718,0.00843,0.01104
2016,West,No,0.82952,21450,21718,0.82452,0.83452
2016,East,Yes,0.00748,66,5538,0.00521,0.00975
2016,East,No,0.84375,5472,5538,0.83418,0.85331
2017,West,Yes,0.00910,308,24345,0.00791,0.01030
2017,West,No,0.82880,24037,24345,0.82407,0.83353
2017,East,Yes,0.00702,64,6170,0.00494,0.00910
2017,East,No,0.84097,6106,6170,0.83184,0.85009
2018,West,Yes,0.00845,276,23197,0.00727,0.00963
2018,West,No,0.83497,22921,23197,0.83019,0.83974
2018,East,Yes,0.00589,74,6009,0.00395,0.00782
2018,East,No,0.83718,5935,6009,0.82785,0.84652
2019,West,Yes,0.00826,231,22997,0.00709,0.00943
2019,West,No,0.82767,22766,22997,0.82279,0.83255
2019,East,Yes,0.00645,70,6000,0.00442,0.00847
2019,East,No,0.84082,5930,6000,0.83156,0.85008
2020,West,Yes,0.00756,249,23576,0.00646,0.00867
2020,West,No,0.82597,23327,23576,0.82113,0.83081
2020,East,Yes,0.00616,48,5826,0.00415,0.00817
2020,East,No,0.83889,5778,5826,0.82945,0.84833
2021,West,Yes,0.00671,180,15620,0.00543,0.00799
2021,West,No,0.82224,15440,15620,0.81624,0.82823
2021,East,Yes,0.00518,39,3889,0.00292,0.00743
2021,East,No,0.82857,3850,3889,0.81673,0.84042
