year,regtyp,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.01039,78,8566,0.00824,0.01254
1985,Urban regions,At least once per month,0.01989,152,8566,0.01693,0.02285
1985,Urban regions,Seldom,0.04959,390,8566,0.04499,0.05419
1985,Urban regions,Never,0.92013,7946,8566,0.91439,0.92587
1985,Rural regions,At least once per month,0.02072,47,2277,0.01487,0.02658
1985,Rural regions,Seldom,0.05670,125,2277,0.04720,0.06621
1985,Rural regions,Never,0.91193,2105,2277,0.90028,0.92357
1986,Urban regions,At least once per week,0.00912,72,8245,0.00707,0.01117
1986,Urban regions,At least once per month,0.01731,124,8245,0.01449,0.02012
1986,Urban regions,Seldom,0.05290,391,8245,0.04807,0.05774
1986,Urban regions,Never,0.92067,7658,8245,0.91484,0.92651
1986,Rural regions,At least once per month,0.02305,45,2187,0.01676,0.02934
1986,Rural regions,Seldom,0.04848,110,2187,0.03947,0.05748
1986,Rural regions,Never,0.91640,2032,2187,0.90480,0.92800
1988,Urban regions,At least once per week,0.00779,54,7824,0.00584,0.00973
1988,Urban regions,At least once per month,0.01284,87,7824,0.01035,0.01534
1988,Urban regions,Seldom,0.05646,388,7824,0.05134,0.06157
1988,Urban regions,Never,0.92291,7295,7824,0.91700,0.92882
1988,Rural regions,At least once per month,0.02122,37,2025,0.01494,0.02749
1988,Rural regions,Seldom,0.05923,121,2025,0.04895,0.06952
1988,Rural regions,Never,0.91329,1867,2025,0.90103,0.92555
1990,No answer / don't know,Never,0.79752,69,69,0.70201,0.89304
1990,Urban regions,At least once per week,0.01148,95,8879,0.00926,0.01369
1990,Urban regions,At least once per month,0.02767,228,8879,0.02426,0.03108
1990,Urban regions,Seldom,0.12336,967,8879,0.11652,0.13020
1990,Urban regions,Never,0.83750,7589,8879,0.82982,0.84517
1990,Rural regions,At least once per week,0.01941,98,4741,0.01548,0.02333
1990,Rural regions,At least once per month,0.03889,206,4741,0.03338,0.04439
1990,Rural regions,Seldom,0.12687,573,4741,0.11739,0.13634
1990,Rural regions,Never,0.81484,3864,4741,0.80378,0.82590
1992,No answer / don't know,Never,0.93211,106,106,0.88400,0.98023
1992,Urban regions,At least once per week,0.00671,55,8530,0.00498,0.00844
1992,Urban regions,At least once per month,0.01768,121,8530,0.01489,0.02048
1992,Urban regions,Seldom,0.05464,428,8530,0.04982,0.05946
1992,Urban regions,Never,0.92096,7926,8530,0.91524,0.92669
1992,Rural regions,At least once per week,0.01096,55,4454,0.00790,0.01402
1992,Rural regions,At least once per month,0.02479,110,4454,0.02022,0.02936
1992,Rural regions,Seldom,0.06661,296,4454,0.05928,0.07393
1992,Rural regions,Never,0.89764,3993,4454,0.88874,0.90654
1994,Urban regions,At least once per week,0.00678,54,8380,0.00503,0.00854
