year,bula_h,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Thuringa,At least once per month,0.05345,38,13381,0.05314,0.05377
1990,Thuringa,Seldom,0.07517,65,13381,0.07480,0.07553
1990,Thuringa,Never,0.87138,613,13381,0.87091,0.87184
1992,Schleswig-Holstein,Never,1.00000,245,12728,1.00000,1.00000
1992,Hamburg,Never,1.00000,140,12728,1.00000,1.00000
1992,Lower Saxony,Seldom,0.06162,50,12728,0.06142,0.06182
1992,Lower Saxony,Never,0.93838,874,12728,0.93818,0.93858
1992,Bremen,Never,1.00000,82,12728,1.00000,1.00000
1992,North Rhine-Westphalia,At least once per month,0.02033,38,12728,0.02026,0.02041
1992,North Rhine-Westphalia,Seldom,0.05404,124,12728,0.05392,0.05416
1992,North Rhine-Westphalia,Never,0.92562,2305,12728,0.92549,0.92576
1992,Hesse,Seldom,0.07636,60,12728,0.07611,0.07660
1992,Hesse,Never,0.92364,862,12728,0.92340,0.92389
1992,"Rhineland-Palatinate, Saarland",Seldom,0.08065,48,12728,0.08038,0.08093
1992,"Rhineland-Palatinate, Saarland",Never,0.91935,583,12728,0.91907,0.91962
1992,Baden-Wuerttemberg,Seldom,0.06585,90,12728,0.06568,0.06602
1992,Baden-Wuerttemberg,Never,0.93415,1621,12728,0.93398,0.93432
1992,Bavaria,Seldom,0.05990,89,12728,0.05974,0.06005
1992,Bavaria,Never,0.94010,1486,12728,0.93995,0.94026
1992,Berlin,Never,1.00000,544,12728,1.00000,1.00000
1992,Brandenburg,Seldom,0.05458,40,12728,0.05427,0.05488
1992,Brandenburg,Never,0.94542,586,12728,0.94512,0.94573
1992,Mecklenburg-Western Pomerania,Never,1.00000,373,12728,1.00000,1.00000
1992,Saxony,Seldom,0.05709,77,12728,0.05685,0.05732
1992,Saxony,Never,0.94291,1029,12728,0.94268,0.94315
1992,Saxony-Anhalt,Seldom,0.06433,56,12728,0.06401,0.06465
1992,Saxony-Anhalt,Never,0.93567,674,12728,0.93535,0.93599
1992,Thuringa,Seldom,0.04810,31,12728,0.04780,0.04839
1992,Thuringa,Never,0.95190,621,12728,0.95161,0.95220
1994,Schleswig-Holstein,Never,1.00000,256,12332,1.00000,1.00000
1994,Hamburg,Never,1.00000,136,12332,1.00000,1.00000
1994,Lower Saxony,Seldom,0.08156,65,12332,0.08133,0.08178
1994,Lower Saxony,Never,0.91844,867,12332,0.91822,0.91867
1994,Bremen,Never,1.00000,79,12332,1.00000,1.00000
1994,North Rhine-Westphalia,At least once per month,0.01468,31,12332,0.01462,0.01474
1994,North Rhine-Westphalia,Seldom,0.06091,145,12332,0.06078,0.06104
1994,North Rhine-Westphalia,Never,0.92441,2234,12332,0.92427,0.92455
1994,Hesse,Seldom,0.07414,54,12332,0.07390,0.07437
1994,Hesse,Never,0.92586,832,12332,0.92563,0.92610
1994,"Rhineland-Palatinate, Saarland",Seldom,0.06621,38,12332,0.06596,0.06645
1994,"Rhineland-Palatinate, Saarland",Never,0.93379,563,12332,0.93355,0.93404
1994,Baden-Wuerttemberg,Seldom,0.06807,109,12332,0.06790,0.06824
1994,Baden-Wuerttemberg,Never,0.93193,1583,12332,0.93176,0.93210
1994,Bavaria,Seldom,0.08915,134,12332,0.08896,0.08934
1994,Bavaria,Never,0.91085,1395,12332,0.91066,0.91104
1994,Berlin,Never,1.00000,499,12332,1.00000,1.00000
1994,Brandenburg,Seldom,0.05354,32,12332,0.05324,0.05385
1994,Brandenburg,Never,0.94646,547,12332,0.94615,0.94676
1994,Mecklenburg-Western Pomerania,Never,1.00000,368,12332,1.00000,1.00000
1994,Saxony,Seldom,0.05921,68,12332,0.05897,0.05945
1994,Saxony,Never,0.94079,1015,12332,0.94055,0.94103
1994,Saxony-Anhalt,Seldom,0.05114,37,12332,0.05085,0.05143
1994,Saxony-Anhalt,Never,0.94886,631,12332,0.94857,0.94915
1994,Thuringa,Never,1.00000,614,12332,1.00000,1.00000
1995,Schleswig-Holstein,Never,1.00000,246,12772,1.00000,1.00000
1995,Hamburg,Never,1.00000,120,12772,1.00000,1.00000
1995,Lower Saxony,Seldom,0.09858,80,12772,0.09834,0.09882
1995,Lower Saxony,Never,0.90142,923,12772,0.90118,0.90166
1995,Bremen,Never,1.00000,84,12772,1.00000,1.00000
1995,North Rhine-Westphalia,At least once per month,0.01711,39,12772,0.01704,0.01718
1995,North Rhine-Westphalia,Seldom,0.08386,199,12772,0.08371,0.08400
1995,North Rhine-Westphalia,Never,0.89903,2304,12772,0.89888,0.89919
1995,Hesse,Seldom,0.10320,75,12772,0.10293,0.10348
1995,Hesse,Never,0.89680,837,12772,0.89652,0.89707
1995,"Rhineland-Palatinate, Saarland",Seldom,0.10071,65,12772,0.10042,0.10101
1995,"Rhineland-Palatinate, Saarland",Never,0.89929,616,12772,0.89899,0.89958
1995,Baden-Wuerttemberg,Seldom,0.07973,110,12772,0.07954,0.07991
1995,Baden-Wuerttemberg,Never,0.92027,1639,12772,0.92009,0.92046
1995,Bavaria,Seldom,0.09763,153,12772,0.09744,0.09783
1995,Bavaria,Never,0.90237,1473,12772,0.90217,0.90256
1995,Berlin,Seldom,0.05647,31,12772,0.05620,0.05674
1995,Berlin,Never,0.94353,507,12772,0.94326,0.94380
1995,Brandenburg,Seldom,0.08771,48,12772,0.08733,0.08810
1995,Brandenburg,Never,0.91229,511,12772,0.91190,0.91267
1995,Mecklenburg-Western Pomerania,Never,1.00000,366,12772,1.00000,1.00000
1995,Saxony,Seldom,0.07791,82,12772,0.07764,0.07819
1995,Saxony,Never,0.92209,974,12772,0.92181,0.92236
1995,Saxony-Anhalt,Seldom,0.08539,67,12772,0.08502,0.08576
1995,Saxony-Anhalt,Never,0.91461,595,12772,0.91424,0.91498
1995,Thuringa,Seldom,0.05630,45,12772,0.05598,0.05662
1995,Thuringa,Never,0.94370,583,12772,0.94338,0.94402
1996,Schleswig-Holstein,Seldom,0.13387,33,12647,0.13344,0.13431
1996,Schleswig-Holstein,Never,0.86613,241,12647,0.86569,0.86656
1996,Hamburg,Never,1.00000,117,12647,1.00000,1.00000
1996,Lower Saxony,Seldom,0.08894,73,12647,0.08872,0.08917
1996,Lower Saxony,Never,0.91106,945,12647,0.91083,0.91128
1996,Bremen,Never,1.00000,84,12647,1.00000,1.00000
1996,North Rhine-Westphalia,Seldom,0.09168,196,12647,0.09153,0.09183
1996,North Rhine-Westphalia,Never,0.90832,2301,12647,0.90817,0.90847
1996,Hesse,Seldom,0.09235,76,12647,0.09209,0.09260
1996,Hesse,Never,0.90765,811,12647,0.90740,0.90791
1996,"Rhineland-Palatinate, Saarland",Seldom,0.06817,48,12647,0.06792,0.06841
1996,"Rhineland-Palatinate, Saarland",Never,0.93183,622,12647,0.93159,0.93208
1996,Baden-Wuerttemberg,Seldom,0.10131,134,12647,0.10110,0.10151
1996,Baden-Wuerttemberg,Never,0.89869,1534,12647,0.89849,0.89890
1996,Bavaria,Seldom,0.10553,141,12647,0.10533,0.10573
1996,Bavaria,Never,0.89447,1465,12647,0.89427,0.89467
1996,Berlin,Never,1.00000,499,12647,1.00000,1.00000
1996,Brandenburg,Seldom,0.07161,39,12647,0.07126,0.07197
1996,Brandenburg,Never,0.92839,540,12647,0.92803,0.92874
1996,Mecklenburg-Western Pomerania,Seldom,0.09026,34,12647,0.08978,0.09073
1996,Mecklenburg-Western Pomerania,Never,0.90974,349,12647,0.90927,0.91022
1996,Saxony,Seldom,0.06533,76,12647,0.06508,0.06558
1996,Saxony,Never,0.93467,995,12647,0.93442,0.93492
1996,Saxony-Anhalt,Seldom,0.08186,61,12647,0.08150,0.08223
1996,Saxony-Anhalt,Never,0.91814,592,12647,0.91777,0.91850
1996,Thuringa,Seldom,0.06922,44,12647,0.06887,0.06958
1996,Thuringa,Never,0.93078,597,12647,0.93042,0.93113
1997,Schleswig-Holstein,Never,1.00000,241,12327,1.00000,1.00000
1997,Hamburg,Never,1.00000,119,12327,1.00000,1.00000
1997,Lower Saxony,Seldom,0.05598,55,12327,0.05579,0.05617
1997,Lower Saxony,Never,0.94402,943,12327,0.94383,0.94421
1997,Bremen,Never,1.00000,80,12327,1.00000,1.00000
1997,North Rhine-Westphalia,At least once per month,0.01753,40,12327,0.01747,0.01760
1997,North Rhine-Westphalia,Seldom,0.07344,148,12327,0.07331,0.07358
1997,North Rhine-Westphalia,Never,0.90902,2288,12327,0.90887,0.90917
1997,Hesse,Seldom,0.09383,60,12327,0.09357,0.09409
1997,Hesse,Never,0.90617,755,12327,0.90591,0.90643
1997,"Rhineland-Palatinate, Saarland",Seldom,0.07064,49,12327,0.07039,0.07089
1997,"Rhineland-Palatinate, Saarland",Never,0.92936,633,12327,0.92911,0.92961
1997,Baden-Wuerttemberg,Seldom,0.08231,114,12327,0.08213,0.08250
1997,Baden-Wuerttemberg,Never,0.91769,1550,12327,0.91750,0.91787
1997,Bavaria,Seldom,0.07654,116,12327,0.07637,0.07671
1997,Bavaria,Never,0.92346,1454,12327,0.92329,0.92363
1997,Berlin,Never,1.00000,465,12327,1.00000,1.00000
