year,pgisced97,sampreg,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,West,Never,0.95376,109,109,0.91415,0.99337
1985,Pre-primary Level,West,Never,0.92260,174,174,0.88278,0.96242
1985,Primary Level,West,Never,0.98157,809,809,0.97229,0.99084
1985,Lower Secondary Level,West,At least once per month,0.01063,31,3001,0.00696,0.01429
1985,Lower Secondary Level,West,Seldom,0.02772,76,3001,0.02185,0.03360
1985,Lower Secondary Level,West,Never,0.95658,2894,3001,0.94928,0.96387
1985,Upper Secondary Level,West,At least once per week,0.00814,42,5108,0.00567,0.01060
1985,Upper Secondary Level,West,At least once per month,0.01996,96,5108,0.01613,0.02380
1985,Upper Secondary Level,West,Seldom,0.05037,256,5108,0.04437,0.05637
1985,Upper Secondary Level,West,Never,0.92153,4714,5108,0.91415,0.92890
1985,Post-secondary Non-tertiary Level,West,Never,0.81778,225,225,0.76723,0.86833
1985,First Stage of Tertiary Education,West,Seldom,0.07517,45,577,0.05364,0.09670
1985,First Stage of Tertiary Education,West,Never,0.87517,532,577,0.84818,0.90216
1985,Second Stage of Tertiary Education,West,At least once per month,0.05112,39,723,0.03505,0.06718
1985,Second Stage of Tertiary Education,West,Seldom,0.12047,90,723,0.09672,0.14421
1985,Second Stage of Tertiary Education,West,Never,0.79674,594,723,0.76739,0.82609
1986,No answer / don't know,West,Never,0.93949,107,107,0.89410,0.98488
1986,Pre-primary Level,West,Never,0.95725,177,177,0.92736,0.98713
1986,Primary Level,West,Never,0.98738,758,758,0.97943,0.99533
1986,Lower Secondary Level,West,At least once per month,0.01501,32,2860,0.01055,0.01946
1986,Lower Secondary Level,West,Seldom,0.02798,82,2860,0.02193,0.03402
1986,Lower Secondary Level,West,Never,0.95535,2746,2860,0.94778,0.96292
1986,Upper Secondary Level,West,At least once per week,0.01008,49,4936,0.00729,0.01287
1986,Upper Secondary Level,West,At least once per month,0.01895,88,4936,0.01515,0.02276
1986,Upper Secondary Level,West,Seldom,0.04933,234,4936,0.04329,0.05537
1986,Upper Secondary Level,West,Never,0.92164,4565,4936,0.91414,0.92914
1986,Post-secondary Non-tertiary Level,West,Never,0.84352,241,241,0.79755,0.88948
1986,First Stage of Tertiary Education,West,Seldom,0.09234,57,551,0.06815,0.11654
1986,First Stage of Tertiary Education,West,Never,0.87653,494,551,0.84904,0.90403
1986,Second Stage of Tertiary Education,West,Seldom,0.12831,94,696,0.10345,0.15318
1986,Second Stage of Tertiary Education,West,Never,0.81062,602,696,0.78149,0.83975
1988,No answer / don't know,West,Never,0.96056,139,139,0.92808,0.99303
1988,Pre-primary Level,West,Never,0.94237,153,153,0.90532,0.97941
1988,Primary Level,West,Never,0.98543,674,674,0.97637,0.99448
1988,Lower Secondary Level,West,Seldom,0.02643,67,2669,0.02035,0.03252
1988,Lower Secondary Level,West,Never,0.96604,2602,2669,0.95917,0.97292
1988,Upper Secondary Level,West,At least once per week,0.00730,36,4682,0.00486,0.00974
1988,Upper Secondary Level,West,At least once per month,0.01405,61,4682,0.01068,0.01742
1988,Upper Secondary Level,West,Seldom,0.05561,241,4682,0.04905,0.06218
1988,Upper Secondary Level,West,Never,0.92304,4344,4682,0.91541,0.93068
1988,Post-secondary Non-tertiary Level,West,Never,0.89184,240,240,0.85246,0.93122
1988,First Stage of Tertiary Education,West,Seldom,0.08736,48,512,0.06288,0.11184
1988,First Stage of Tertiary Education,West,Never,0.87426,464,512,0.84551,0.90300
1988,Second Stage of Tertiary Education,West,Seldom,0.15507,112,658,0.12739,0.18275
1988,Second Stage of Tertiary Education,West,Never,0.78250,546,658,0.75096,0.81405
1990,No answer / don't know,West,Never,0.88093,139,139,0.82690,0.93497
1990,Pre-primary Level,West,Never,0.92799,150,150,0.88648,0.96950
1990,Primary Level,West,Never,0.92265,597,597,0.90121,0.94410
1990,Lower Secondary Level,West,At least once per month,0.01643,39,2443,0.01139,0.02148
1990,Lower Secondary Level,West,Seldom,0.08158,181,2443,0.07072,0.09243
1990,Lower Secondary Level,West,Never,0.89992,2223,2443,0.88801,0.91182
1990,Lower Secondary Level,East,Never,0.95267,469,469,0.93343,0.97191
1990,Upper Secondary Level,West,At least once per week,0.01422,59,4523,0.01077,0.01767
1990,Upper Secondary Level,West,At least once per month,0.02457,106,4523,0.02006,0.02908
1990,Upper Secondary Level,West,Seldom,0.13722,584,4523,0.12719,0.14725
1990,Upper Secondary Level,West,Never,0.82399,3774,4523,0.81289,0.83509
1990,Upper Secondary Level,East,At least once per month,0.03624,93,2423,0.02880,0.04368
1990,Upper Secondary Level,East,Seldom,0.07247,194,2423,0.06215,0.08280
1990,Upper Secondary Level,East,Never,0.88138,2136,2423,0.86850,0.89426
1990,Post-secondary Non-tertiary Level,West,Seldom,0.14506,41,280,0.10373,0.18638
1990,Post-secondary Non-tertiary Level,West,Never,0.79221,239,280,0.74460,0.83982
1990,Post-secondary Non-tertiary Level,East,Never,0.83417,63,63,0.74158,0.92675
1990,First Stage of Tertiary Education,West,Seldom,0.16206,87,490,0.12940,0.19473
1990,First Stage of Tertiary Education,West,Never,0.79420,403,490,0.75837,0.83004
1990,First Stage of Tertiary Education,East,Seldom,0.12488,35,225,0.08159,0.16817
1990,First Stage of Tertiary Education,East,Never,0.78143,190,225,0.72731,0.83555
1990,Second Stage of Tertiary Education,West,At least once per month,0.06892,39,673,0.04977,0.08808
1990,Second Stage of Tertiary Education,West,Seldom,0.24586,169,673,0.21330,0.27842
1990,Second Stage of Tertiary Education,West,Never,0.64972,465,673,0.61365,0.68579
1990,Second Stage of Tertiary Education,East,At least once per week,0.04829,47,968,0.03478,0.06180
1990,Second Stage of Tertiary Education,East,At least once per month,0.11916,110,968,0.09874,0.13958
1990,Second Stage of Tertiary Education,East,Seldom,0.18373,181,968,0.15932,0.20814
1990,Second Stage of Tertiary Education,East,Never,0.64882,630,968,0.61873,0.67890
1992,No answer / don't know,West,Never,0.93026,165,165,0.89127,0.96924
1992,Pre-primary Level,West,Never,0.91231,129,129,0.86331,0.96131
1992,Pre-primary Level,East,Never,0.98366,43,43,0.94532,1.02200
1992,Primary Level,West,Never,0.97966,588,588,0.96824,0.99108
