year,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.00864,103,10868,0.00690,0.01038
1985,At least once per month,0.01661,199,10868,0.01420,0.01901
1985,Seldom,0.04242,515,10868,0.03863,0.04621
1985,Never,0.75882,10051,10868,0.75078,0.76687
1986,At least once per week,0.00812,96,10456,0.00640,0.00984
1986,At least once per month,0.01544,169,10456,0.01308,0.01781
1986,Seldom,0.04283,501,10456,0.03895,0.04671
1986,Never,0.75990,9690,10456,0.75171,0.76808
1988,At least once per week,0.00612,69,9864,0.00458,0.00766
1988,At least once per month,0.01220,124,9864,0.01004,0.01437
1988,Seldom,0.04707,509,9864,0.04289,0.05125
1988,Never,0.75881,9162,9864,0.75036,0.76725
1990,At least once per week,0.01141,196,13707,0.00963,0.01319
1990,At least once per month,0.02542,438,13707,0.02279,0.02806
1990,Seldom,0.10143,1551,13707,0.09638,0.10649
1990,Never,0.67685,11522,13707,0.66902,0.68468
1992,At least once per week,0.00648,111,13100,0.00511,0.00785
1992,At least once per month,0.01600,232,13100,0.01385,0.01815
1992,Seldom,0.04715,732,13100,0.04352,0.05078
1992,Never,0.73750,12025,13100,0.72996,0.74503
1994,At least once per week,0.00647,106,12716,0.00508,0.00786
1994,At least once per month,0.01267,210,12716,0.01072,0.01461
1994,Seldom,0.05311,781,12716,0.04921,0.05701
1994,Never,0.73607,11619,12716,0.72841,0.74373
1995,At least once per week,0.00886,149,13183,0.00726,0.01046
1995,At least once per month,0.01642,237,13183,0.01425,0.01859
1995,Seldom,0.06910,1019,13183,0.06477,0.07343
1995,Never,0.71785,11778,13183,0.71017,0.72553
1996,At least once per week,0.00618,101,12970,0.00483,0.00752
1996,At least once per month,0.01234,187,12970,0.01044,0.01424
1996,Seldom,0.07056,990,12970,0.06615,0.07496
1996,Never,0.72531,11692,12970,0.71763,0.73299
1997,At least once per week,0.00672,93,12701,0.00530,0.00814
1997,At least once per month,0.01405,214,12701,0.01201,0.01610
1997,Seldom,0.05664,787,12701,0.05262,0.06066
1997,Never,0.73374,11607,12701,0.72605,0.74143
1998,At least once per week,0.00688,113,14147,0.00552,0.00824
1998,At least once per month,0.01370,246,14147,0.01178,0.01561
1998,Seldom,0.08281,1322,14147,0.07827,0.08736
1998,Never,0.71545,12466,14147,0.70801,0.72288
1999,At least once per week,0.00777,121,13556,0.00629,0.00924
1999,At least once per month,0.01301,223,13556,0.01111,0.01492
1999,Seldom,0.05974,974,13556,0.05575,0.06373
1999,Never,0.73691,12238,13556,0.72950,0.74433
2001,At least once per week,0.00725,192,21631,0.00612,0.00838
2001,At least once per month,0.01420,376,21631,0.01262,0.01578
2001,Seldom,0.05199,1388,21631,0.04904,0.05495
2001,Never,0.74229,19675,21631,0.73647,0.74812
2003,At least once per week,0.00795,254,22027,0.00678,0.00912
2003,At least once per month,0.01544,448,22027,0.01381,0.01706
2003,Seldom,0.07403,1996,22027,0.07058,0.07749
2003,Never,0.72938,19329,22027,0.72352,0.73525
2005,At least once per week,0.00796,232,20541,0.00674,0.00917
2005,At least once per month,0.01505,388,20541,0.01338,0.01671
2005,Seldom,0.05812,1497,20541,0.05492,0.06132
2005,Never,0.75129,18424,20541,0.74538,0.75720
2007,At least once per week,0.00717,201,20300,0.00601,0.00833
2007,At least once per month,0.01028,310,20300,0.00889,0.01166
2007,Seldom,0.04308,1169,20300,0.04029,0.04588
2007,Never,0.76204,18620,20300,0.75619,0.76790
2008,At least once per week,0.00655,192,19220,0.00541,0.00769
2008,At least once per month,0.01316,394,19220,0.01155,0.01477
2008,Seldom,0.06032,1485,19220,0.05695,0.06368
2008,Never,0.75479,17149,19220,0.74871,0.76087
2009,At least once per week,0.00565,150,17866,0.00455,0.00674
2009,At least once per month,0.01119,292,17866,0.00965,0.01273
2009,Seldom,0.05006,1100,17866,0.04686,0.05326
2009,Never,0.76659,16324,17866,0.76038,0.77279
2011,At least once per week,0.00805,286,28254,0.00701,0.00909
2011,At least once per month,0.01227,467,28254,0.01098,0.01355
2011,Seldom,0.05089,1683,28254,0.04832,0.05345
2011,Never,0.76069,25818,28254,0.75572,0.76567
2013,At least once per week,0.00860,296,25351,0.00746,0.00973
2013,At least once per month,0.01428,503,25351,0.01282,0.01574
2013,Seldom,0.06750,2133,25351,0.06442,0.07059
2013,Never,0.66736,22419,25351,0.66156,0.67316
2015,At least once per week,0.00817,237,26666,0.00709,0.00925
2015,At least once per month,0.01224,426,26666,0.01092,0.01356
2015,Seldom,0.04988,1600,26666,0.04726,0.05249
2015,Never,0.76898,24403,26666,0.76392,0.77404
2017,At least once per week,0.00976,286,26433,0.00857,0.01094
2017,At least once per month,0.01342,428,26433,0.01204,0.01481
2017,Seldom,0.04933,1547,26433,0.04672,0.05194
2017,Never,0.75615,24172,26433,0.75098,0.76133
2019,At least once per week,0.01122,452,25561,0.00993,0.01251
2019,At least once per month,0.01612,635,25561,0.01457,0.01766
2019,Seldom,0.07918,2569,25561,0.07587,0.08249
2019,Never,0.72010,21905,25561,0.71459,0.72560
