"pli0097_h","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Taeglich","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1985","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1985","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1985","Realschule","Staedtischer Raum","","","",""
"Taeglich","1985","Realschule","Laendlicher Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1985","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1985","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Staedtischer Raum","4","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Woche","1985","Hauptschule","Staedtischer Raum","30","0.0060363514538103","0.00384483252720828","0.00822787038041233"
"Min 1x pro Woche","1985","Hauptschule","Laendlicher Raum","6","","",""
"Min 1x pro Woche","1985","Realschule","Staedtischer Raum","13","","",""
"Min 1x pro Woche","1985","Realschule","Laendlicher Raum","9","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Staedtischer Raum","12","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Laendlicher Raum","5","","",""
"Min 1x pro Woche","1985","AkademikerIn","Staedtischer Raum","17","","",""
"Min 1x pro Woche","1985","AkademikerIn","Laendlicher Raum","6","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Staedtischer Raum","4","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Monat","1985","Hauptschule","Staedtischer Raum","65","0.0144392244425422","0.0110641266965906","0.0178143221884938"
"Min 1x pro Monat","1985","Hauptschule","Laendlicher Raum","29","","",""
"Min 1x pro Monat","1985","Realschule","Staedtischer Raum","27","","",""
"Min 1x pro Monat","1985","Realschule","Laendlicher Raum","11","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Staedtischer Raum","21","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Laendlicher Raum","2","","",""
"Min 1x pro Monat","1985","AkademikerIn","Staedtischer Raum","33","0.0512452703229274","0.0339861684670103","0.0685043721788446"
"Min 1x pro Monat","1985","AkademikerIn","Laendlicher Raum","6","","",""
"Seltener","1985","(noch) kein Abschluss","Staedtischer Raum","18","","",""
"Seltener","1985","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Seltener","1985","Hauptschule","Staedtischer Raum","134","0.0281687151452931","0.0234875746817568","0.0328498556088293"
"Seltener","1985","Hauptschule","Laendlicher Raum","63","0.0433028999776243","0.0331372898336296","0.053468510121619"
"Seltener","1985","Realschule","Staedtischer Raum","89","0.0639852425074142","0.0511152520082913","0.0768552330065371"
