"pli0097_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1985","17-34","Hauptschule","","","",""
"Taeglich","1985","17-34","Realschule","","","",""
"Taeglich","1985","17-34","(Fach-)Abitur","","","",""
"Taeglich","1985","17-34","AkademikerIn","","","",""
"Taeglich","1985","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1985","35-65","Hauptschule","","","",""
"Taeglich","1985","35-65","Realschule","","","",""
"Taeglich","1985","35-65","(Fach-)Abitur","","","",""
"Taeglich","1985","35-65","AkademikerIn","","","",""
"Taeglich","1985","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1985","66 +","Hauptschule","","","",""
"Taeglich","1985","66 +","Realschule","","","",""
"Taeglich","1985","66 +","(Fach-)Abitur","","","",""
"Taeglich","1985","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1985","17-34","(noch) kein Abschluss","2","","",""
"Min 1x pro Woche","1985","17-34","Hauptschule","4","0.00258167045199272","0.000296349621246855","0.00486699128273858"
"Min 1x pro Woche","1985","17-34","Realschule","7","0.0085005325670064","0.00271717928040328","0.0142838858536095"
"Min 1x pro Woche","1985","17-34","(Fach-)Abitur","11","","",""
"Min 1x pro Woche","1985","17-34","AkademikerIn","6","0.0280590927032711","0.00690000664768217","0.0492181787588601"
"Min 1x pro Woche","1985","35-65","(noch) kein Abschluss","2","","",""
"Min 1x pro Woche","1985","35-65","Hauptschule","27","","",""
"Min 1x pro Woche","1985","35-65","Realschule","14","","",""
"Min 1x pro Woche","1985","35-65","(Fach-)Abitur","6","0.0456431055495594","0.0180640270311998","0.0732221840679189"
"Min 1x pro Woche","1985","35-65","AkademikerIn","16","","",""
"Min 1x pro Woche","1985","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1985","66 +","Hauptschule","5","0.00472906518546559","1.55861501503936e-06","0.00945657175591613"
"Min 1x pro Woche","1985","66 +","Realschule","1","","",""
"Min 1x pro Woche","1985","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1985","66 +","AkademikerIn","1","","",""
"Min 1x pro Monat","1985","17-34","(noch) kein Abschluss","1","","",""
"Min 1x pro Monat","1985","17-34","Hauptschule","25","","",""
"Min 1x pro Monat","1985","17-34","Realschule","19","","",""
"Min 1x pro Monat","1985","17-34","(Fach-)Abitur","15","","",""
"Min 1x pro Monat","1985","17-34","AkademikerIn","10","","",""
"Min 1x pro Monat","1985","35-65","(noch) kein Abschluss","3","","",""
"Min 1x pro Monat","1985","35-65","Hauptschule","66","0.0203429193255363","0.0157543232109928","0.0249315154400798"
"Min 1x pro Monat","1985","35-65","Realschule","17","","",""
"Min 1x pro Monat","1985","35-65","(Fach-)Abitur","8","0.0526062177767379","0.0231063170211663","0.0821061185323094"
"Min 1x pro Monat","1985","35-65","AkademikerIn","28","","",""
"Min 1x pro Monat","1985","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1985","66 +","Hauptschule","3","","",""
"Min 1x pro Monat","1985","66 +","Realschule","2","","",""
"Min 1x pro Monat","1985","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1985","66 +","AkademikerIn","1","","",""
"Seltener","1985","17-34","(noch) kein Abschluss","15","","",""
"Seltener","1985","17-34","Hauptschule","55","0.0340311843952309","0.0258657707738321","0.0421965980166298"
"Seltener","1985","17-34","Realschule","71","0.0784502412776556","0.0615120532705979","0.0953884292847132"
"Seltener","1985","17-34","(Fach-)Abitur","65","0.14646935300467","0.115902588369785","0.177036117639554"
"Seltener","1985","17-34","AkademikerIn","27","","",""
"Seltener","1985","35-65","(noch) kein Abschluss","7","0.00843826917727098","0.00128417199887445","0.0155923663556675"
"Seltener","1985","35-65","Hauptschule","132","","",""
"Seltener","1985","35-65","Realschule","43","0.0597358059698867","0.0416959261602843","0.0777756857794891"
"Seltener","1985","35-65","(Fach-)Abitur","13","","",""
"Seltener","1985","35-65","AkademikerIn","63","0.146048459448199","0.113670081045842","0.178426837850556"
"Seltener","1985","66 +","(noch) kein Abschluss","","","",""
"Seltener","1985","66 +","Hauptschule","10","","",""
"Seltener","1985","66 +","Realschule","7","0.0480132059664765","0.0150911917098144","0.0809352202231386"
"Seltener","1985","66 +","(Fach-)Abitur","3","","",""
"Seltener","1985","66 +","AkademikerIn","","","",""
"Nie","1985","17-34","(noch) kein Abschluss","413","0.944624090390575","0.923031765761731","0.966216415019419"
"Nie","1985","17-34","Hauptschule","1810","","",""
"Nie","1985","17-34","Realschule","871","0.891904011439176","0.8723437678096","0.911464255068752"
"Nie","1985","17-34","(Fach-)Abitur","423","0.795914480481624","0.761072259551238","0.830756701412011"
"Nie","1985","17-34","AkademikerIn","191","","",""
"Nie","1985","35-65","(noch) kein Abschluss","616","0.968257091079964","0.954545527753834","0.981968654406094"
"Nie","1985","35-65","Hauptschule","3411","0.933709494369774","0.92562286186742","0.941796126872127"
"Nie","1985","35-65","Realschule","589","0.892421592783633","0.868836427903234","0.916006757664032"
"Nie","1985","35-65","(Fach-)Abitur","193","","",""
"Nie","1985","35-65","AkademikerIn","350","0.7581395426528","0.718879840511213","0.797399244794387"
"Nie","1985","66 +","(noch) kein Abschluss","17","","",""
"Nie","1985","66 +","Hauptschule","791","0.977995499394535","0.967886736347397","0.988104262441672"
"Nie","1985","66 +","Realschule","152","","",""
"Nie","1985","66 +","(Fach-)Abitur","37","0.922191833094866","0.839179747889911","1.00520391829982"
"Nie","1985","66 +","AkademikerIn","53","0.977715084228749","0.938704863960985","1.01672530449651"
"Taeglich","1986","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1986","17-34","Hauptschule","","","",""
"Taeglich","1986","17-34","Realschule","","","",""
"Taeglich","1986","17-34","(Fach-)Abitur","","","",""
"Taeglich","1986","17-34","AkademikerIn","","","",""
"Taeglich","1986","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1986","35-65","Hauptschule","","","",""
"Taeglich","1986","35-65","Realschule","","","",""
"Taeglich","1986","35-65","(Fach-)Abitur","","","",""
"Taeglich","1986","35-65","AkademikerIn","","","",""
"Taeglich","1986","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1986","66 +","Hauptschule","","","",""
"Taeglich","1986","66 +","Realschule","","","",""
"Taeglich","1986","66 +","(Fach-)Abitur","","","",""
"Taeglich","1986","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1986","17-34","(noch) kein Abschluss","3","","",""
"Min 1x pro Woche","1986","17-34","Hauptschule","5","0.00173603631260043","-0.000170767529352248","0.0036428401545531"
"Min 1x pro Woche","1986","17-34","Realschule","3","","",""
"Min 1x pro Woche","1986","17-34","(Fach-)Abitur","7","0.0123333343626737","0.00311785899656955","0.0215488097287779"
"Min 1x pro Woche","1986","17-34","AkademikerIn","3","","",""
"Min 1x pro Woche","1986","35-65","(noch) kein Abschluss","1","","",""
"Min 1x pro Woche","1986","35-65","Hauptschule","33","0.00976231779980991","0.00647384585755754","0.0130507897420623"
"Min 1x pro Woche","1986","35-65","Realschule","9","0.0136309401491903","0.00471691123144334","0.0225449690669372"
"Min 1x pro Woche","1986","35-65","(Fach-)Abitur","7","0.0469405336928995","0.0184013941763997","0.0754796732093993"
"Min 1x pro Woche","1986","35-65","AkademikerIn","18","","",""
"Min 1x pro Woche","1986","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1986","66 +","Hauptschule","7","0.00829810953366242","0.00174436760312712","0.0148518514641977"
"Min 1x pro Woche","1986","66 +","Realschule","","","",""
"Min 1x pro Woche","1986","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1986","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1986","17-34","(noch) kein Abschluss","4","0.0132062161533935","0.00222307801592088","0.0241893542908662"
"Min 1x pro Monat","1986","17-34","Hauptschule","21","","",""
"Min 1x pro Monat","1986","17-34","Realschule","11","","",""
"Min 1x pro Monat","1986","17-34","(Fach-)Abitur","20","","",""
"Min 1x pro Monat","1986","17-34","AkademikerIn","5","0.0156143328390499","-0.000549272154684166","0.031777937832784"
"Min 1x pro Monat","1986","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1986","35-65","Hauptschule","66","0.0217535401922548","0.0168744700647053","0.0266326103198044"
"Min 1x pro Monat","1986","35-65","Realschule","9","0.012676007312066","0.00407572913808246","0.0212762854860496"
"Min 1x pro Monat","1986","35-65","(Fach-)Abitur","6","0.0341289839986794","0.00963112615446734","0.0586268418428915"
"Min 1x pro Monat","1986","35-65","AkademikerIn","19","","",""
"Min 1x pro Monat","1986","66 +","(noch) kein Abschluss","1","","",""
"Min 1x pro Monat","1986","66 +","Hauptschule","5","0.00804657568175697","0.00159210883297682","0.0145010425305371"
"Min 1x pro Monat","1986","66 +","Realschule","1","","",""
"Min 1x pro Monat","1986","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1986","66 +","AkademikerIn","","","",""
"Seltener","1986","17-34","(noch) kein Abschluss","11","","",""
"Seltener","1986","17-34","Hauptschule","61","0.0378194605979484","0.0290819066847133","0.0465570145111835"
"Seltener","1986","17-34","Realschule","67","0.0739634772550936","0.0573388339918347","0.0905881205183525"
"Seltener","1986","17-34","(Fach-)Abitur","59","0.130188136317284","0.102090443511081","0.158285829123488"
"Seltener","1986","17-34","AkademikerIn","22","","",""
"Seltener","1986","35-65","(noch) kein Abschluss","5","0.00918306460253185","0.00141345245926522","0.0169526767457985"
"Seltener","1986","35-65","Hauptschule","130","","",""
"Seltener","1986","35-65","Realschule","44","0.0654792287609984","0.0464624186561346","0.0844960388658622"
"Seltener","1986","35-65","(Fach-)Abitur","15","","",""
"Seltener","1986","35-65","AkademikerIn","72","0.157585921377137","0.124362173758893","0.190809668995381"
"Seltener","1986","66 +","(noch) kein Abschluss","","","",""
"Seltener","1986","66 +","Hauptschule","8","0.010538317722667","0.00316107083015801","0.017915564615176"
"Seltener","1986","66 +","Realschule","3","","",""
"Seltener","1986","66 +","(Fach-)Abitur","","","",""
"Seltener","1986","66 +","AkademikerIn","","","",""
"Nie","1986","17-34","(noch) kein Abschluss","397","0.959853659576741","0.940967244219079","0.978740074934403"
"Nie","1986","17-34","Hauptschule","1744","","",""
"Nie","1986","17-34","Realschule","871","0.908443048630348","0.890123105064913","0.926762992195784"
"Nie","1986","17-34","(Fach-)Abitur","465","0.811676004589479","0.779031019475335","0.844320989703622"
"Nie","1986","17-34","AkademikerIn","196","","",""
