year,quintil_oecd,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Seldom,0.03994,76,2178,0.03172,0.04817
1985,1st Quintile,Never,0.93847,2102,2178,0.92837,0.94856
1985,2nd Quintile,Seldom,0.04001,78,2082,0.03159,0.04843
1985,2nd Quintile,Never,0.93794,2004,2082,0.92758,0.94831
1985,3rd Quintile,At least once per month,0.01879,35,2157,0.01306,0.02452
1985,3rd Quintile,Seldom,0.05397,109,2157,0.04443,0.06351
1985,3rd Quintile,Never,0.91976,2013,2157,0.90829,0.93123
1985,4th Quintile,At least once per month,0.02293,47,2167,0.01662,0.02923
1985,4th Quintile,Seldom,0.05689,115,2167,0.04714,0.06665
1985,4th Quintile,Never,0.91018,2005,2167,0.89814,0.92222
1985,5th Quintile,At least once per week,0.01889,39,2156,0.01314,0.02463
1985,5th Quintile,At least once per month,0.02823,60,2156,0.02123,0.03522
1985,5th Quintile,Seldom,0.06338,137,2156,0.05309,0.07366
1985,5th Quintile,Never,0.88951,1920,2156,0.87628,0.90275
1986,1st Quintile,Seldom,0.03738,73,2022,0.02911,0.04565
1986,1st Quintile,Never,0.94327,1949,2022,0.93319,0.95336
1986,2nd Quintile,Seldom,0.03286,70,2031,0.02510,0.04061
1986,2nd Quintile,Never,0.94665,1961,2031,0.93687,0.95642
1986,3rd Quintile,At least once per month,0.02302,41,2052,0.01653,0.02951
1986,3rd Quintile,Seldom,0.05016,93,2052,0.04071,0.05961
1986,3rd Quintile,Never,0.91631,1918,2052,0.90432,0.92829
1986,4th Quintile,At least once per month,0.01548,34,2174,0.01029,0.02067
1986,4th Quintile,Seldom,0.05384,113,2174,0.04435,0.06333
1986,4th Quintile,Never,0.91988,2027,2174,0.90847,0.93130
1986,5th Quintile,At least once per month,0.02609,50,2031,0.01915,0.03302
1986,5th Quintile,Seldom,0.08081,152,2031,0.06895,0.09266
1986,5th Quintile,Never,0.87801,1829,2031,0.86377,0.89225
1988,1st Quintile,Seldom,0.03578,58,1930,0.02749,0.04407
1988,1st Quintile,Never,0.95129,1872,1930,0.94168,0.96089
1988,2nd Quintile,Seldom,0.04605,83,1936,0.03671,0.05539
1988,2nd Quintile,Never,0.93701,1853,1936,0.92618,0.94783
1988,3rd Quintile,Seldom,0.05228,99,1944,0.04238,0.06218
1988,3rd Quintile,Never,0.93146,1845,1944,0.92023,0.94270
1988,4th Quintile,Seldom,0.06852,124,2005,0.05746,0.07959
1988,4th Quintile,Never,0.90952,1881,2005,0.89696,0.92208
1988,5th Quintile,At least once per month,0.02722,47,1901,0.01990,0.03454
1988,5th Quintile,Seldom,0.07842,145,1901,0.06633,0.09051
1988,5th Quintile,Never,0.88110,1709,1901,0.86655,0.89566
1990,1st Quintile,At least once per month,0.01952,31,1882,0.01327,0.02577
1990,1st Quintile,Seldom,0.08958,139,1882,0.07667,0.10248
1990,1st Quintile,Never,0.88469,1712,1882,0.87026,0.89912
1990,2nd Quintile,Seldom,0.11240,198,1827,0.09791,0.12688
