year,sampreg,pli0097_h,proportion,n,lower_confidence,upper_confidence
1985,Westdeutschland,Nie,0.9236281350179144,14443,0.9192965919127858,0.927959678123043
1985,Westdeutschland,Seltener,0.04799170280973034,14443,0.044505675281877106,0.05147773033758358
1985,Westdeutschland,Min 1x pro Monat,0.018762964359796342,14443,0.01655004769960972,0.020975881019982965
1985,Westdeutschland,Min 1x pro Woche,0.009617197812558929,14443,0.008025527245753797,0.011208868379364061
1986,Westdeutschland,Nie,0.9254609650843468,13742,0.9210695748201405,0.9298523553485532
1986,Westdeutschland,Seltener,0.04864652805021577,13742,0.04504963124728494,0.0522434248531466
1986,Westdeutschland,Min 1x pro Monat,0.016575127500980776,13742,0.014440460521179433,0.018709794480782117
1986,Westdeutschland,Min 1x pro Woche,0.00931737936445665,13742,0.0077110105634414115,0.010923748165471888
1988,Westdeutschland,Nie,0.9282088469905729,12817,0.9237397354378498,0.932677958543296
1988,Westdeutschland,Seltener,0.051900963431057705,12817,0.04806055475934051,0.0557413721027749
1988,Westdeutschland,Min 1x pro Monat,0.012742152698642909,12817,0.010800374686359724,0.014683930710926094
1988,Westdeutschland,Min 1x pro Woche,0.0071480368797265095,12817,0.005689563452389437,0.008606510307063582
1990,Westdeutschland,Nie,0.5812175204157387,18165,0.5740428497466301,0.5883921910848473
1990,Ostdeutschland,Nie,0.25760950259836674,18165,0.2512498189648882,0.2639691862318453
1990,Westdeutschland,Seltener,0.08210838901262064,18165,0.0781160461062099,0.08610073191903139
1990,Ostdeutschland,Seltener,0.03236822568671121,18165,0.02979455558431406,0.034941895789108356
1990,Ostdeutschland,Min 1x pro Monat,0.016555308092056423,18165,0.014699718302153289,0.018410897881959556
1990,Westdeutschland,Min 1x pro Monat,0.015664439495174463,18165,0.01385864889723431,0.017470230093114616
1990,Westdeutschland,Min 1x pro Woche,0.0077951002227171495,18165,0.006516161002856013,0.009074039442578286
1990,Ostdeutschland,Min 1x pro Woche,0.0066815144766146995,18165,0.005496782566858921,0.007866246386370478
1992,Westdeutschland,Nie,0.648036019251669,17350,0.6409295314473678,0.6551425070559702
