year,sampreg,sex,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,male,At least once per week,0.01678,81,5339,0.01333,0.02022
1985,West,male,At least once per month,0.02791,129,5339,0.02349,0.03233
1985,West,male,Seldom,0.06801,324,5339,0.06126,0.07477
1985,West,male,Never,0.88730,4805,5339,0.87882,0.89579
1985,West,female,At least once per month,0.01315,70,5507,0.01014,0.01616
1985,West,female,Seldom,0.03650,191,5507,0.03154,0.04145
1985,West,female,Never,0.94552,5246,5507,0.93952,0.95151
1986,West,male,At least once per week,0.01614,77,5172,0.01271,0.01958
1986,West,male,At least once per month,0.02676,113,5172,0.02236,0.03116
1986,West,male,Seldom,0.06894,311,5172,0.06203,0.07585
1986,West,male,Never,0.88816,4671,5172,0.87957,0.89675
1986,West,female,At least once per month,0.01142,56,5265,0.00855,0.01429
1986,West,female,Seldom,0.03644,190,5265,0.03137,0.04150
1986,West,female,Never,0.94799,5019,5265,0.94199,0.95399
1988,West,male,At least once per week,0.01247,56,4878,0.00936,0.01558
1988,West,male,At least once per month,0.02241,91,4878,0.01825,0.02656
1988,West,male,Seldom,0.07947,336,4878,0.07188,0.08706
1988,West,male,Never,0.88565,4395,4878,0.87672,0.89458
1988,West,female,At least once per month,0.00788,33,4973,0.00543,0.01034
1988,West,female,Seldom,0.03676,173,4973,0.03153,0.04199
1988,West,female,Never,0.95251,4767,4973,0.94660,0.95842
1990,West,male,At least once per week,0.01831,76,4645,0.01446,0.02217
1990,West,male,At least once per month,0.03677,142,4645,0.03136,0.04219
1990,West,male,Seldom,0.16349,649,4645,0.15286,0.17413
1990,West,male,Never,0.78142,3778,4645,0.76954,0.79331
1990,West,female,At least once per month,0.01696,71,4745,0.01329,0.02063
1990,West,female,Seldom,0.10278,462,4745,0.09414,0.11142
1990,West,female,Never,0.87274,4212,4745,0.86325,0.88222
1990,East,male,At least once per week,0.02920,63,2051,0.02191,0.03649
1990,East,male,At least once per month,0.06588,135,2051,0.05515,0.07662
1990,East,male,Seldom,0.10747,243,2051,0.09406,0.12087
1990,East,male,Never,0.79745,1610,2051,0.78005,0.81485
1990,East,female,At least once per month,0.03757,90,2209,0.02964,0.04551
1990,East,female,Seldom,0.08039,197,2209,0.06904,0.09173
1990,East,female,Never,0.87141,1922,2209,0.85744,0.88537
1992,West,male,At least once per week,0.01222,52,4512,0.00901,0.01543
1992,West,male,At least once per month,0.02353,85,4512,0.01911,0.02796
1992,West,male,Seldom,0.07595,309,4512,0.06822,0.08368
1992,West,male,Never,0.88830,4066,4512,0.87911,0.89749
1992,West,female,At least once per month,0.01448,51,4657,0.01105,0.01791
1992,West,female,Seldom,0.04401,184,4657,0.03812,0.04990
1992,West,female,Never,0.93854,4422,4657,0.93164,0.94544
1992,East,male,At least once per week,0.01666,36,1863,0.01084,0.02247
1992,East,male,At least once per month,0.02886,55,1863,0.02126,0.03647
1992,East,male,Seldom,0.06287,131,1863,0.05184,0.07389
1992,East,male,Never,0.89161,1641,1863,0.87749,0.90573
1992,East,female,At least once per month,0.01884,41,2045,0.01294,0.02473
1992,East,female,Seldom,0.04649,108,2045,0.03736,0.05562
1992,East,female,Never,0.93013,1896,2045,0.91908,0.94118
1994,West,male,At least once per week,0.01219,54,4367,0.00894,0.01545
1994,West,male,At least once per month,0.01629,74,4367,0.01253,0.02004
1994,West,male,Seldom,0.09213,358,4367,0.08355,0.10070
1994,West,male,Never,0.87939,3881,4367,0.86973,0.88905
1994,West,female,At least once per month,0.01152,50,4603,0.00844,0.01460
1994,West,female,Seldom,0.04854,225,4603,0.04233,0.05475
1994,West,female,Never,0.93645,4328,4603,0.92940,0.94350
1994,East,male,At least once per month,0.03003,51,1742,0.02201,0.03804
1994,East,male,Seldom,0.06327,115,1742,0.05183,0.07470
1994,East,male,Never,0.89211,1576,1742,0.87754,0.90669
1994,East,female,At least once per month,0.01672,35,1952,0.01103,0.02241
1994,East,female,Seldom,0.03834,83,1952,0.02982,0.04686
1994,East,female,Never,0.94057,1834,1952,0.93007,0.95106
1995,West,male,At least once per week,0.01602,74,4627,0.01240,0.01964
1995,West,male,At least once per month,0.02813,105,4627,0.02337,0.03290
1995,West,male,Seldom,0.10853,446,4627,0.09957,0.11750
1995,West,male,Never,0.84731,4002,4627,0.83695,0.85768
1995,West,female,At least once per month,0.01139,45,4861,0.00841,0.01438
1995,West,female,Seldom,0.06925,286,4861,0.06211,0.07639
1995,West,female,Never,0.91384,4530,4861,0.90595,0.92173
1995,East,male,At least once per week,0.01977,36,1741,0.01323,0.02631
1995,East,male,At least once per month,0.02678,48,1741,0.01919,0.03436
1995,East,male,Seldom,0.08484,151,1741,0.07175,0.09793
1995,East,male,Never,0.86861,1506,1741,0.85274,0.88448
1995,East,female,At least once per month,0.02022,39,1915,0.01391,0.02652
1995,East,female,Seldom,0.06047,136,1915,0.04979,0.07115
1995,East,female,Never,0.91403,1740,1915,0.90147,0.92659
1996,West,male,At least once per week,0.01090,51,4517,0.00787,0.01392
1996,West,male,At least once per month,0.01990,74,4517,0.01583,0.02398
1996,West,male,Seldom,0.11559,434,4517,0.10627,0.12492
1996,West,male,Never,0.85361,3958,4517,0.84330,0.86392
1996,West,female,At least once per month,0.00858,42,4770,0.00596,0.01120
1996,West,female,Seldom,0.06669,286,4770,0.05961,0.07377
1996,West,female,Never,0.92084,4442,4770,0.91318,0.92851
1996,East,male,At least once per month,0.02557,42,1721,0.01811,0.03303
1996,East,male,Seldom,0.08948,160,1721,0.07599,0.10297
1996,East,male,Never,0.87214,1519,1721,0.85636,0.88792
1996,East,female,Seldom,0.05420,110,1883,0.04397,0.06443
1996,East,female,Never,0.92601,1773,1883,0.91418,0.93784
1997,West,male,At least once per week,0.01314,51,4427,0.00979,0.01650
1997,West,male,At least once per month,0.02283,89,4427,0.01843,0.02723
1997,West,male,Seldom,0.08641,333,4427,0.07813,0.09469
1997,West,male,Never,0.87761,3954,4427,0.86796,0.88727
1997,West,female,At least once per month,0.01030,49,4660,0.00740,0.01320
1997,West,female,Seldom,0.06179,251,4660,0.05487,0.06870
1997,West,female,Never,0.92328,4360,4660,0.91564,0.93092
1997,East,male,At least once per month,0.02796,48,1713,0.02015,0.03577
1997,East,male,Seldom,0.06151,110,1713,0.05013,0.07289
1997,East,male,Never,0.89955,1555,1713,0.88531,0.91379
1997,East,female,Seldom,0.04588,93,1831,0.03629,0.05546
1997,East,female,Never,0.93689,1738,1831,0.92575,0.94804
1998,West,male,At least once per week,0.01548,74,4989,0.01205,0.01890
1998,West,male,At least once per month,0.02044,100,4989,0.01651,0.02437
1998,West,male,Seldom,0.12392,548,4989,0.11478,0.13307
1998,West,male,Never,0.84016,4267,4989,0.82999,0.85033
1998,West,female,At least once per month,0.01039,60,5295,0.00766,0.01312
1998,West,female,Seldom,0.08724,428,5295,0.07964,0.09484
1998,West,female,Never,0.89946,4807,5295,0.89136,0.90756
1998,East,male,At least once per month,0.02653,47,1842,0.01919,0.03387
1998,East,male,Seldom,0.09746,186,1842,0.08391,0.11101
1998,East,male,Never,0.86574,1609,1842,0.85016,0.88131
1998,East,female,At least once per month,0.01950,39,1982,0.01341,0.02559
1998,East,female,Seldom,0.07321,160,1982,0.06174,0.08468
1998,East,female,Never,0.90548,1783,1982,0.89259,0.91836
1999,West,male,At least once per week,0.01599,72,4761,0.01242,0.01955
1999,West,male,At least once per month,0.01919,92,4761,0.01530,0.02309
1999,West,male,Seldom,0.09417,411,4761,0.08587,0.10247
1999,West,male,Never,0.87065,4186,4761,0.86112,0.88018
1999,West,female,At least once per month,0.01144,61,5028,0.00850,0.01437
1999,West,female,Seldom,0.05778,304,5028,0.05133,0.06423
1999,West,female,Never,0.92685,4663,5028,0.91966,0.93405
1999,East,male,At least once per month,0.02347,44,1782,0.01644,0.03051
1999,East,male,Seldom,0.06774,134,1782,0.05607,0.07941
1999,East,male,Never,0.89583,1604,1782,0.88164,0.91002
1999,East,female,Seldom,0.05825,125,1910,0.04774,0.06876
1999,East,female,Never,0.92333,1785,1910,0.91139,0.93526
2001,West,male,At least once per week,0.01419,117,7795,0.01156,0.01681
2001,West,male,At least once per month,0.02162,166,7795,0.01839,0.02485
2001,West,male,Seldom,0.07727,594,7795,0.07134,0.08320
2001,West,male,Never,0.88693,6918,7795,0.87990,0.89396
2001,West,female,At least once per week,0.00451,38,8448,0.00308,0.00594
2001,West,female,At least once per month,0.01102,93,8448,0.00880,0.01325
2001,West,female,Seldom,0.05497,472,8448,0.05011,0.05983
2001,West,female,Never,0.92949,7845,8448,0.92403,0.93495
2001,East,male,At least once per week,0.01285,31,2600,0.00852,0.01718
2001,East,male,At least once per month,0.02838,71,2600,0.02199,0.03476
2001,East,male,Seldom,0.06098,176,2600,0.05178,0.07018
2001,East,male,Never,0.89779,2322,2600,0.88614,0.90943
2001,East,female,At least once per month,0.01724,46,2782,0.01241,0.02208
2001,East,female,Seldom,0.04931,146,2782,0.04126,0.05735
2001,East,female,Never,0.93102,2590,2782,0.92160,0.94044
2003,West,male,At least once per week,0.01412,134,8036,0.01154,0.01670
2003,West,male,At least once per month,0.02572,221,8036,0.02226,0.02918
2003,West,male,Seldom,0.10846,865,8036,0.10166,0.11526
2003,West,male,Never,0.85170,6816,8036,0.84393,0.85947
2003,West,female,At least once per week,0.00552,66,8668,0.00396,0.00708
2003,West,female,At least once per month,0.01179,113,8668,0.00952,0.01406
2003,West,female,Seldom,0.07648,690,8668,0.07089,0.08208
2003,West,female,Never,0.90621,7799,8668,0.90007,0.91234
2003,East,male,At least once per week,0.01481,39,2569,0.01014,0.01948
2003,East,male,At least once per month,0.02484,73,2569,0.01882,0.03086
2003,East,male,Seldom,0.09269,252,2569,0.08147,0.10390
2003,East,male,Never,0.86766,2205,2569,0.85455,0.88077
2003,East,female,At least once per month,0.01380,41,2739,0.00943,0.01817
2003,East,female,Seldom,0.06598,189,2739,0.05668,0.07527
2003,East,female,Never,0.91626,2509,2739,0.90588,0.92664
2005,West,male,At least once per week,0.01556,135,7428,0.01275,0.01838
2005,West,male,At least once per month,0.02478,185,7428,0.02125,0.02832
2005,West,male,Seldom,0.07929,608,7428,0.07315,0.08544
2005,West,male,Never,0.88036,6500,7428,0.87298,0.88774
2005,West,female,At least once per week,0.00515,57,8109,0.00360,0.00671
2005,West,female,At least once per month,0.01160,106,8109,0.00927,0.01393
2005,West,female,Seldom,0.06377,519,8109,0.05846,0.06909
2005,West,female,Never,0.91947,7427,8109,0.91355,0.92540
2005,East,male,At least once per month,0.02287,56,2380,0.01686,0.02888
2005,East,male,Seldom,0.07682,213,2380,0.06612,0.08753
2005,East,male,Never,0.88961,2111,2380,0.87702,0.90220
2005,East,female,At least once per month,0.01411,41,2584,0.00956,0.01866
2005,East,female,Seldom,0.05023,157,2584,0.04181,0.05866
2005,East,female,Never,0.93272,2386,2584,0.92306,0.94238
2007,West,male,At least once per week,0.01308,111,7284,0.01047,0.01569
