year,pgisced97,quintil_oecd,pli0097_h,proportion,n,lower_confidence,upper_confidence
1985,middle vocational,1. Quintil,Nie,0.23859415182398325,14443,0.23164286246565438,0.2455454411823121
1985,general elemantary,1. Quintil,Nie,0.18306505381464902,14443,0.1767580393543348,0.18937206827496325
1985,middle vocational,2. Quintil,Nie,0.1258215068101724,14443,0.12041265770830462,0.1312303559120402
1985,middle vocational,3. Quintil,Nie,0.05771978283646061,14443,0.05391631501241278,0.06152325066050845
1985,general elemantary,2. Quintil,Nie,0.05629107534050862,14443,0.05253212862551717,0.060050022055500064
1985,inadequately,1. Quintil,Nie,0.05600533384131822,14443,0.05225537214988735,0.059755295532749095
1985,middle vocational,4. Quintil,Nie,0.01904943327935994,14443,0.016820012950433033,0.021278853608286845
1985,higher vocational,1. Quintil,Nie,0.01809696161539194,14443,0.015922936783629823,0.020270986447154058
1985,general elemantary,3. Quintil,Nie,0.017811220116201544,14443,0.015654113129607985,0.019968327102795103
1985,higher vocational,2. Quintil,Nie,0.017620725783407943,14443,0.015474977085046405,0.01976647448176948
1985,higher education,2. Quintil,Nie,0.016477759786646347,14443,0.0144015628690729,0.018553956704219794
1985,inadequately,2. Quintil,Nie,0.015049052290694353,14443,0.01306346381945795,0.017034640761930755
1985,higher education,1. Quintil,Nie,0.013715591961139155,14443,0.011818729999082267,0.015612453923196044
1985,higher education,3. Quintil,Nie,0.013525097628345556,14443,0.011641272479734918,0.015408922776956194
1985,middle vocational,1. Quintil,Seltener,0.011143918468425565,14443,0.009431882545097973,0.012855954391753157
1985,vocational + Abi,1. Quintil,Nie,0.010572435470044767,14443,0.008904393822450524,0.01224047711763901
1985,higher education,4. Quintil,Nie,0.008953233641299171,14443,0.007416974786620848,0.010489492495977495
1985,higher vocational,3. Quintil,Nie,0.008762739308505572,14443,0.007242765442181568,0.010282713174829577
1985,middle vocational,2. Quintil,Seltener,0.008286503476521573,14443,0.006808055197637662,0.009764951755405484
1985,middle vocational,5. Quintil,Nie,0.006857795980569578,14443,0.00551185701915581,0.008203734941983346
1985,vocational + Abi,2. Quintil,Nie,0.00628631298218878,14443,0.004997303828388277,0.007575322135989282
1985,higher vocational,4. Quintil,Nie,0.004952852652633584,14443,0.0038079280199356884,0.006097777285331479
1985,middle vocational,1. Quintil,Min 1x pro Monat,0.004571863987046385,14443,0.0034716454128169904,0.00567208256127578
1985,general elemantary,4. Quintil,Nie,0.004476616820649586,14443,0.0033878670926740183,0.005565366548625153
