,Unnamed: 0,year,pgisced97,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Pre-primary Level,Never,1.0,174,10617,0.93306,1.0545
1,1,1985,Primary Level,Never,1.0,809,10617,0.90954,1.09699
2,2,1985,Lower Secondary Level,At least once per month,0.01068,31,10617,0.00895,0.01243
3,3,1985,Lower Secondary Level,Seldom,0.02785,76,10617,0.02524,0.03065
4,4,1985,Lower Secondary Level,Never,0.96147,2894,10617,0.94169,0.98311
5,5,1985,Upper Secondary Level,At least once per week,0.00814,42,10617,0.00733,0.00918
6,6,1985,Upper Secondary Level,At least once per month,0.01999,96,10617,0.01878,0.02116
7,7,1985,Upper Secondary Level,Seldom,0.0504,256,10617,0.04833,0.05285
8,8,1985,Upper Secondary Level,Never,0.92147,4713,10617,0.90955,0.93353
9,9,1985,Post-secondary Non-tertiary Level,Never,1.0,225,10617,0.90904,1.08371
10,10,1985,First Stage of Tertiary Education,Seldom,0.07905,45,10617,0.07132,0.08796
11,11,1985,First Stage of Tertiary Education,Never,0.92095,533,10617,0.89837,0.94466
12,12,1985,Second Stage of Tertiary Education,At least once per month,0.05276,39,10617,0.04913,0.05695
13,13,1985,Second Stage of Tertiary Education,Seldom,0.12437,90,10617,0.11551,0.13285
14,14,1985,Second Stage of Tertiary Education,Never,0.82287,594,10617,0.79643,0.8469
15,15,1986,Pre-primary Level,Never,1.0,177,10219,0.9094,1.08705
16,16,1986,Primary Level,Never,1.0,758,10219,0.90897,1.08558
17,17,1986,Lower Secondary Level,At least once per month,0.01502,32,10219,0.01272,0.01779
18,18,1986,Lower Secondary Level,Seldom,0.02806,82,10219,0.02492,0.0309
19,19,1986,Lower Secondary Level,Never,0.95692,2746,10219,0.93677,0.98249
20,20,1986,Upper Secondary Level,At least once per week,0.01007,49,10219,0.00882,0.01116
21,21,1986,Upper Secondary Level,At least once per month,0.01897,88,10219,0.01728,0.02039
22,22,1986,Upper Secondary Level,Seldom,0.04939,234,10219,0.04698,0.05208
23,23,1986,Upper Secondary Level,Never,0.92157,4564,10219,0.90901,0.93532
24,24,1986,Post-secondary Non-tertiary Level,Never,1.0,241,10219,0.92302,1.08735
25,25,1986,First Stage of Tertiary Education,Seldom,0.09513,57,10219,0.08766,0.10463
26,26,1986,First Stage of Tertiary Education,Never,0.90487,495,10219,0.87421,0.92931
27,27,1986,Second Stage of Tertiary Education,Seldom,0.1367,94,10219,0.12685,0.14847
28,28,1986,Second Stage of Tertiary Education,Never,0.8633,602,10219,0.83108,0.89249
29,29,1988,Pre-primary Level,Never,1.0,153,9588,0.90813,1.09597
30,30,1988,Primary Level,Never,1.0,674,9588,0.91985,1.08247
31,31,1988,Lower Secondary Level,Seldom,0.02663,67,9588,0.02357,0.03008
32,32,1988,Lower Secondary Level,Never,0.97337,2602,9588,0.94603,1.00189
33,33,1988,Upper Secondary Level,At least once per week,0.0073,36,9588,0.00612,0.00838
34,34,1988,Upper Secondary Level,At least once per month,0.01405,61,9588,0.01281,0.01579
35,35,1988,Upper Secondary Level,Seldom,0.05565,241,9588,0.05259,0.05829
36,36,1988,Upper Secondary Level,Never,0.923,4343,9588,0.90811,0.93766
37,37,1988,Post-secondary Non-tertiary Level,Never,1.0,240,9588,0.89763,1.07617
38,38,1988,First Stage of Tertiary Education,Seldom,0.09069,48,9588,0.08392,0.09748
39,39,1988,First Stage of Tertiary Education,Never,0.90931,465,9588,0.87764,0.94921
40,40,1988,Second Stage of Tertiary Education,Seldom,0.16541,112,9588,0.15385,0.17882
41,41,1988,Second Stage of Tertiary Education,Never,0.83459,546,9588,0.7963,0.87448
42,42,1990,Pre-primary Level,Never,1.0,178,13426,0.91006,1.08713
43,43,1990,Primary Level,Never,1.0,608,13426,0.92299,1.09192
44,44,1990,Lower Secondary Level,At least once per month,0.01627,46,13426,0.01415,0.01844
45,45,1990,Lower Secondary Level,Seldom,0.07569,198,13426,0.06965,0.08182
46,46,1990,Lower Secondary Level,Never,0.90803,2692,13426,0.88494,0.92936
47,47,1990,Upper Secondary Level,At least once per week,0.01334,85,13426,0.01173,0.01533
48,48,1990,Upper Secondary Level,At least once per month,0.02697,199,13426,0.02509,0.0289
49,49,1990,Upper Secondary Level,Seldom,0.12394,778,13426,0.11917,0.12866
50,50,1990,Upper Secondary Level,Never,0.83576,5909,13426,0.82314,0.84986
51,51,1990,Post-secondary Non-tertiary Level,Seldom,0.15044,52,13426,0.12312,0.17505
52,52,1990,Post-secondary Non-tertiary Level,Never,0.84956,302,13426,0.78914,0.9062
53,53,1990,First Stage of Tertiary Education,Seldom,0.16368,122,13426,0.14868,0.17943
54,54,1990,First Stage of Tertiary Education,Never,0.83632,594,13426,0.80217,0.8648
55,55,1990,Second Stage of Tertiary Education,At least once per week,0.04015,69,13426,0.03318,0.04785
56,56,1990,Second Stage of Tertiary Education,At least once per month,0.08726,149,13426,0.07713,0.09753
57,57,1990,Second Stage of Tertiary Education,Seldom,0.22329,350,13426,0.20876,0.2418
