,Unnamed: 0,year,bula_h,sampreg,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,West,Never,1.0,310,10618,0.95725,1.03783
1,1,1985,Hamburg,West,Never,1.0,259,10618,0.92218,1.05499
2,2,1985,Lower Saxony,West,Seldom,0.05051,51,10618,0.04599,0.05542
3,3,1985,Lower Saxony,West,Never,0.94949,999,10618,0.92489,0.973
4,4,1985,Bremen,West,Never,1.0,107,10618,0.89251,1.09277
5,5,1985,North Rhine-Westphalia,West,At least once per month,0.02036,54,10618,0.01819,0.02242
6,6,1985,North Rhine-Westphalia,West,Seldom,0.05832,161,10618,0.05476,0.06239
7,7,1985,North Rhine-Westphalia,West,Never,0.92132,2695,10618,0.89778,0.93652
8,8,1985,Hesse,West,Seldom,0.05626,52,10618,0.05197,0.0621
9,9,1985,Hesse,West,Never,0.94374,1026,10618,0.90572,0.98649
10,10,1985,"Rhineland-Palatinate, Saarland",West,Seldom,0.06178,39,10618,0.05639,0.06608
11,11,1985,"Rhineland-Palatinate, Saarland",West,Never,0.93822,689,10618,0.90626,0.97032
12,12,1985,Baden-Wuerttemberg,West,Seldom,0.0404,71,10618,0.03637,0.04457
13,13,1985,Baden-Wuerttemberg,West,Never,0.9596,1921,10618,0.92634,0.98979
14,14,1985,Bavaria,West,At least once per month,0.02384,45,10618,0.02125,0.02644
15,15,1985,Bavaria,West,Seldom,0.05324,94,10618,0.04926,0.05703
16,16,1985,Bavaria,West,Never,0.92292,1709,10618,0.90021,0.94308
17,17,1985,Berlin,West,Never,1.0,336,10618,0.93412,1.0683
18,18,1986,Schleswig-Holstein,West,Never,1.0,290,10220,0.94669,1.05108
19,19,1986,Hamburg,West,Never,1.0,234,10220,0.92693,1.09111
20,20,1986,Lower Saxony,West,Seldom,0.04611,49,10220,0.04223,0.05231
21,21,1986,Lower Saxony,West,Never,0.95389,1019,10220,0.92607,0.9832
22,22,1986,Bremen,West,Never,1.0,104,10220,0.89056,1.10035
23,23,1986,North Rhine-Westphalia,West,At least once per month,0.01674,44,10220,0.01423,0.01897
24,24,1986,North Rhine-Westphalia,West,Seldom,0.06042,152,10220,0.05612,0.06531
25,25,1986,North Rhine-Westphalia,West,Never,0.92284,2616,10220,0.90012,0.94462
26,26,1986,Hesse,West,Seldom,0.05535,49,10220,0.04942,0.06206
27,27,1986,Hesse,West,Never,0.94465,964,10220,0.90573,0.99034
28,28,1986,"Rhineland-Palatinate, Saarland",West,Seldom,0.04538,32,10220,0.03877,0.05136
29,29,1986,"Rhineland-Palatinate, Saarland",West,Never,0.95462,693,10220,0.92168,0.98806
30,30,1986,Baden-Wuerttemberg,West,Seldom,0.039,68,10220,0.0333,0.0442
31,31,1986,Baden-Wuerttemberg,West,Never,0.961,1863,10220,0.93183,0.99163
32,32,1986,Bavaria,West,At least once per month,0.02337,34,10220,0.01926,0.02695
33,33,1986,Bavaria,West,Seldom,0.06017,102,10220,0.05636,0.06426
34,34,1986,Bavaria,West,Never,0.91646,1591,10220,0.89405,0.93728
35,35,1986,Berlin,West,Never,1.0,316,10220,0.93566,1.07841
36,36,1988,Schleswig-Holstein,West,Never,1.0,283,9619,0.93298,1.05896
37,37,1988,Hamburg,West,Never,1.0,182,9619,0.90887,1.0876
38,38,1988,Lower Saxony,West,Seldom,0.04402,46,9619,0.04037,0.04863
39,39,1988,Lower Saxony,West,Never,0.95598,962,9619,0.91882,0.99162
40,40,1988,Bremen,West,Never,1.0,91,9619,0.88722,1.11308
41,41,1988,North Rhine-Westphalia,West,Seldom,0.06343,148,9619,0.05874,0.06915
42,42,1988,North Rhine-Westphalia,West,Never,0.93657,2490,9619,0.91593,0.96236
43,43,1988,Hesse,West,Seldom,0.06993,52,9619,0.0624,0.07778
44,44,1988,Hesse,West,Never,0.93007,920,9619,0.88277,0.97888
45,45,1988,"Rhineland-Palatinate, Saarland",West,Seldom,0.05394,38,9619,0.04745,0.06102
46,46,1988,"Rhineland-Palatinate, Saarland",West,Never,0.94606,671,9619,0.90957,0.98482
47,47,1988,Baden-Wuerttemberg,West,Seldom,0.0498,74,9619,0.04447,0.05478
48,48,1988,Baden-Wuerttemberg,West,Never,0.9502,1774,9619,0.91443,0.98257
49,49,1988,Bavaria,West,Seldom,0.061,99,9619,0.05448,0.06751
50,50,1988,Bavaria,West,Never,0.939,1480,9619,0.91469,0.96719
51,51,1988,Berlin,West,Never,1.0,309,9619,0.92346,1.09001
52,52,1990,Schleswig-Holstein,West,Seldom,0.15965,44,13355,0.13864,0.17718
53,53,1990,Schleswig-Holstein,West,Never,0.84035,231,13355,0.78501,0.89937
54,54,1990,Hamburg,West,Never,1.0,143,13355,0.88785,1.0989
55,55,1990,Lower Saxony,West,Seldom,0.13169,118,13355,0.12013,0.1426
56,56,1990,Lower Saxony,West,Never,0.86831,822,13355,0.83455,0.90613
57,57,1990,Bremen,West,Never,1.0,88,13355,0.91115,1.1093
