year,bula_h,regtyp,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Never,0.015675283827529325,144,10490,0.01564006159503083,0.01571050606002782
1985,Schleswig-Holstein,Rural regions,Never,0.02034048734322256,166,10490,0.020300459864554973,0.020380514821890145
1985,Hamburg,Urban regions,Never,0.026940780678142002,253,10490,0.02689486989491346,0.026986691461370543
1985,Lower Saxony,Urban regions,Never,0.04823826801274855,464,10490,0.048177510505096895,0.04829902552040021
1985,Lower Saxony,Rural regions,Never,0.06265580589176734,535,10490,0.06258708794340233,0.06272452384013234
1985,Bremen,Urban regions,Never,0.012180288913672281,107,10490,0.012149185531504954,0.012211392295839608
1985,North Rhine-Westphalia,Urban regions,At least once per month,0.00549942182968083,53,10490,0.005478451704917734,0.005520391954443926
1985,North Rhine-Westphalia,Urban regions,Seldom,0.01568671010518568,157,10490,0.015651475242159422,0.015721944968211936
1985,North Rhine-Westphalia,Urban regions,Never,0.24649285369100007,2627,10490,0.24637064957553156,0.24661505780646858
1985,North Rhine-Westphalia,Rural regions,Never,0.00826259895797848,68,10490,0.008236930684328785,0.008288267231628177
1985,Hesse,Urban regions,Seldom,0.004793330906965411,49,10490,0.004773746279165919,0.004812915534764903
1985,Hesse,Urban regions,Never,0.07158422511862236,881,10490,0.07151112469439157,0.07165732554285316
1985,Hesse,Rural regions,Never,0.014804819476284726,145,10490,0.014770574042233423,0.014839064910336028
1985,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.003767754203405396,31,10490,0.0037503817339554517,0.0037851266728553407
1985,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.05676415630334246,564,10490,0.05669854370762711,0.05682976889905781
1985,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.014867335926714017,125,10490,0.014833019353420143,0.01490165250000789
1985,Baden-Wuerttemberg,Urban regions,Seldom,0.005272986548840605,61,10490,0.005252450340315721,0.00529352275736549
1985,Baden-Wuerttemberg,Urban regions,Never,0.12415821745169281,1644,10490,0.12406471122286761,0.12425172368051801
1985,Baden-Wuerttemberg,Rural regions,Never,0.022661070715642783,277,10490,0.022618871654407194,0.022703269776878372
1985,Bavaria,Urban regions,Seldom,0.003634413375426278,36,10490,0.0036173499390159715,0.003651476811836585
1985,Bavaria,Urban regions,Never,0.08849849309451581,901,10490,0.08841795773325803,0.08857902845577359
1985,Bavaria,Rural regions,Seldom,0.0066428382351454715,58,10490,0.0066198042262761315,0.006665872244014812
1985,Bavaria,Rural regions,Never,0.08967367527604075,808,10490,0.08959265923565148,0.08975469131643003
1985,Berlin,Urban regions,Never,0.030904184116433923,336,10490,0.03085511231760448,0.030953255915263364
1986,Schleswig-Holstein,Urban regions,Never,0.01556854626847169,134,10083,0.015533443211944562,0.015603649324998818
1986,Schleswig-Holstein,Rural regions,Never,0.02170111017041582,156,10083,0.02165979544049586,0.021742424900335778
1986,Hamburg,Urban regions,Never,0.02557886577908599,228,10083,0.02553410041193795,0.02562363114623403
1986,Lower Saxony,Urban regions,Never,0.05182346934529186,492,10083,0.05176061489907273,0.051886323791510994
1986,Lower Saxony,Rural regions,Never,0.06166674088156162,527,10083,0.061598533368465914,0.061734948394657325
1986,Bremen,Urban regions,Never,0.011625811780683091,104,10083,0.011595416895780593,0.011656206665585589
1986,North Rhine-Westphalia,Urban regions,At least once per month,0.004684901505923509,44,10083,0.00466553912810172,0.004704263883745298
1986,North Rhine-Westphalia,Urban regions,Seldom,0.01690514395549165,152,10083,0.016868589921583486,0.01694169798939981
1986,North Rhine-Westphalia,Urban regions,Never,0.24970915486690368,2547,10083,0.2495864221868212,0.24983188754698615
1986,North Rhine-Westphalia,Rural regions,Never,0.00849395228247101,69,10083,0.00846793087675897,0.008519973688183049
1986,Hesse,Urban regions,Seldom,0.004674505337326488,46,10083,0.004655164353754993,0.0046938463208979824
1986,Hesse,Urban regions,Never,0.07027218607613651,831,10083,0.07019970947713473,0.0703446626751383
1986,Hesse,Rural regions,Never,0.014135933139578867,133,10083,0.014102459809367779,0.014169406469789956
1986,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.05574214869706958,560,10083,0.05567709599852438,0.055807201395614785
1986,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.015278565075947277,133,10083,0.015243785351106967,0.015313344800787587
1986,Baden-Wuerttemberg,Urban regions,Seldom,0.00498644585653838,55,10083,0.004966473090526799,0.0050064186225499616
1986,Baden-Wuerttemberg,Urban regions,Never,0.12736428523939944,1582,10083,0.12726975549469868,0.1274588149841002
1986,Baden-Wuerttemberg,Rural regions,Never,0.023923301777069583,281,10083,0.023879972574766997,0.02396663097937217
1986,Bavaria,Urban regions,Seldom,0.005606696586541584,49,10083,0.0055855246402075455,0.005627868532875622
