year,regtyp,sampreg,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,At least once per week,0.01039,78,8566,0.00824,0.01254
1985,Urban regions,West,At least once per month,0.01989,152,8566,0.01693,0.02285
1985,Urban regions,West,Seldom,0.04959,390,8566,0.04499,0.05419
1985,Urban regions,West,Never,0.92013,7946,8566,0.91439,0.92587
1985,Rural regions,West,At least once per month,0.02072,47,2277,0.01487,0.02658
1985,Rural regions,West,Seldom,0.05670,125,2277,0.04720,0.06621
1985,Rural regions,West,Never,0.91193,2105,2277,0.90028,0.92357
1986,Urban regions,West,At least once per week,0.00912,72,8245,0.00707,0.01117
1986,Urban regions,West,At least once per month,0.01731,124,8245,0.01449,0.02012
1986,Urban regions,West,Seldom,0.05290,391,8245,0.04807,0.05774
1986,Urban regions,West,Never,0.92067,7658,8245,0.91484,0.92651
1986,Rural regions,West,At least once per month,0.02305,45,2187,0.01676,0.02934
1986,Rural regions,West,Seldom,0.04848,110,2187,0.03947,0.05748
1986,Rural regions,West,Never,0.91640,2032,2187,0.90480,0.92800
1988,Urban regions,West,At least once per week,0.00779,54,7824,0.00584,0.00973
1988,Urban regions,West,At least once per month,0.01284,87,7824,0.01035,0.01534
1988,Urban regions,West,Seldom,0.05646,388,7824,0.05134,0.06157
1988,Urban regions,West,Never,0.92291,7295,7824,0.91700,0.92882
1988,Rural regions,West,At least once per month,0.02122,37,2025,0.01494,0.02749
1988,Rural regions,West,Seldom,0.05923,121,2025,0.04895,0.06952
1988,Rural regions,West,Never,0.91329,1867,2025,0.90103,0.92555
1990,No answer / don't know,East,Never,0.79752,69,69,0.70201,0.89304
1990,Urban regions,West,At least once per week,0.01124,74,7468,0.00885,0.01363
1990,Urban regions,West,At least once per month,0.02616,168,7468,0.02254,0.02978
1990,Urban regions,West,Seldom,0.12626,828,7468,0.11872,0.13379
1990,Urban regions,West,Never,0.83634,6398,7468,0.82795,0.84473
1990,Urban regions,East,At least once per month,0.04185,60,1390,0.03132,0.05239
1990,Urban regions,East,Seldom,0.09607,139,1390,0.08057,0.11157
1990,Urban regions,East,Never,0.84836,1191,1390,0.82949,0.86722
1990,Rural regions,West,At least once per week,0.01760,31,1951,0.01177,0.02344
1990,Rural regions,West,At least once per month,0.02746,45,1951,0.02021,0.03471
1990,Rural regions,West,Seldom,0.15078,283,1951,0.13490,0.16667
1990,Rural regions,West,Never,0.80416,1592,1951,0.78654,0.82177
1990,Rural regions,East,At least once per week,0.02212,67,2790,0.01666,0.02758
1990,Rural regions,East,At least once per month,0.05611,161,2790,0.04757,0.06465
1990,Rural regions,East,Seldom,0.09084,290,2790,0.08017,0.10150
1990,Rural regions,East,Never,0.83093,2272,2790,0.81702,0.84484
1992,No answer / don't know,East,Never,0.92997,95,95,0.87838,0.98156
1992,Urban regions,West,At least once per week,0.00698,47,7231,0.00506,0.00890
1992,Urban regions,West,At least once per month,0.01755,100,7231,0.01452,0.02058
1992,Urban regions,West,Seldom,0.05514,360,7231,0.04988,0.06040
1992,Urban regions,West,Never,0.92033,6724,7231,0.91409,0.92657
1992,Urban regions,East,Seldom,0.05041,68,1270,0.03837,0.06245
1992,Urban regions,East,Never,0.92635,1202,1270,0.91198,0.94072
1992,Rural regions,West,At least once per month,0.02322,36,1921,0.01648,0.02995
1992,Rural regions,West,Seldom,0.07355,132,1921,0.06188,0.08523
1992,Rural regions,West,Never,0.89424,1753,1921,0.88048,0.90800
1992,Rural regions,East,At least once per week,0.01389,37,2515,0.00931,0.01846
1992,Rural regions,East,At least once per month,0.02712,74,2515,0.02077,0.03347
1992,Rural regions,East,Seldom,0.05631,164,2515,0.04730,0.06532
1992,Rural regions,East,Never,0.90269,2240,2515,0.89110,0.91427
1994,Urban regions,West,At least once per week,0.00686,46,7084,0.00494,0.00878
1994,Urban regions,West,At least once per month,0.01339,93,7084,0.01072,0.01607
1994,Urban regions,West,Seldom,0.06226,419,7084,0.05663,0.06788
1994,Urban regions,West,Never,0.91749,6526,7084,0.91109,0.92390
1994,Urban regions,East,Seldom,0.05010,56,1266,0.03808,0.06213
1994,Urban regions,East,Never,0.92516,1210,1266,0.91066,0.93966
1994,Rural regions,West,At least once per month,0.01524,31,1878,0.00970,0.02079
1994,Rural regions,West,Seldom,0.09419,164,1878,0.08097,0.10740
1994,Rural regions,West,Never,0.88009,1683,1878,0.86539,0.89478
1994,Rural regions,East,At least once per week,0.01107,31,2437,0.00692,0.01523
1994,Rural regions,East,At least once per month,0.02569,64,2437,0.01940,0.03197
1994,Rural regions,East,Seldom,0.05051,142,2437,0.04181,0.05920
1994,Rural regions,East,Never,0.91274,2200,2437,0.90153,0.92394
1995,Urban regions,West,At least once per week,0.00967,77,7460,0.00745,0.01189
1995,Urban regions,West,At least once per month,0.01678,107,7460,0.01386,0.01969
1995,Urban regions,West,Seldom,0.07826,521,7460,0.07217,0.08436
1995,Urban regions,West,Never,0.89529,6755,7460,0.88834,0.90224
1995,Urban regions,East,Seldom,0.06094,76,1173,0.04725,0.07464
