"plj0047","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1992","(Fach-)Abitur","90","0.434772060884489","0.364834245736025","0.504709876032954"
"Einige Sorgen","1992","(noch) kein Abschluss","252","0.390308839755155","0.351660439447057","0.428957240063252"
"Einige Sorgen","1992","AkademikerIn","22","","",""
"Einige Sorgen","1992","Hauptschule","517","0.406724589370269","0.378779781984183","0.434669396756355"
"Einige Sorgen","1992","Realschule","33","0.229480833226172","0.149050776741821","0.309910889710522"
"Grosse Sorgen","1992","(Fach-)Abitur","82","0.448196394891828","0.378035376737391","0.518357413046264"
"Grosse Sorgen","1992","(noch) kein Abschluss","226","0.396877023724548","0.358115280946771","0.435638766502325"
"Grosse Sorgen","1992","AkademikerIn","17","","",""
"Grosse Sorgen","1992","Hauptschule","452","0.41389250294125","0.385873340454074","0.441911665428425"
"Grosse Sorgen","1992","Realschule","50","0.534611330618223","0.439204290255454","0.630018370980992"
"Keine Sorgen","1992","(Fach-)Abitur","21","","",""
"Keine Sorgen","1992","(noch) kein Abschluss","134","0.212814136520298","0.18038680140437","0.245241471636225"
"Keine Sorgen","1992","AkademikerIn","4","","",""
"Keine Sorgen","1992","Hauptschule","218","0.179382907688481","0.15755643579723","0.201209379579732"
"Keine Sorgen","1992","Realschule","22","","",""
"Einige Sorgen","1993","(Fach-)Abitur","80","0.442695617779505","0.372068719944612","0.513322515614397"
"Einige Sorgen","1993","(noch) kein Abschluss","237","0.392539907827436","0.353270382435062","0.43180943321981"
"Einige Sorgen","1993","AkademikerIn","20","","",""
"Einige Sorgen","1993","Hauptschule","481","0.394476381344912","0.366142829362702","0.422809933327122"
"Einige Sorgen","1993","Realschule","46","0.311051196585378","0.227526193444135","0.39457619972662"
"Grosse Sorgen","1993","(Fach-)Abitur","98","0.496452953359735","0.42535937626787","0.5675465304516"
"Grosse Sorgen","1993","(noch) kein Abschluss","281","0.503146894671299","0.462938542870099","0.543355246472498"
"Grosse Sorgen","1993","AkademikerIn","18","","",""
"Grosse Sorgen","1993","Hauptschule","528","0.493414479503022","0.464430547178086","0.522398411827957"
"Grosse Sorgen","1993","Realschule","55","0.492701851306622","0.402496807212113","0.582906895401131"
"Keine Sorgen","1993","(Fach-)Abitur","12","","",""
"Keine Sorgen","1993","(noch) kein Abschluss","76","0.104313197501265","0.0797320255336445","0.128894369468887"
"Keine Sorgen","1993","AkademikerIn","4","","",""
"Keine Sorgen","1993","Hauptschule","134","0.112109139152067","0.0938186517938822","0.130399626510251"
"Keine Sorgen","1993","Realschule","17","","",""
"Einige Sorgen","1994","(Fach-)Abitur","84","0.500811085504025","0.427767636560848","0.573854534447201"
"Einige Sorgen","1994","(noch) kein Abschluss","243","0.421674138342725","0.380918910172811","0.462429366512638"
"Einige Sorgen","1994","AkademikerIn","24","","",""
"Einige Sorgen","1994","Hauptschule","450","0.396459911038006","0.367164064196924","0.425755757879089"
"Einige Sorgen","1994","Realschule","43","0.330560816303989","0.24304876735287","0.418072865255108"
"Grosse Sorgen","1994","(Fach-)Abitur","82","0.435733264755851","0.363295603394948","0.508170926116753"
"Grosse Sorgen","1994","(noch) kein Abschluss","259","0.498755789320173","0.457491231210768","0.540020347429578"
"Grosse Sorgen","1994","AkademikerIn","13","","",""
"Grosse Sorgen","1994","Hauptschule","480","0.481806691183986","0.451881587104656","0.511731795263316"
"Grosse Sorgen","1994","Realschule","57","0.535407576410155","0.442625322271382","0.628189830548928"
"Keine Sorgen","1994","(Fach-)Abitur","14","","",""
"Keine Sorgen","1994","(noch) kein Abschluss","62","0.079570072337102","0.0572354413682848","0.101904703305919"
"Keine Sorgen","1994","AkademikerIn","6","","",""
"Keine Sorgen","1994","Hauptschule","141","0.121733397778007","0.102150750038477","0.141316045517538"
"Keine Sorgen","1994","Realschule","11","","",""
"Einige Sorgen","1995","(Fach-)Abitur","75","0.392390803754693","0.319418938588516","0.46536266892087"
"Einige Sorgen","1995","(noch) kein Abschluss","232","0.429848043424598","0.386798453237517","0.472897633611679"
"Einige Sorgen","1995","AkademikerIn","22","","",""
"Einige Sorgen","1995","Hauptschule","440","0.428601101174358","0.397409964997091","0.459792237351626"
"Einige Sorgen","1995","Realschule","58","0.474869543200602","0.381550020210951","0.568189066190253"
"Grosse Sorgen","1995","(Fach-)Abitur","69","0.409489109839303","0.336000674400455","0.482977545278151"
"Grosse Sorgen","1995","(noch) kein Abschluss","213","0.456314853091108","0.413001453524611","0.499628252657605"
"Grosse Sorgen","1995","AkademikerIn","13","","",""
"Grosse Sorgen","1995","Hauptschule","391","0.443844986239189","0.41253027282069","0.475159699657688"
"Grosse Sorgen","1995","Realschule","40","0.375859357176916","0.285347460896782","0.46637125345705"
"Keine Sorgen","1995","(Fach-)Abitur","28","","",""
"Keine Sorgen","1995","(noch) kein Abschluss","63","0.113837103484294","0.086217659308137","0.141456547660451"
"Keine Sorgen","1995","AkademikerIn","5","","",""
"Keine Sorgen","1995","Hauptschule","136","0.127553912586453","0.106528184385745","0.14857964078716"
"Keine Sorgen","1995","Realschule","12","","",""
"Einige Sorgen","1996","(Fach-)Abitur","592","0.587857355014072","0.557605823255176","0.618108886772967"
"Einige Sorgen","1996","(noch) kein Abschluss","407","0.480154994922353","0.4460426049085","0.514267384936205"
"Einige Sorgen","1996","AkademikerIn","1041","0.59916994808361","0.57615663400795","0.622183262159269"
"Einige Sorgen","1996","Hauptschule","2941","0.49755311694799","0.484754797449034","0.510351436446945"
"Einige Sorgen","1996","Realschule","1704","0.551120944165673","0.53352970991776","0.568712178413586"
"Grosse Sorgen","1996","(Fach-)Abitur","286","0.281285702399567","0.253651967578833","0.308919437220302"
"Grosse Sorgen","1996","(noch) kein Abschluss","295","0.362496844769367","0.329673882778102","0.395319806760633"
"Grosse Sorgen","1996","AkademikerIn","379","0.210856430546187","0.191700844126009","0.230012016966366"
"Grosse Sorgen","1996","Hauptschule","1923","0.32831342026912","0.316293106694764","0.340333733843475"
"Grosse Sorgen","1996","Realschule","837","0.273070979249699","0.257313310732134","0.288828647767263"
"Keine Sorgen","1996","(Fach-)Abitur","139","0.13085694258636","0.110130172414446","0.151583712758275"
"Keine Sorgen","1996","(noch) kein Abschluss","122","0.15734816030828","0.132485968846581","0.182210351769979"
"Keine Sorgen","1996","AkademikerIn","322","0.189973621370203","0.171552322552454","0.208394920187952"
"Keine Sorgen","1996","Hauptschule","999","0.17413346278289","0.164426481395134","0.183840444170646"
"Keine Sorgen","1996","Realschule","530","0.175808076584628","0.162345078894303","0.189271074274954"
"Einige Sorgen","1997","(Fach-)Abitur","566","0.561815706002699","0.531185976148288","0.592445435857109"
"Einige Sorgen","1997","(noch) kein Abschluss","416","0.512691420253093","0.478583819515718","0.546799020990469"
"Einige Sorgen","1997","AkademikerIn","1091","0.6138805886839","0.591102761229997","0.636658416137803"
"Einige Sorgen","1997","Hauptschule","2738","0.4754662453462","0.462502838944552","0.488429651747849"
"Einige Sorgen","1997","Realschule","1557","0.508162181248347","0.490437291346177","0.525887071150518"
"Grosse Sorgen","1997","(Fach-)Abitur","272","0.28201203025281","0.2542334384329","0.309790622072721"
"Grosse Sorgen","1997","(noch) kein Abschluss","268","0.311381096634882","0.279783306603533","0.342978886666231"
"Grosse Sorgen","1997","AkademikerIn","349","0.199987254155579","0.18127357658368","0.218700931727479"
"Grosse Sorgen","1997","Hauptschule","1965","0.340193977508233","0.32789570764351","0.352492247372956"
"Grosse Sorgen","1997","Realschule","889","0.295113514602974","0.278942936094465","0.311284093111483"
"Keine Sorgen","1997","(Fach-)Abitur","170","0.156172263744491","0.133762015059305","0.178582512429677"
"Keine Sorgen","1997","(noch) kein Abschluss","141","0.175927483112025","0.149945596880145","0.201909369343904"
"Keine Sorgen","1997","AkademikerIn","315","0.186132157160521","0.167922692402222","0.20434162191882"
"Keine Sorgen","1997","Hauptschule","998","0.184339777145567","0.174274244970875","0.194405309320258"
"Keine Sorgen","1997","Realschule","610","0.196724304148679","0.182630353758356","0.210818254539002"
"Einige Sorgen","1998","(Fach-)Abitur","621","0.570127376038123","0.541160110241231","0.599094641835016"
"Einige Sorgen","1998","(noch) kein Abschluss","394","0.461799547995956","0.427467132291826","0.496131963700085"
"Einige Sorgen","1998","AkademikerIn","1137","0.58869052848006","0.566737354664854","0.610643702295266"
"Einige Sorgen","1998","Hauptschule","2907","0.468723705532408","0.456187528445078","0.481259882619738"
"Einige Sorgen","1998","Realschule","1724","0.521106386546457","0.50418238893377","0.538030384159143"
"Grosse Sorgen","1998","(Fach-)Abitur","300","0.270858384894193","0.244855068052076","0.29686170173631"
"Grosse Sorgen","1998","(noch) kein Abschluss","264","0.326468748492532","0.294175981083661","0.358761515901403"
"Grosse Sorgen","1998","AkademikerIn","401","0.207216792524601","0.189134265148537","0.225299319900665"
"Grosse Sorgen","1998","Hauptschule","2099","0.352776648937797","0.340772719212738","0.364780578662855"
"Grosse Sorgen","1998","Realschule","957","0.286064592797505","0.270754361603017","0.301374823991992"
"Keine Sorgen","1998","(Fach-)Abitur","201","0.159014239067684","0.137616691941158","0.180411786194209"
"Keine Sorgen","1998","(noch) kein Abschluss","152","0.211731703511513","0.183597439574809","0.239865967448216"
"Keine Sorgen","1998","AkademikerIn","392","0.204092678995339","0.186111655874231","0.222073702116447"
"Keine Sorgen","1998","Hauptschule","1081","0.178499645529795","0.168879780102132","0.188119510957459"
"Keine Sorgen","1998","Realschule","666","0.192829020656039","0.179463397803443","0.206194643508635"
"Einige Sorgen","1999","(Fach-)Abitur","610","0.544910548312272","0.515914145233583","0.573906951390961"
"Einige Sorgen","1999","(noch) kein Abschluss","372","0.48881295044219","0.453822355016506","0.523803545867874"
"Einige Sorgen","1999","AkademikerIn","1179","0.582347838279179","0.560469880242344","0.604225796316013"
"Einige Sorgen","1999","Hauptschule","3233","0.533725217677524","0.521096200695693","0.546354234659354"
"Einige Sorgen","1999","Realschule","1924","0.555804891084545","0.539026680006109","0.572583102162981"
"Grosse Sorgen","1999","(Fach-)Abitur","379","0.331442286544454","0.304032443655818","0.35885212943309"
"Grosse Sorgen","1999","(noch) kein Abschluss","260","0.316074792941483","0.283529416741538","0.348620169141428"
"Grosse Sorgen","1999","AkademikerIn","577","0.303631848126478","0.283233204243256","0.3240304920097"
"Grosse Sorgen","1999","Hauptschule","1734","0.286663903870161","0.275216069758589","0.298111737981734"
"Grosse Sorgen","1999","Realschule","995","0.30473303452044","0.289190095210081","0.320275973830799"
"Keine Sorgen","1999","(Fach-)Abitur","144","0.123647165143274","0.104479698510485","0.142814631776063"
"Keine Sorgen","1999","(noch) kein Abschluss","152","0.195112256616327","0.167372669496553","0.222851843736101"
"Keine Sorgen","1999","AkademikerIn","196","0.114020313594343","0.0999205710656337","0.128120056123053"
"Keine Sorgen","1999","Hauptschule","1027","0.179610878452315","0.169893122533884","0.189328634370746"
"Keine Sorgen","1999","Realschule","450","0.139462074395015","0.127764100347064","0.151160048442965"
"Einige Sorgen","2000","(Fach-)Abitur","1169","0.492105196142787","0.471810020487689","0.512400371797885"
"Einige Sorgen","2000","(noch) kein Abschluss","409","0.440562937362335","0.408146499304978","0.472979375419691"
"Einige Sorgen","2000","AkademikerIn","1997","0.516488455075383","0.500578746691781","0.532398163458984"
"Einige Sorgen","2000","Hauptschule","5338","0.496935694080191","0.487390845733176","0.506480542427205"
