"plj0047","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1992","17-29","(noch) kein Abschluss","51","0.407128920909325","0.32065535700954","0.493602484809111"
"Grosse Sorgen","1992","17-29","Hauptschule","206","0.473750512399045","0.428121626542063","0.519379398256027"
"Grosse Sorgen","1992","17-29","Realschule","42","0.508626541403639","0.407022268225973","0.610230814581306"
"Grosse Sorgen","1992","17-29","(Fach-)Abitur","44","0.498579217015518","0.396960228510149","0.600198205520887"
"Grosse Sorgen","1992","17-29","AkademikerIn","5","","",""
"Grosse Sorgen","1992","30-45","(noch) kein Abschluss","74","0.477484484518174","0.406084454583924","0.548884514452423"
"Grosse Sorgen","1992","30-45","Hauptschule","125","0.394823053926483","0.343974763751285","0.445671344101682"
"Grosse Sorgen","1992","30-45","Realschule","6","","",""
"Grosse Sorgen","1992","30-45","(Fach-)Abitur","20","","",""
"Grosse Sorgen","1992","30-45","AkademikerIn","4","","",""
"Grosse Sorgen","1992","46-65","(noch) kein Abschluss","96","0.335923482575602","0.280895433370694","0.39095153178051"
"Grosse Sorgen","1992","46-65","Hauptschule","119","0.371258608367328","0.321557157040104","0.420960059694552"
"Grosse Sorgen","1992","46-65","Realschule","2","","",""
"Grosse Sorgen","1992","46-65","(Fach-)Abitur","18","","",""
"Grosse Sorgen","1992","46-65","AkademikerIn","8","","",""
"Grosse Sorgen","1992","66","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1992","66","Hauptschule","","","",""
"Grosse Sorgen","1992","66","Realschule","","","",""
"Grosse Sorgen","1992","66","(Fach-)Abitur","","","",""
"Grosse Sorgen","1992","66","AkademikerIn","","","",""
"Einige Sorgen","1992","17-29","(noch) kein Abschluss","50","0.381991649883499","0.296472897827346","0.467510401939651"
"Einige Sorgen","1992","17-29","Hauptschule","183","0.384152227468752","0.339703683349405","0.428600771588098"
"Einige Sorgen","1992","17-29","Realschule","31","0.289123744474729","0.196984318811706","0.381263170137752"
"Einige Sorgen","1992","17-29","(Fach-)Abitur","40","0.43266770764057","0.331973935580497","0.533361479700642"
"Einige Sorgen","1992","17-29","AkademikerIn","7","","",""
"Einige Sorgen","1992","30-45","(noch) kein Abschluss","68","0.327262646248702","0.260190816143174","0.39433447635423"
"Einige Sorgen","1992","30-45","Hauptschule","168","0.447773614490388","0.39604608456615","0.499501144414626"
"Einige Sorgen","1992","30-45","Realschule","2","","",""
"Einige Sorgen","1992","30-45","(Fach-)Abitur","25","","",""
"Einige Sorgen","1992","30-45","AkademikerIn","9","","",""
