year,bula_h,pgisced97,plj0047,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1992,Schleswig-Holstein,Primary Level,Not concerned at all,0.8,17350,0.7940479533948712,0.8059520466051289
1992,Schleswig-Holstein,Primary Level,Somewhat concerned,0.2,17350,0.19404795339487121,0.2059520466051288
1992,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,0.6428571428571429,17350,0.63572722456376,0.6499870611505258
1992,Schleswig-Holstein,Lower Secondary Level,Very concerned,0.21428571428571427,17350,0.20818001703602204,0.2203914115354065
1992,Schleswig-Holstein,Lower Secondary Level,Not concerned at all,0.14285714285714285,17350,0.1376501867472034,0.1480640989670823
1992,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.6666666666666666,17350,0.659652112472625,0.6736812208607083
1992,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.16666666666666666,17350,0.16112117466070214,0.17221215867263118
1992,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.16666666666666666,17350,0.16112117466070214,0.17221215867263118
1992,Schleswig-Holstein,Second Stage of Tertiary Education,Very concerned,1.0,17350,1.0,1.0
1992,Hamburg,Pre-primary Level,Very concerned,1.0,17350,1.0,1.0
1992,Hamburg,Primary Level,Somewhat concerned,0.6,17350,0.5927102614460847,0.6072897385539152
1992,Hamburg,Primary Level,Not concerned at all,0.2,17350,0.19404795339487121,0.2059520466051288
1992,Hamburg,Primary Level,Very concerned,0.2,17350,0.19404795339487121,0.2059520466051288
1992,Hamburg,Lower Secondary Level,Very concerned,0.38461538461538464,17350,0.37737614461089236,0.3918546246198769
1992,Hamburg,Lower Secondary Level,Somewhat concerned,0.38461538461538464,17350,0.37737614461089236,0.3918546246198769
1992,Hamburg,Lower Secondary Level,Not concerned at all,0.23076923076923078,17350,0.2244998650212479,0.23703859651721365
1992,Hamburg,Upper Secondary Level,Somewhat concerned,0.4166666666666667,17350,0.40933067029402725,0.4240026630393061
1992,Hamburg,Upper Secondary Level,Very concerned,0.4166666666666667,17350,0.40933067029402725,0.4240026630393061
1992,Hamburg,Upper Secondary Level,Not concerned at all,0.16666666666666666,17350,0.16112117466070214,0.17221215867263118
1992,Hamburg,Post-secondary Non-tertiary Level,Not concerned at all,0.5,17350,0.49255994174358897,0.507440058256411
1992,Hamburg,Post-secondary Non-tertiary Level,Very concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,Hamburg,First Stage of Tertiary Education,Very concerned,1.0,17350,1.0,1.0
1992,Hamburg,Second Stage of Tertiary Education,Very concerned,1.0,17350,1.0,1.0
1992,Lower Saxony,Primary Level,Very concerned,0.4838709677419355,17350,0.47643478149112445,0.49130715399274655
1992,Lower Saxony,Primary Level,Somewhat concerned,0.3225806451612903,17350,0.3156247298575968,0.3295365604649838
1992,Lower Saxony,Primary Level,Not concerned at all,0.1935483870967742,17350,0.18766956568232643,0.19942720851122195
1992,Lower Saxony,Lower Secondary Level,Very concerned,0.5416666666666666,17350,0.5342524869521643,0.5490808463811689
1992,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.3541666666666667,17350,0.3470501019676287,0.36128323136570467
1992,Lower Saxony,Lower Secondary Level,Not concerned at all,0.10416666666666667,17350,0.09962113880215161,0.10871219453118174
1992,Lower Saxony,Upper Secondary Level,Very concerned,0.5,17350,0.49255994174358897,0.507440058256411
1992,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.3888888888888889,17350,0.38163486152887455,0.39614291624890324
1992,Lower Saxony,Upper Secondary Level,Not concerned at all,0.1111111111111111,17350,0.10643474164841672,0.11578748057380549
