"plj0047","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1992","16-34 Jahre alt","(noch) kein Abschluss","63","0.449970972949448","0.371651943652061","0.528290002246835"
"Grosse Sorgen","1992","16-34 Jahre alt","Hauptschulabschluss","246","0.458619100692318","0.417459473980121","0.499778727404516"
"Grosse Sorgen","1992","16-34 Jahre alt","Realschulabschluss","51","0.541631926679168","0.446327570999202","0.636936282359133"
"Grosse Sorgen","1992","16-34 Jahre alt","(Fach-)Abitur","51","0.494092325294783","0.401499194770248","0.586685455819318"
"Grosse Sorgen","1992","16-34 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","(noch) kein Abschluss","161","0.386596105322231","0.341452490550984","0.431739720093479"
"Grosse Sorgen","1992","35-65 Jahre alt","Hauptschulabschluss","205","0.382901467139659","0.344761828992307","0.42104110528701"
"Grosse Sorgen","1992","35-65 Jahre alt","Realschulabschluss","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","(Fach-)Abitur","32","0.412280305568432","0.304414320433954","0.52014629070291"
"Grosse Sorgen","1992","35-65 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1992","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1992","66 und älter","Hauptschulabschluss","","","",""
"Grosse Sorgen","1992","66 und älter","Realschulabschluss","","","",""
"Grosse Sorgen","1992","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1992","66 und älter","AkademikerInnen","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","(noch) kein Abschluss","62","0.359032524355522","0.283511628223524","0.43455342048752"
"Einige Sorgen","1992","16-34 Jahre alt","Hauptschulabschluss","227","0.396959061198616","0.356544287472901","0.43737383492433"
"Einige Sorgen","1992","16-34 Jahre alt","Realschulabschluss","33","0.246042444341096","0.163660524835088","0.328424363847104"
"Einige Sorgen","1992","16-34 Jahre alt","(Fach-)Abitur","52","0.453988747420033","0.361782059901058","0.546195434939008"
"Einige Sorgen","1992","16-34 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","(noch) kein Abschluss","184","0.397093852884819","0.351734613076221","0.442453092693417"
"Einige Sorgen","1992","35-65 Jahre alt","Hauptschulabschluss","290","0.409138916031967","0.370561433372033","0.447716398691901"
"Einige Sorgen","1992","35-65 Jahre alt","Realschulabschluss","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","(Fach-)Abitur","36","0.369934758950348","0.264141394712346","0.47572812318835"
"Einige Sorgen","1992","35-65 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1992","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1992","66 und älter","Hauptschulabschluss","","","",""
"Einige Sorgen","1992","66 und älter","Realschulabschluss","","","",""
"Einige Sorgen","1992","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1992","66 und älter","AkademikerInnen","","","",""
"Keine Sorgen","1992","16-34 Jahre alt","(noch) kein Abschluss","30","0.190996502695031","0.129113675185424","0.252879330204637"
"Keine Sorgen","1992","16-34 Jahre alt","Hauptschulabschluss","90","0.144421838109066","0.115385611768132","0.17345806445"
"Keine Sorgen","1992","16-34 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1992","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1992","16-34 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1992","35-65 Jahre alt","(noch) kein Abschluss","102","0.21631004179295","0.178141566550968","0.254478517034931"
"Keine Sorgen","1992","35-65 Jahre alt","Hauptschulabschluss","129","0.207959616828374","0.176116251230776","0.239802982425973"
"Keine Sorgen","1992","35-65 Jahre alt","Realschulabschluss","","","",""
"Keine Sorgen","1992","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Keine Sorgen","1992","35-65 Jahre alt","AkademikerInnen","","","",""
"Keine Sorgen","1992","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1992","66 und älter","Hauptschulabschluss","","","",""
"Keine Sorgen","1992","66 und älter","Realschulabschluss","","","",""
"Keine Sorgen","1992","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1992","66 und älter","AkademikerInnen","","","",""
"Grosse Sorgen","1993","16-34 Jahre alt","(noch) kein Abschluss","80","0.50579619265221","0.427838250075636","0.583754135228785"
"Grosse Sorgen","1993","16-34 Jahre alt","Hauptschulabschluss","274","0.548973411330038","0.507500716779637","0.59044610588044"
"Grosse Sorgen","1993","16-34 Jahre alt","Realschulabschluss","56","0.499125773178074","0.408911256267223","0.589340290088924"
"Grosse Sorgen","1993","16-34 Jahre alt","(Fach-)Abitur","68","0.584053821461409","0.493576305299467","0.67453133762335"
"Grosse Sorgen","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1993","35-65 Jahre alt","(noch) kein Abschluss","200","0.515582295913804","0.467957085343038","0.56320750648457"
"Grosse Sorgen","1993","35-65 Jahre alt","Hauptschulabschluss","252","0.454543579766614","0.414124948122682","0.494962211410546"
"Grosse Sorgen","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Grosse Sorgen","1993","35-65 Jahre alt","(Fach-)Abitur","32","0.386262587597092","0.276070583683007","0.496454591511178"
"Grosse Sorgen","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1993","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1993","66 und älter","Hauptschulabschluss","","","",""
"Grosse Sorgen","1993","66 und älter","Realschulabschluss","","","",""
"Grosse Sorgen","1993","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1993","66 und älter","AkademikerInnen","","","",""
"Einige Sorgen","1993","16-34 Jahre alt","(noch) kein Abschluss","66","0.438148430134196","0.360784063063457","0.515512797204934"
"Einige Sorgen","1993","16-34 Jahre alt","Hauptschulabschluss","221","0.36553522389592","0.32539739290311","0.40567305488873"
"Einige Sorgen","1993","16-34 Jahre alt","Realschulabschluss","46","0.326821782566478","0.242191145140542","0.411452419992414"
"Einige Sorgen","1993","16-34 Jahre alt","(Fach-)Abitur","42","0.373715619885397","0.284907621748295","0.462523618022499"
"Einige Sorgen","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Einige Sorgen","1993","35-65 Jahre alt","(noch) kein Abschluss","163","0.368455563762645","0.322485783957593","0.414425343567696"
