"plj0047","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1992","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Hamburg","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Niedersachsen","35","0.601807480492982","0.478962189638075","0.724652771347889"
"Grosse Sorgen","1992","16-34 Jahre alt","Bremen","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Nordrhein-Westfalen","136","0.506276842503056","0.449127635817408","0.563426049188704"
"Grosse Sorgen","1992","16-34 Jahre alt","Hessen","41","0.32949352753508","0.248695390741726","0.410291664328434"
"Grosse Sorgen","1992","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Baden-Wuerttemberg","125","0.440381055496642","0.381919721034461","0.498842389958823"
"Grosse Sorgen","1992","16-34 Jahre alt","Bayern","42","0.43892001140432","0.352949761961288","0.524890260847352"
"Grosse Sorgen","1992","16-34 Jahre alt","Saarland","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Berlin","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Brandenburg","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Sachsen","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1992","16-34 Jahre alt","Thueringen","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Schleswig-Holstein","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Hamburg","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Niedersachsen","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Bremen","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Nordrhein-Westfalen","138","0.45764086050598","0.40314023922016","0.5121414817918"
"Grosse Sorgen","1992","35-65 Jahre alt","Hessen","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Baden-Wuerttemberg","112","0.375108338856452","0.323570172146678","0.426646505566227"
"Grosse Sorgen","1992","35-65 Jahre alt","Bayern","60","0.378880508692206","0.308595733985736","0.449165283398675"
"Grosse Sorgen","1992","35-65 Jahre alt","Saarland","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Berlin","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Brandenburg","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Sachsen","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1992","35-65 Jahre alt","Thueringen","","","",""
"Grosse Sorgen","1992","66 und älter","Schleswig-Holstein","","","",""
"Grosse Sorgen","1992","66 und älter","Hamburg","","","",""
"Grosse Sorgen","1992","66 und älter","Niedersachsen","","","",""
"Grosse Sorgen","1992","66 und älter","Bremen","","","",""
"Grosse Sorgen","1992","66 und älter","Nordrhein-Westfalen","","","",""
"Grosse Sorgen","1992","66 und älter","Hessen","","","",""
"Grosse Sorgen","1992","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"Grosse Sorgen","1992","66 und älter","Baden-Wuerttemberg","","","",""
"Grosse Sorgen","1992","66 und älter","Bayern","","","",""
"Grosse Sorgen","1992","66 und älter","Saarland","","","",""
"Grosse Sorgen","1992","66 und älter","Berlin","","","",""
"Grosse Sorgen","1992","66 und älter","Brandenburg","","","",""
"Grosse Sorgen","1992","66 und älter","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1992","66 und älter","Sachsen","","","",""
"Grosse Sorgen","1992","66 und älter","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1992","66 und älter","Thueringen","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Hamburg","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Niedersachsen","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Bremen","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Nordrhein-Westfalen","115","0.361565784371187","0.306646336085879","0.416485232656495"
"Einige Sorgen","1992","16-34 Jahre alt","Hessen","59","0.435388310510372","0.350158851867604","0.52061776915314"
"Einige Sorgen","1992","16-34 Jahre alt","Rheinland-Pfalz,Saarland","30","0.552044655962766","0.42180041066341","0.682288901262122"
"Einige Sorgen","1992","16-34 Jahre alt","Baden-Wuerttemberg","103","0.365164789252437","0.308464776446613","0.421864802058261"
"Einige Sorgen","1992","16-34 Jahre alt","Bayern","61","0.406433260624055","0.321344439738981","0.491522081509129"
"Einige Sorgen","1992","16-34 Jahre alt","Saarland","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Berlin","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Brandenburg","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Sachsen","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","Thueringen","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Schleswig-Holstein","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Hamburg","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Niedersachsen","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Bremen","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Nordrhein-Westfalen","125","0.357629012417201","0.305195988446045","0.410062036388356"
"Einige Sorgen","1992","35-65 Jahre alt","Hessen","80","0.462644033802645","0.38562648835034","0.53966157925495"
"Einige Sorgen","1992","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Baden-Wuerttemberg","156","0.387425619211619","0.335566895442224","0.439284342981013"
"Einige Sorgen","1992","35-65 Jahre alt","Bayern","96","0.495988912832308","0.423548890509975","0.568428935154641"
"Einige Sorgen","1992","35-65 Jahre alt","Saarland","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Berlin","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Brandenburg","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Sachsen","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Einige Sorgen","1992","35-65 Jahre alt","Thueringen","","","",""
"Einige Sorgen","1992","66 und älter","Schleswig-Holstein","","","",""
"Einige Sorgen","1992","66 und älter","Hamburg","","","",""
"Einige Sorgen","1992","66 und älter","Niedersachsen","","","",""
"Einige Sorgen","1992","66 und älter","Bremen","","","",""
"Einige Sorgen","1992","66 und älter","Nordrhein-Westfalen","","","",""
"Einige Sorgen","1992","66 und älter","Hessen","","","",""
"Einige Sorgen","1992","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"Einige Sorgen","1992","66 und älter","Baden-Wuerttemberg","","","",""
"Einige Sorgen","1992","66 und älter","Bayern","","","",""
"Einige Sorgen","1992","66 und älter","Saarland","","","",""
"Einige Sorgen","1992","66 und älter","Berlin","","","",""
"Einige Sorgen","1992","66 und älter","Brandenburg","","","",""
"Einige Sorgen","1992","66 und älter","Mecklenburg-Vorpommern","","","",""
"Einige Sorgen","1992","66 und älter","Sachsen","","","",""
"Einige Sorgen","1992","66 und älter","Sachsen-Anhalt","","","",""
