syear,bula_h,plj0047,proportion,n,lower_confidence,upper_confidence
1992,Nordrhein-Westfalen,1.0,0.12203844434510505,13316,0.11647869439951355,0.12759819429069655
1992,Baden-Wuerttemberg,2.0,0.11578006258381761,13316,0.11034547966191577,0.12121464550571945
1992,Nordrhein-Westfalen,2.0,0.1086276262852034,13316,0.10334233523754607,0.11391291733286071
1992,Baden-Wuerttemberg,1.0,0.10728654447921324,13316,0.10203003021446094,0.11254305874396553
1992,Bayern,2.0,0.0697362539114886,13316,0.06541010431289031,0.0740624035100869
1992,Hessen,2.0,0.06258381761287439,13316,0.05846979734350922,0.06669783788223956
1992,Baden-Wuerttemberg,3.0,0.05453732677693339,13316,0.05068042751942517,0.05839422603444161
1992,Nordrhein-Westfalen,3.0,0.045596781403665625,13316,0.04205352794617619,0.049140034861155056
1992,Bayern,1.0,0.04514975413500223,13316,0.04162308672038025,0.04867642154962421
1992,Hessen,3.0,0.038891372373714796,13316,0.03560753190759432,0.042175212839835274
1992,Hessen,1.0,0.029503799731783638,13316,0.026629678562301914,0.03237792090126536
1992,Niedersachsen,1.0,0.027715690657130084,13316,0.024927460183794325,0.030503921130465843
1992,"Rheinland-Pfalz,Saarland",2.0,0.02548055431381314,13316,0.022804044324174395,0.028157064303451888
1992,Berlin,1.0,0.023692445239159587,13316,0.021109189244764646,0.02627570123355453
1992,Bayern,3.0,0.0232454179704962,13316,0.020686062635677304,0.0258047733053151
1992,Niedersachsen,2.0,0.02101028162717926,13316,0.018574299035261164,0.023446264219097353
1992,"Rheinland-Pfalz,Saarland",1.0,0.015645954403218598,13316,0.013538074450202336,0.01775383435623486
1992,Berlin,2.0,0.015645954403218598,13316,0.013538074450202336,0.01775383435623486
1992,"Rheinland-Pfalz,Saarland",3.0,0.008046490835940992,13316,0.0065290278809266855,0.009563953790955298
1992,Niedersachsen,3.0,0.007599463567277604,13316,0.006124422397894783,0.009074504736660424
1992,Hamburg,1.0,0.007152436298614216,13316,0.005721113909692344,0.008583758687536087
1992,Schleswig-Holstein,2.0,0.006258381761287439,13316,0.004918899572267214,0.007597863950307664
1992,Hamburg,2.0,0.00581135449262405,13316,0.004520306871999219,0.0071024021132488815
