"plj0047","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Große Sorgen","1992","16-34 J.","West","433","0.460517869301001","0.429732445889101","0.4913032927129"
"Große Sorgen","1992","16-34 J.","Ost","","","",""
"Große Sorgen","1992","35-65 J.","West","418","0.391056063247451","0.363434600947192","0.418677525547709"
"Große Sorgen","1992","35-65 J.","Ost","","","",""
"Große Sorgen","1992","66 und älter","West","","","",""
"Große Sorgen","1992","66 und älter","Ost","","","",""
"Einige Sorgen","1992","16-34 J.","West","415","0.39260383152789","0.36244276833365","0.42276489472213"
"Einige Sorgen","1992","16-34 J.","Ost","","","",""
"Einige Sorgen","1992","35-65 J.","West","533","0.403627047251776","0.375856297864805","0.431397796638747"
"Einige Sorgen","1992","35-65 J.","Ost","","","",""
"Einige Sorgen","1992","66 und älter","West","","","",""
"Einige Sorgen","1992","66 und älter","Ost","","","",""
"Keine Sorgen","1992","16-34 J.","West","159","0.146878299171109","0.125014900816371","0.168741697525847"
"Keine Sorgen","1992","16-34 J.","Ost","","","",""
"Keine Sorgen","1992","35-65 J.","West","248","0.205316889500773","0.182453120215899","0.228180658785647"
"Keine Sorgen","1992","35-65 J.","Ost","","","",""
"Keine Sorgen","1992","66 und älter","West","","","",""
"Keine Sorgen","1992","66 und älter","Ost","","","",""
"Große Sorgen","1993","16-34 J.","West","516","0.539018340142562","0.508321974229875","0.569714706055249"
"Große Sorgen","1993","16-34 J.","Ost","","","",""
"Große Sorgen","1993","35-65 J.","West","502","0.463944537456981","0.434893424607594","0.492995650306369"
"Große Sorgen","1993","35-65 J.","Ost","","","",""
"Große Sorgen","1993","66 und älter","West","","","",""
"Große Sorgen","1993","66 und älter","Ost","","","",""
"Einige Sorgen","1993","16-34 J.","West","400","0.373943513475564","0.344147845216198","0.403739181734929"
"Einige Sorgen","1993","16-34 J.","Ost","","","",""
"Einige Sorgen","1993","35-65 J.","West","480","0.409027245574045","0.380386473183058","0.437668017965031"
"Einige Sorgen","1993","35-65 J.","Ost","","","",""
"Einige Sorgen","1993","66 und älter","West","","","",""
"Einige Sorgen","1993","66 und älter","Ost","","","",""
"Keine Sorgen","1993","16-34 J.","West","97","0.087038146381874","0.0696791544647868","0.104397138298961"
"Keine Sorgen","1993","16-34 J.","Ost","","","",""
"Keine Sorgen","1993","35-65 J.","West","150","0.127028216968974","0.107629407307836","0.146427026630112"
"Keine Sorgen","1993","35-65 J.","Ost","","","",""
"Keine Sorgen","1993","66 und älter","West","","","",""
"Keine Sorgen","1993","66 und älter","Ost","","","",""
"Große Sorgen","1994","16-34 J.","West","481","0.510495065206917","0.479133517043361","0.541856613370474"
"Große Sorgen","1994","16-34 J.","Ost","","","",""
"Große Sorgen","1994","35-65 J.","West","463","0.465200423996296","0.435466596183265","0.494934251809328"
"Große Sorgen","1994","35-65 J.","Ost","","","",""
"Große Sorgen","1994","66 und älter","West","","","",""
"Große Sorgen","1994","66 und älter","Ost","","","",""
"Einige Sorgen","1994","16-34 J.","West","404","0.405788259114776","0.374981675749512","0.43659484248004"
"Einige Sorgen","1994","16-34 J.","Ost","","","",""
