"plj0047","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1992","16-34 Jahre alt","438","0.467763502793382","0.437067589282672","0.498459416304092"
"Grosse Sorgen","1992","35-65 Jahre alt","421","0.392802457511481","0.365307764068412","0.42029715095455"
"Grosse Sorgen","1992","66 und älter","","","",""
"Einige Sorgen","1992","16-34 Jahre alt","416","0.386776867970299","0.356815986910821","0.416737749029776"
"Einige Sorgen","1992","35-65 Jahre alt","540","0.398276412927929","0.370715881180086","0.425836944675773"
"Einige Sorgen","1992","66 und älter","","","",""
"Keine Sorgen","1992","16-34 Jahre alt","161","0.14545962923632","0.123769976418012","0.167149282054627"
"Keine Sorgen","1992","35-65 Jahre alt","251","0.20892112956059","0.186033655974491","0.231808603146688"
"Keine Sorgen","1992","66 und älter","","","",""
"Grosse Sorgen","1993","16-34 Jahre alt","522","0.54766026277152","0.517145455660726","0.578175069882315"
"Grosse Sorgen","1993","35-65 Jahre alt","507","0.46357386203182","0.434651785225835","0.492495938837805"
"Grosse Sorgen","1993","66 und älter","","","",""
"Einige Sorgen","1993","16-34 Jahre alt","403","0.367297344277622","0.337742316904389","0.396852371650855"
"Einige Sorgen","1993","35-65 Jahre alt","484","0.407783278161268","0.379281623185313","0.436284933137223"
"Einige Sorgen","1993","66 und älter","","","",""
"Keine Sorgen","1993","16-34 Jahre alt","97","0.0850423929508577","0.067940630672872","0.102144155228844"
"Keine Sorgen","1993","35-65 Jahre alt","151","0.128642859806912","0.109224793520429","0.148060926093395"
"Keine Sorgen","1993","66 und älter","","","",""
"Grosse Sorgen","1994","16-34 Jahre alt","484","0.511869374678381","0.480589774832416","0.543148974524345"
"Grosse Sorgen","1994","35-65 Jahre alt","467","0.469384781335925","0.439757677794519","0.49901188487733"
"Grosse Sorgen","1994","66 und älter","","","",""
"Einige Sorgen","1994","16-34 Jahre alt","405","0.401490973622902","0.370815813913615","0.432166133332189"
"Einige Sorgen","1994","35-65 Jahre alt","479","0.41469247317774","0.385444890793208","0.443940055562273"
"Einige Sorgen","1994","66 und älter","","","",""
"Keine Sorgen","1994","16-34 Jahre alt","92","0.086639651698717","0.0690363953683","0.104242908029134"
"Keine Sorgen","1994","35-65 Jahre alt","144","0.115922745486335","0.096917902767008","0.134927588205662"
"Keine Sorgen","1994","66 und älter","","","",""
"Grosse Sorgen","1995","16-34 Jahre alt","390","0.476593085653439","0.444053096948763","0.509133074358115"
"Grosse Sorgen","1995","35-65 Jahre alt","394","0.439088286617147","0.40846684107901","0.469709732155284"
"Grosse Sorgen","1995","66 und älter","","","",""
"Einige Sorgen","1995","16-34 Jahre alt","415","0.421498983169342","0.389327274272218","0.453670692066466"
"Einige Sorgen","1995","35-65 Jahre alt","458","0.407551226002568","0.377231937022163","0.437870514982972"
"Einige Sorgen","1995","66 und älter","","","",""
"Keine Sorgen","1995","16-34 Jahre alt","100","0.101907931177219","0.0821978585519419","0.121618003802495"
"Keine Sorgen","1995","35-65 Jahre alt","157","0.153360487380286","0.131126952582189","0.175594022178382"
"Keine Sorgen","1995","66 und älter","","","",""
"Grosse Sorgen","1996","16-34 Jahre alt","1452","0.300577652772533","0.287512342927813","0.313642962617253"
"Grosse Sorgen","1996","35-65 Jahre alt","1935","0.289687167869802","0.278796110242528","0.300578225497075"
"Grosse Sorgen","1996","66 und älter","476","0.315290409253731","0.292122201720385","0.338458616787077"
"Einige Sorgen","1996","16-34 Jahre alt","2530","0.545519908530733","0.531331478228607","0.559708338832859"
"Einige Sorgen","1996","35-65 Jahre alt","3607","0.54016431310409","0.528198426649129","0.552130199559052"
"Einige Sorgen","1996","66 und älter","740","0.46975867502499","0.444872506395121","0.49464484365486"
"Keine Sorgen","1996","16-34 Jahre alt","749","0.153902438696734","0.143619799685903","0.164185077707566"
"Keine Sorgen","1996","35-65 Jahre alt","1122","0.170148519026108","0.161126684230812","0.179170353821404"
"Keine Sorgen","1996","66 und älter","329","0.214950915721279","0.194467522388876","0.235434309053682"
"Grosse Sorgen","1997","16-34 Jahre alt","1433","0.309640517122557","0.296278164580617","0.323002869664496"
"Grosse Sorgen","1997","35-65 Jahre alt","1985","0.303802130738044","0.292711900587062","0.314892360889025"
"Grosse Sorgen","1997","66 und älter","485","0.318192770060424","0.295218962396864","0.341166577723983"
"Einige Sorgen","1997","16-34 Jahre alt","2349","0.509018590472976","0.494570324347019","0.523466856598933"
"Einige Sorgen","1997","35-65 Jahre alt","3456","0.519006274256891","0.506957723375645","0.531054825138137"
"Einige Sorgen","1997","66 und älter","779","0.475895770838938","0.451262517078135","0.50052902459974"
"Keine Sorgen","1997","16-34 Jahre alt","817","0.181340892404467","0.17020523632622","0.192476548482715"
"Keine Sorgen","1997","35-65 Jahre alt","1165","0.177191595005065","0.167983925453435","0.186399264556695"
"Keine Sorgen","1997","66 und älter","315","0.205911459100639","0.185966564365993","0.225856353835284"
"Grosse Sorgen","1998","16-34 Jahre alt","1445","0.302676941358465","0.28969912185744","0.31565476085949"
"Grosse Sorgen","1998","35-65 Jahre alt","2235","0.30628466926969","0.295805682298815","0.316763656240566"
"Grosse Sorgen","1998","66 und älter","592","0.327260749171197","0.305786461379226","0.348735036963168"
"Einige Sorgen","1998","16-34 Jahre alt","2475","0.510423904815702","0.496302735741422","0.524545073889983"
"Einige Sorgen","1998","35-65 Jahre alt","3786","0.508715701447267","0.497350685802151","0.520080717092383"
"Einige Sorgen","1998","66 und älter","900","0.486526108373528","0.463651130441466","0.509401086305589"
"Keine Sorgen","1998","16-34 Jahre alt","894","0.186899153825833","0.175887034159438","0.197911273492228"
"Keine Sorgen","1998","35-65 Jahre alt","1412","0.184999629283043","0.176172279072879","0.193826979493206"
"Keine Sorgen","1998","66 und älter","342","0.186213142455275","0.168397194890208","0.204029090020342"
"Grosse Sorgen","1999","16-34 Jahre alt","1410","0.315067347924195","0.301647325627036","0.328487370221354"
"Grosse Sorgen","1999","35-65 Jahre alt","2212","0.315419534681171","0.304747444645503","0.326091624716838"
"Grosse Sorgen","1999","66 und älter","462","0.247732889525553","0.227883438555546","0.267582340495561"
"Einige Sorgen","1999","16-34 Jahre alt","2515","0.534019983285552","0.519609119793749","0.548430846777355"
"Einige Sorgen","1999","35-65 Jahre alt","4076","0.548629273664076","0.537200513494372","0.56005803383378"
"Einige Sorgen","1999","66 und älter","967","0.533810716603703","0.510873251839278","0.556748181368128"
"Keine Sorgen","1999","16-34 Jahre alt","678","0.150912668790253","0.140571571267885","0.161253766312621"
"Keine Sorgen","1999","35-65 Jahre alt","995","0.135951191654754","0.128079762642401","0.143822620667107"
"Keine Sorgen","1999","66 und älter","388","0.218456393870744","0.199457443216734","0.237455344524753"
"Grosse Sorgen","2000","16-34 Jahre alt","2301","0.339632048226692","0.328596797748062","0.350667298705321"
"Grosse Sorgen","2000","35-65 Jahre alt","4409","0.341397896396365","0.333354014200544","0.349441778592186"
"Grosse Sorgen","2000","66 und älter","838","0.225305720121608","0.211614570881415","0.238996869361801"
"Einige Sorgen","2000","16-34 Jahre alt","3587","0.493740896033946","0.482091032383711","0.505390759684181"
"Einige Sorgen","2000","35-65 Jahre alt","6869","0.503418833039307","0.49493711997631","0.511900546102305"
"Einige Sorgen","2000","66 und älter","1811","0.507871175279107","0.491487746225057","0.524254604333158"
"Keine Sorgen","2000","16-34 Jahre alt","1187","0.166627055739362","0.157943905256789","0.175310206221936"
"Keine Sorgen","2000","35-65 Jahre alt","2071","0.155183270564328","0.14904102143435","0.161325519694305"
"Keine Sorgen","2000","66 und älter","928","0.266823104599285","0.252328555065146","0.281317654133423"
"Grosse Sorgen","2001","16-34 Jahre alt","2398","0.381909985852707","0.369860917399288","0.393959054306126"
"Grosse Sorgen","2001","35-65 Jahre alt","4479","0.366378026783172","0.357820312896022","0.374935740670322"
"Grosse Sorgen","2001","66 und älter","974","0.275627593787804","0.260590549971629","0.290664637603979"
"Einige Sorgen","2001","16-34 Jahre alt","2943","0.468464937434423","0.456089755121896","0.480840119746951"
"Einige Sorgen","2001","35-65 Jahre alt","5981","0.490964978451424","0.482085713271086","0.499844243631762"
"Einige Sorgen","2001","66 und älter","1640","0.487062700929659","0.470241974563468","0.503883427295851"
"Keine Sorgen","2001","16-34 Jahre alt","905","0.14962507671287","0.140778922287006","0.158471231138733"
"Keine Sorgen","2001","35-65 Jahre alt","1717","0.142656994765404","0.136445419128295","0.148868570402512"
"Keine Sorgen","2001","66 und älter","778","0.237309705282537","0.222992705142293","0.25162670542278"
"Grosse Sorgen","2002","16-34 Jahre alt","1748","0.286213683658057","0.274910855132788","0.297516512183325"
"Grosse Sorgen","2002","35-65 Jahre alt","3805","0.28980620559794","0.282077990884568","0.297534420311311"
"Grosse Sorgen","2002","66 und älter","890","0.251121086609278","0.236945336930726","0.26529683628783"
"Einige Sorgen","2002","16-34 Jahre alt","3267","0.526073929630574","0.513587550334029","0.538560308927118"
"Einige Sorgen","2002","35-65 Jahre alt","7426","0.554979769640294","0.546514021265544","0.563445518015043"
"Einige Sorgen","2002","66 und älter","1875","0.517632673061672","0.501298452111058","0.533966894012286"
"Keine Sorgen","2002","16-34 Jahre alt","1128","0.187712386711369","0.17794767975294","0.197477093669799"
"Keine Sorgen","2002","35-65 Jahre alt","2007","0.155214024761767","0.149045579282204","0.16138247024133"
"Keine Sorgen","2002","66 und älter","830","0.23124624032905","0.217463689261204","0.245028791396896"
"Grosse Sorgen","2003","16-34 Jahre alt","1315","0.233833305765531","0.222972989314179","0.244693622216882"
"Grosse Sorgen","2003","35-65 Jahre alt","2936","0.244741342866133","0.237234676560309","0.252248009171958"
"Grosse Sorgen","2003","66 und älter","742","0.199821806616773","0.186847745011285","0.212795868222261"
"Einige Sorgen","2003","16-34 Jahre alt","3171","0.53265540379564","0.519853650836207","0.545457156755072"
"Einige Sorgen","2003","35-65 Jahre alt","7251","0.566734095021755","0.558082174667737","0.575386015375774"
"Einige Sorgen","2003","66 und älter","1921","0.528312507050488","0.512115536751183","0.544509477349794"
"Keine Sorgen","2003","16-34 Jahre alt","1349","0.23351129043883","0.222656174063728","0.244366406813931"
"Keine Sorgen","2003","35-65 Jahre alt","2414","0.188524562112111","0.18169540278564","0.195353721438583"
"Keine Sorgen","2003","66 und älter","986","0.271865686332739","0.257429778306046","0.286301594359431"
"Grosse Sorgen","2004","16-34 Jahre alt","1340","0.244083078820372","0.232825848511381","0.255340309129362"
"Grosse Sorgen","2004","35-65 Jahre alt","2918","0.250388269320834","0.242693050966661","0.258083487675008"
"Grosse Sorgen","2004","66 und älter","759","0.198963693194017","0.186186205408657","0.211741180979377"
