"plj0047","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1992","16-34 J.","männlich","215","0.386202832434621","0.345023328040416","0.427382336828827"
"Einige Sorgen","1992","16-34 J.","weiblich","200","0.399933537628651","0.355644856074091","0.444222219183212"
"Einige Sorgen","1992","35-65 J.","männlich","286","0.409817587088277","0.37180468453128","0.447830489645275"
"Einige Sorgen","1992","35-65 J.","weiblich","247","0.395736013131838","0.355089168431253","0.436382857832423"
"Einige Sorgen","1992","66 und älter","männlich","","","",""
"Einige Sorgen","1992","66 und älter","weiblich","","","",""
"Große Sorgen","1992","16-34 J.","männlich","235","0.462885596785694","0.42071291866915","0.505058274902238"
"Große Sorgen","1992","16-34 J.","weiblich","198","0.457806613396005","0.412764651266379","0.502848575525631"
"Große Sorgen","1992","35-65 J.","männlich","220","0.372923227808901","0.335545518775728","0.410300936842075"
"Große Sorgen","1992","35-65 J.","weiblich","198","0.414169850884054","0.373226272610102","0.455113429158005"
"Große Sorgen","1992","66 und älter","männlich","","","",""
"Große Sorgen","1992","66 und älter","weiblich","","","",""
"Keine Sorgen","1992","16-34 J.","männlich","87","0.150911570779685","0.120635558042999","0.18118758351637"
"Keine Sorgen","1992","16-34 J.","weiblich","72","0.142259848975343","0.110679407004653","0.173840290946034"
"Keine Sorgen","1992","35-65 J.","männlich","137","0.217259185102821","0.185384884234627","0.249133485971016"
"Keine Sorgen","1992","35-65 J.","weiblich","111","0.190094135984108","0.157479515676076","0.222708756292141"
"Keine Sorgen","1992","66 und älter","männlich","","","",""
"Keine Sorgen","1992","66 und älter","weiblich","","","",""
"Einige Sorgen","1993","16-34 J.","männlich","217","0.392161934640945","0.350829369265188","0.433494500016701"
"Einige Sorgen","1993","16-34 J.","weiblich","183","0.35302884168749","0.310140776373956","0.395916907001023"
"Einige Sorgen","1993","35-65 J.","männlich","278","0.458583111046275","0.419202227040936","0.497963995051615"
"Einige Sorgen","1993","35-65 J.","weiblich","202","0.342135060417057","0.301240082241387","0.383030038592727"
"Einige Sorgen","1993","66 und älter","männlich","","","",""
"Einige Sorgen","1993","66 und älter","weiblich","","","",""
"Große Sorgen","1993","16-34 J.","männlich","270","0.52484998795052","0.482573523126445","0.567126452774596"
"Große Sorgen","1993","16-34 J.","weiblich","246","0.555283549580002","0.510688371489833","0.59987872767017"
"Große Sorgen","1993","35-65 J.","männlich","256","0.423392976755186","0.384342861328901","0.462443092181471"
"Große Sorgen","1993","35-65 J.","weiblich","246","0.518682407152534","0.47561294520035","0.561751869104719"
"Große Sorgen","1993","66 und älter","männlich","","","",""
"Große Sorgen","1993","66 und älter","weiblich","","","",""
"Keine Sorgen","1993","16-34 J.","männlich","49","0.082988077408535","0.0596340901480715","0.106342064668998"
"Keine Sorgen","1993","16-34 J.","weiblich","48","0.0916876087325088","0.0657898700681653","0.117585347396852"
"Keine Sorgen","1993","35-65 J.","männlich","81","0.118023912198539","0.092524865657183","0.143522958739894"
"Keine Sorgen","1993","35-65 J.","weiblich","69","0.139182532430409","0.109345836929497","0.169019227931321"
"Keine Sorgen","1993","66 und älter","männlich","","","",""
"Keine Sorgen","1993","66 und älter","weiblich","","","",""
"Einige Sorgen","1994","16-34 J.","männlich","216","0.451806203895258","0.40831441696829","0.495297990822226"
"Einige Sorgen","1994","16-34 J.","weiblich","188","0.357229300774517","0.314045676061132","0.400412925487901"
"Einige Sorgen","1994","35-65 J.","männlich","274","0.450065444795466","0.409577341348655","0.490553548242277"
"Einige Sorgen","1994","35-65 J.","weiblich","201","0.380065570935198","0.337561417450934","0.422569724419463"
"Einige Sorgen","1994","66 und älter","männlich","","","",""
"Einige Sorgen","1994","66 und älter","weiblich","","","",""
"Große Sorgen","1994","16-34 J.","männlich","241","0.485034338463088","0.441358678425399","0.528709998500776"
"Große Sorgen","1994","16-34 J.","weiblich","240","0.537361679419353","0.492428032504182","0.582295326334524"
"Große Sorgen","1994","35-65 J.","männlich","225","0.433548286883671","0.393217724428893","0.473878849338449"
"Große Sorgen","1994","35-65 J.","weiblich","238","0.506600269946071","0.462821718212445","0.550378821679697"
"Große Sorgen","1994","66 und älter","männlich","","","",""
"Große Sorgen","1994","66 und älter","weiblich","","","",""
"Keine Sorgen","1994","16-34 J.","männlich","46","0.0631594576416545","0.0419017645359255","0.0844171507473835"
"Keine Sorgen","1994","16-34 J.","weiblich","45","0.10540901980613","0.0777352282391103","0.133082811373151"
"Keine Sorgen","1994","35-65 J.","männlich","81","0.116386268320863","0.0902877294349945","0.142484807206731"
"Keine Sorgen","1994","35-65 J.","weiblich","62","0.11333415911873","0.0855760658828761","0.141092252354585"
"Keine Sorgen","1994","66 und älter","männlich","","","",""
"Keine Sorgen","1994","66 und älter","weiblich","","","",""
"Einige Sorgen","1995","16-34 J.","männlich","217","0.437408801265539","0.391877936886033","0.482939665645045"
"Einige Sorgen","1995","16-34 J.","weiblich","196","0.420331911713163","0.374157464106939","0.466506359319387"
"Einige Sorgen","1995","35-65 J.","männlich","240","0.421974989520819","0.379928782249324","0.464021196792313"
"Einige Sorgen","1995","35-65 J.","weiblich","218","0.428386304512281","0.383744042350476","0.473028566674086"
"Einige Sorgen","1995","66 und älter","männlich","","","",""
"Einige Sorgen","1995","66 und älter","weiblich","","","",""
"Große Sorgen","1995","16-34 J.","männlich","190","0.460333101701986","0.41458588645402","0.506080316949953"
"Große Sorgen","1995","16-34 J.","weiblich","193","0.474525618231603","0.427814373882962","0.521236862580244"
"Große Sorgen","1995","35-65 J.","männlich","200","0.412229555360058","0.37032284298577","0.454136267734346"
"Große Sorgen","1995","35-65 J.","weiblich","190","0.449577614476048","0.404700236461787","0.494454992490308"
"Große Sorgen","1995","66 und älter","männlich","","","",""
"Große Sorgen","1995","66 und älter","weiblich","","","",""
