"ple0013","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Ja","2009","(noch) kein Abschluss","Hamburg","","","",""
"Ja","2009","(noch) kein Abschluss","Niedersachsen","4","0.201787857854279","0.0804126111300335","0.323163104578524"
"Ja","2009","(noch) kein Abschluss","Bremen","","","",""
"Ja","2009","(noch) kein Abschluss","Nordrhein-Westfalen","12","","",""
"Ja","2009","(noch) kein Abschluss","Hessen","2","","",""
"Ja","2009","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","2","","",""
"Ja","2009","(noch) kein Abschluss","Baden-Wuerttemberg","4","0.086573147485655","0.0229308352051593","0.150215459766151"
"Ja","2009","(noch) kein Abschluss","Bayern","4","0.0189986395676195","-0.012982587849313","0.050979866984552"
"Ja","2009","(noch) kein Abschluss","Saarland","","","",""
"Ja","2009","(noch) kein Abschluss","Berlin","2","","",""
"Ja","2009","(noch) kein Abschluss","Brandenburg","1","","",""
"Ja","2009","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen","2","","",""
"Ja","2009","(noch) kein Abschluss","Sachsen-Anhalt","1","","",""
"Ja","2009","(noch) kein Abschluss","Thueringen","","","",""
"Ja","2009","Hauptschule","Schleswig-Holstein","11","","",""
"Ja","2009","Hauptschule","Hamburg","1","","",""
"Ja","2009","Hauptschule","Niedersachsen","35","0.0484214896293856","0.0311301507027143","0.0657128285560569"
"Ja","2009","Hauptschule","Bremen","1","","",""
"Ja","2009","Hauptschule","Nordrhein-Westfalen","76","0.0519652226324356","0.0402716134050635","0.0636588318598078"
"Ja","2009","Hauptschule","Hessen","24","","",""
"Ja","2009","Hauptschule","Rheinland-Pfalz,Saarland","23","","",""
"Ja","2009","Hauptschule","Baden-Wuerttemberg","33","0.0519813315133366","0.0364522629523226","0.0675104000743505"
"Ja","2009","Hauptschule","Bayern","56","0.0538370435072503","0.0405597311258438","0.0671143558886569"
"Ja","2009","Hauptschule","Saarland","","","",""
"Ja","2009","Hauptschule","Berlin","8","0.0549209835577341","0.0129149105626488","0.0969270565528194"
"Ja","2009","Hauptschule","Brandenburg","9","0.0384519105446792","0.0109657782380201","0.0659380428513382"
"Ja","2009","Hauptschule","Mecklenburg-Vorpommern","4","0.0583052399744215","0.0139070696768664","0.102703410271976"
"Ja","2009","Hauptschule","Sachsen","14","","",""
"Ja","2009","Hauptschule","Sachsen-Anhalt","17","","",""
"Ja","2009","Hauptschule","Thueringen","12","","",""
"Ja","2009","Realschule","Schleswig-Holstein","4","0.0333557577884959","0.00392517837902946","0.0627863371979624"
"Ja","2009","Realschule","Hamburg","6","0.109305319894036","0.0334516684513809","0.185158971336692"
"Ja","2009","Realschule","Niedersachsen","22","","",""
"Ja","2009","Realschule","Bremen","","","",""
"Ja","2009","Realschule","Nordrhein-Westfalen","34","0.0415872629256335","0.02728009253071","0.0558944333205569"
"Ja","2009","Realschule","Hessen","16","","",""
"Ja","2009","Realschule","Rheinland-Pfalz,Saarland","13","","",""
"Ja","2009","Realschule","Baden-Wuerttemberg","25","","",""
"Ja","2009","Realschule","Bayern","20","","",""
"Ja","2009","Realschule","Saarland","","","",""
"Ja","2009","Realschule","Berlin","11","","",""
"Ja","2009","Realschule","Brandenburg","8","0.032064099614072","0.01081312017423","0.0533150790539139"
"Ja","2009","Realschule","Mecklenburg-Vorpommern","8","0.0679211944291288","0.0307487833906641","0.105093605467594"
"Ja","2009","Realschule","Sachsen","19","","",""
"Ja","2009","Realschule","Sachsen-Anhalt","6","0.0228092805257768","0.00466219536985019","0.0409563656817035"
"Ja","2009","Realschule","Thueringen","15","","",""
"Ja","2009","(Fach-)Abitur","Schleswig-Holstein","8","0.178334675235031","0.0830511923023494","0.273618158167712"
"Ja","2009","(Fach-)Abitur","Hamburg","2","","",""
"Ja","2009","(Fach-)Abitur","Niedersachsen","13","","",""
"Ja","2009","(Fach-)Abitur","Bremen","1","","",""
"Ja","2009","(Fach-)Abitur","Nordrhein-Westfalen","23","","",""
"Ja","2009","(Fach-)Abitur","Hessen","8","0.0321152382999882","0.00569008980544163","0.0585403867945347"
"Ja","2009","(Fach-)Abitur","Rheinland-Pfalz,Saarland","5","0.0693279677111635","0.0197897964335727","0.118866138988754"
"Ja","2009","(Fach-)Abitur","Baden-Wuerttemberg","13","","",""
"Ja","2009","(Fach-)Abitur","Bayern","12","","",""
"Ja","2009","(Fach-)Abitur","Saarland","","","",""
"Ja","2009","(Fach-)Abitur","Berlin","10","","",""
"Ja","2009","(Fach-)Abitur","Brandenburg","3","","",""
"Ja","2009","(Fach-)Abitur","Mecklenburg-Vorpommern","3","","",""
"Ja","2009","(Fach-)Abitur","Sachsen","7","0.0653277045944657","0.0195643908880768","0.111091018300855"
"Ja","2009","(Fach-)Abitur","Sachsen-Anhalt","5","0.0503577218049005","-0.000870835888695611","0.101586279498497"
"Ja","2009","(Fach-)Abitur","Thueringen","","","",""
"Ja","2009","AkademikerIn","Schleswig-Holstein","5","0.077183638705748","0.0194190836838088","0.134948193727687"
"Ja","2009","AkademikerIn","Hamburg","8","0.0965511428117211","0.0318318753085752","0.161270410314867"
"Ja","2009","AkademikerIn","Niedersachsen","13","","",""
"Ja","2009","AkademikerIn","Bremen","2","","",""
"Ja","2009","AkademikerIn","Nordrhein-Westfalen","27","","",""
"Ja","2009","AkademikerIn","Hessen","18","","",""
"Ja","2009","AkademikerIn","Rheinland-Pfalz,Saarland","4","0.0218211468533775","-0.000471110073017322","0.0441134037797724"
"Ja","2009","AkademikerIn","Baden-Wuerttemberg","24","","",""
"Ja","2009","AkademikerIn","Bayern","21","","",""
"Ja","2009","AkademikerIn","Saarland","","","",""
"Ja","2009","AkademikerIn","Berlin","13","","",""
"Ja","2009","AkademikerIn","Brandenburg","7","0.0202897367510796","0.00237763088140485","0.0382018426207544"
"Ja","2009","AkademikerIn","Mecklenburg-Vorpommern","6","0.0592027932008078","0.0195386803415814","0.0988669060600341"
"Ja","2009","AkademikerIn","Sachsen","16","","",""
"Ja","2009","AkademikerIn","Sachsen-Anhalt","5","0.0223648391431832","0.00176865378446956","0.0429610245018969"
"Ja","2009","AkademikerIn","Thueringen","6","0.037416686210732","0.00953686943626337","0.0652965029852006"
"Nein","2009","(noch) kein Abschluss","Schleswig-Holstein","19","","",""
"Nein","2009","(noch) kein Abschluss","Hamburg","9","1","1","1"
"Nein","2009","(noch) kein Abschluss","Niedersachsen","38","0.798212142145721","0.676836895421476","0.919587388869966"
"Nein","2009","(noch) kein Abschluss","Bremen","3","","",""
"Nein","2009","(noch) kein Abschluss","Nordrhein-Westfalen","110","","",""
"Nein","2009","(noch) kein Abschluss","Hessen","33","0.945599978805494","0.870460646736956","1.02073931087403"
"Nein","2009","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","25","","",""
"Nein","2009","(noch) kein Abschluss","Baden-Wuerttemberg","71","0.913426852514345","0.849784540233849","0.977069164794841"
"Nein","2009","(noch) kein Abschluss","Bayern","66","0.981001360432381","0.949020133015448","1.01298258784931"
"Nein","2009","(noch) kein Abschluss","Saarland","","","",""
"Nein","2009","(noch) kein Abschluss","Berlin","17","","",""
"Nein","2009","(noch) kein Abschluss","Brandenburg","15","","",""
