"ple0013","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"Ja","2009","(noch) kein Abschluss","34","0.0757349147106103","0.0521642541140818","0.0993055753071388",""
"Ja","2009","Hauptschule","324","0.0498985976857131","0.0444840582970177","0.0553131370744086",""
"Ja","2009","Realschule","207","0.0476031885583359","0.0415871270218925","0.0536192500947792",""
"Ja","2009","(Fach-)Abitur","113","0.0592787698579163","0.0489397517397008","0.0696177879761319",""
"Ja","2009","AkademikerIn","175","0.0467796941634733","0.0402641355922987","0.053295252734648",""
"Nein","2009","(noch) kein Abschluss","450","0.92426508528939","0.900694424692861","0.947835745885918",""
"Nein","2009","Hauptschule","5888","0.950101402314287","0.944686862925591","0.955515941702982",""
"Nein","2009","Realschule","4605","0.952396811441664","0.946380749905221","0.958412872978108",""
"Nein","2009","(Fach-)Abitur","1891","0.940721230142084","0.930382212023868","0.951060248260299",""
"Nein","2009","AkademikerIn","3860","0.953220305836527","0.946704747265352","0.959735864407701",""
"Ja","2010","(noch) kein Abschluss","","","","",""
"Ja","2010","Hauptschule","","","","",""
"Ja","2010","Realschule","","","","",""
"Ja","2010","(Fach-)Abitur","","","","",""
"Ja","2010","AkademikerIn","","","","",""
"Nein","2010","(noch) kein Abschluss","","","","",""
"Nein","2010","Hauptschule","","","","",""
"Nein","2010","Realschule","","","","",""
"Nein","2010","(Fach-)Abitur","","","","",""
"Nein","2010","AkademikerIn","","","","",""
"Ja","2011","(noch) kein Abschluss","47","0.0995312794818573","0.0747581558758987","0.124304403087816",""
"Ja","2011","Hauptschule","388","0.0526120354084707","0.0474371402733632","0.0577869305435782",""
"Ja","2011","Realschule","278","0.0569154753406911","0.0508009066879092","0.0630300439934731",""
"Ja","2011","(Fach-)Abitur","162","0.0678788277855098","0.0579002751035439","0.0778573804674757",""
"Ja","2011","AkademikerIn","203","0.048577044779557","0.042356352127972","0.054797737431142",""
