year,bula_h,ple0013,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No,0.79208,482,482,0.75581,0.82835
2009,Hamburg,No,0.86382,250,250,0.82122,0.90643
2009,Lower Saxony,Yes,0.04469,88,1633,0.03467,0.05472
2009,Lower Saxony,No,0.80333,1545,1633,0.78405,0.82262
2009,Bremen,No,0.89327,116,116,0.83683,0.94970
2009,North Rhine-Westphalia,Yes,0.03928,175,3628,0.03296,0.04560
2009,North Rhine-Westphalia,No,0.79773,3453,3628,0.78466,0.81080
2009,Hesse,Yes,0.04357,71,1217,0.03210,0.05505
2009,Hesse,No,0.77486,1146,1217,0.75139,0.79834
2009,"Rhineland-Palatinate, Saarland",Yes,0.03518,48,1024,0.02389,0.04647
2009,"Rhineland-Palatinate, Saarland",No,0.78865,976,1024,0.76364,0.81367
2009,Baden-Wuerttemberg,Yes,0.04481,102,2107,0.03597,0.05364
2009,Baden-Wuerttemberg,No,0.78437,2005,2107,0.76681,0.80194
2009,Bavaria,Yes,0.03737,113,2609,0.03009,0.04465
2009,Bavaria,No,0.80205,2496,2609,0.78676,0.81735
2009,Berlin,Yes,0.07002,47,683,0.05087,0.08918
2009,Berlin,No,0.79697,636,683,0.76678,0.82716
2009,Brandenburg,No,0.82359,761,761,0.79649,0.85069
2009,Mecklenburg-Western Pomerania,No,0.83077,449,449,0.79605,0.86549
2009,Saxony,Yes,0.04054,59,1369,0.03009,0.05099
2009,Saxony,No,0.82520,1310,1369,0.80507,0.84532
2009,Saxony-Anhalt,Yes,0.04258,35,769,0.02830,0.05686
2009,Saxony-Anhalt,No,0.84208,734,769,0.81629,0.86787
2009,Thuringa,Yes,0.04186,33,823,0.02817,0.05555
2009,Thuringa,No,0.80824,790,823,0.78133,0.83516
2011,Schleswig-Holstein,Yes,0.04639,37,651,0.03022,0.06256
2011,Schleswig-Holstein,No,0.70988,614,651,0.67499,0.74477
2011,Hamburg,No,0.76845,293,293,0.72006,0.81683
2011,Lower Saxony,Yes,0.04057,107,1908,0.03171,0.04942
2011,Lower Saxony,No,0.71936,1801,1908,0.69919,0.73953
2011,Bremen,No,0.74825,122,122,0.67092,0.82559
2011,North Rhine-Westphalia,Yes,0.04549,233,4131,0.03913,0.05184
2011,North Rhine-Westphalia,No,0.71829,3898,4131,0.70457,0.73201
2011,Hesse,Yes,0.04057,84,1409,0.03027,0.05088
2011,Hesse,No,0.69292,1325,1409,0.66883,0.71702
2011,"Rhineland-Palatinate, Saarland",Yes,0.04408,70,1206,0.03249,0.05567
2011,"Rhineland-Palatinate, Saarland",No,0.71342,1136,1206,0.68789,0.73895
2011,Baden-Wuerttemberg,Yes,0.04345,130,2486,0.03543,0.05146
2011,Baden-Wuerttemberg,No,0.70498,2356,2486,0.68704,0.72291
2011,Bavaria,Yes,0.03961,149,3184,0.03283,0.04638
2011,Bavaria,No,0.73044,3035,3184,0.71502,0.74585
2011,Berlin,Yes,0.06538,58,781,0.04804,0.08273
2011,Berlin,No,0.73548,723,781,0.70452,0.76643
2011,Brandenburg,Yes,0.04003,45,882,0.02708,0.05297
2011,Brandenburg,No,0.75316,837,882,0.72469,0.78163
2011,Mecklenburg-Western Pomerania,No,0.73887,487,487,0.69981,0.77792
2011,Saxony,Yes,0.03721,64,1404,0.02731,0.04712
2011,Saxony,No,0.75674,1340,1404,0.73429,0.77919
2011,Saxony-Anhalt,Yes,0.03695,41,867,0.02439,0.04952
2011,Saxony-Anhalt,No,0.76487,826,867,0.73663,0.79312
2011,Thuringa,Yes,0.03459,38,884,0.02253,0.04664
2011,Thuringa,No,0.76457,846,884,0.73658,0.79255
2013,Schleswig-Holstein,Yes,0.04953,41,593,0.03205,0.06700
2013,Schleswig-Holstein,No,0.66914,552,593,0.63124,0.70704
2013,Hamburg,No,0.69645,289,289,0.64334,0.74955
2013,Lower Saxony,Yes,0.04765,113,1775,0.03773,0.05756
2013,Lower Saxony,No,0.67174,1662,1775,0.64989,0.69360
2013,Bremen,No,0.64844,117,117,0.56155,0.73533
2013,North Rhine-Westphalia,Yes,0.04613,237,3718,0.03939,0.05287
2013,North Rhine-Westphalia,No,0.64354,3481,3718,0.62815,0.65894
2013,Hesse,Yes,0.03950,89,1290,0.02887,0.05013
2013,Hesse,No,0.64645,1201,1290,0.62035,0.67255
2013,"Rhineland-Palatinate, Saarland",Yes,0.05017,66,1098,0.03725,0.06308
2013,"Rhineland-Palatinate, Saarland",No,0.65833,1032,1098,0.63026,0.68639
2013,Baden-Wuerttemberg,Yes,0.04247,127,2123,0.03389,0.05106
2013,Baden-Wuerttemberg,No,0.63097,1996,2123,0.61044,0.65150
2013,Bavaria,Yes,0.04690,177,2947,0.03926,0.05453
2013,Bavaria,No,0.65987,2770,2947,0.64276,0.67698
2013,Berlin,Yes,0.05869,62,768,0.04205,0.07532
2013,Berlin,No,0.66268,706,768,0.62922,0.69614
2013,Brandenburg,Yes,0.02825,34,780,0.01661,0.03988
2013,Brandenburg,No,0.72783,746,780,0.69658,0.75909
2013,Mecklenburg-Western Pomerania,No,0.75184,434,434,0.71116,0.79253
2013,Saxony,Yes,0.04548,67,1335,0.03430,0.05666
2013,Saxony,No,0.74946,1268,1335,0.72621,0.77272
2013,Saxony-Anhalt,Yes,0.04273,41,759,0.02833,0.05713
2013,Saxony-Anhalt,No,0.74099,718,759,0.70981,0.77218
2013,Thuringa,Yes,0.03331,33,799,0.02086,0.04576
2013,Thuringa,No,0.75516,766,799,0.72532,0.78499
2015,Schleswig-Holstein,Yes,0.06851,76,874,0.05175,0.08527
2015,Schleswig-Holstein,No,0.77228,798,874,0.74447,0.80010
2015,Hamburg,No,0.78307,400,400,0.74263,0.82351
2015,Lower Saxony,Yes,0.05811,155,2421,0.04879,0.06743
2015,Lower Saxony,No,0.77061,2266,2421,0.75386,0.78736
2015,Bremen,No,0.80813,164,164,0.74768,0.86858
2015,North Rhine-Westphalia,Yes,0.05867,331,5165,0.05226,0.06508
2015,North Rhine-Westphalia,No,0.75993,4834,5165,0.74828,0.77158
2015,Hesse,Yes,0.04004,104,1705,0.03073,0.04935
2015,Hesse,No,0.76079,1601,1705,0.74053,0.78104
2015,"Rhineland-Palatinate, Saarland",Yes,0.04580,75,1496,0.03520,0.05640
2015,"Rhineland-Palatinate, Saarland",No,0.79243,1421,1496,0.77188,0.81299
2015,Baden-Wuerttemberg,Yes,0.05298,191,2985,0.04495,0.06102
2015,Baden-Wuerttemberg,No,0.77218,2794,2985,0.75713,0.78723
2015,Bavaria,Yes,0.05492,232,4027,0.04789,0.06196
2015,Bavaria,No,0.76041,3795,4027,0.74722,0.77359
2015,Berlin,Yes,0.06095,68,912,0.04541,0.07649
2015,Berlin,No,0.75952,844,912,0.73177,0.78727
2015,Brandenburg,Yes,0.02878,41,984,0.01833,0.03923
2015,Brandenburg,No,0.80862,943,984,0.78403,0.83321
2015,Mecklenburg-Western Pomerania,Yes,0.04759,33,557,0.02989,0.06529
2015,Mecklenburg-Western Pomerania,No,0.80469,524,557,0.77174,0.83765
2015,Saxony,Yes,0.05374,91,1511,0.04237,0.06511
2015,Saxony,No,0.79683,1420,1511,0.77654,0.81713
2015,Saxony-Anhalt,Yes,0.06288,56,885,0.04687,0.07888
2015,Saxony-Anhalt,No,0.80178,829,885,0.77550,0.82806
2015,Thuringa,Yes,0.03696,42,920,0.02476,0.04915
2015,Thuringa,No,0.78985,878,920,0.76350,0.81619
2017,Schleswig-Holstein,Yes,0.05721,67,951,0.04244,0.07198
2017,Schleswig-Holstein,No,0.76864,884,951,0.74182,0.79546
2017,Hamburg,No,0.77769,437,437,0.73866,0.81672
2017,Lower Saxony,Yes,0.05702,187,2697,0.04827,0.06578
2017,Lower Saxony,No,0.77889,2510,2697,0.76323,0.79456
2017,Bremen,No,0.79189,212,212,0.73711,0.84667
2017,North Rhine-Westphalia,Yes,0.06405,397,5524,0.05759,0.07051
2017,North Rhine-Westphalia,No,0.76973,5127,5524,0.75863,0.78084
2017,Hesse,Yes,0.05448,115,1789,0.04396,0.06500
2017,Hesse,No,0.77112,1674,1789,0.75165,0.79060
2017,"Rhineland-Palatinate, Saarland",Yes,0.04582,76,1524,0.03531,0.05632
2017,"Rhineland-Palatinate, Saarland",No,0.78028,1448,1524,0.75949,0.80108
2017,Baden-Wuerttemberg,Yes,0.05615,209,3018,0.04793,0.06436
2017,Baden-Wuerttemberg,No,0.77179,2809,3018,0.75681,0.78677
2017,Bavaria,Yes,0.05509,257,4211,0.04819,0.06198
2017,Bavaria,No,0.78271,3954,4211,0.77025,0.79517
2017,Berlin,Yes,0.08118,83,989,0.06415,0.09821
2017,Berlin,No,0.77737,906,989,0.75143,0.80331
2017,Brandenburg,Yes,0.03292,47,1033,0.02204,0.04381
2017,Brandenburg,No,0.79033,986,1033,0.76549,0.81517
2017,Mecklenburg-Western Pomerania,Yes,0.05690,36,573,0.03791,0.07588
2017,Mecklenburg-Western Pomerania,No,0.76842,537,573,0.73385,0.80299
2017,Saxony,Yes,0.05882,103,1653,0.04747,0.07016
2017,Saxony,No,0.79093,1550,1653,0.77132,0.81054
2017,Saxony-Anhalt,Yes,0.06031,61,923,0.04494,0.07568
2017,Saxony-Anhalt,No,0.77976,862,923,0.75301,0.80651
2017,Thuringa,Yes,0.04561,55,978,0.03253,0.05870
2017,Thuringa,No,0.80616,923,978,0.78137,0.83095
2019,Schleswig-Holstein,Yes,0.05384,79,956,0.03952,0.06815
2019,Schleswig-Holstein,No,0.74976,877,956,0.72228,0.77723
2019,Hamburg,Yes,0.05120,46,529,0.03240,0.06999
2019,Hamburg,No,0.76312,483,529,0.72686,0.79939
2019,Lower Saxony,Yes,0.06290,192,2494,0.05337,0.07243
2019,Lower Saxony,No,0.76833,2302,2494,0.75176,0.78489
2019,Bremen,No,0.78222,205,205,0.72558,0.83886
2019,North Rhine-Westphalia,Yes,0.06396,409,5406,0.05744,0.07049
2019,North Rhine-Westphalia,No,0.77608,4997,5406,0.76497,0.78720
2019,Hesse,Yes,0.06334,124,1711,0.05179,0.07488
2019,Hesse,No,0.76710,1587,1711,0.74706,0.78713
2019,"Rhineland-Palatinate, Saarland",Yes,0.05489,98,1466,0.04323,0.06656
2019,"Rhineland-Palatinate, Saarland",No,0.78026,1368,1466,0.75905,0.80146
2019,Baden-Wuerttemberg,Yes,0.06521,222,2799,0.05606,0.07436
2019,Baden-Wuerttemberg,No,0.75273,2577,2799,0.73675,0.76872
2019,Bavaria,Yes,0.06102,251,3951,0.05356,0.06849
2019,Bavaria,No,0.76661,3700,3951,0.75342,0.77981
2019,Berlin,Yes,0.06850,85,1027,0.05305,0.08396
2019,Berlin,No,0.77815,942,1027,0.75273,0.80357
2019,Brandenburg,Yes,0.03568,56,1111,0.02477,0.04659
2019,Brandenburg,No,0.77469,1055,1111,0.75012,0.79927
2019,Mecklenburg-Western Pomerania,Yes,0.06171,43,611,0.04261,0.08080
